Meta: Table 1
	Datapoints	Excluded		
< 1790	46	1		
> 1790	89	0		
Exports				


Sum: Table 1
Yr	Population	Note
1958			"88,156"	"86,036"	"87,096"	Median
1959			"89,486"	"88,270"	"88,878"	Median
1960	"90,505"	SIB	"90,508"	"90,505"	"90,507"	Median
1961			"93,586"		"93,586"	
1962			"98,453"		"98,453"	
1963			"100,165"		"100,165"	
1964			"103,069"		"103,069"	
1965			"106,120"		"106,120"	
1966			"109,348"		"109,348"	
1967			"112,707"		"112,707"	
1968			"116,065"		"116,065"	
1969			"119,269"		"119,269"	
1970			"122,184"		"122,184"	
1971			"124,795"		"124,795"	
1972			"127,152"		"127,152"	
1973			"129,294"		"129,294"	
1974			"131,305"		"131,305"	
1975			"133,264"		"133,264"	
1976			"135,143"		"135,143"	
1977			"136,990"		"136,990"	
1978			"138,975"		"138,975"	
1979			"141,302"		"141,302"	
1980			"144,142"		"144,142"	
1981			"147,572"		"147,572"	
1982			"151,486"		"151,486"	
1983			"155,820"		"155,820"	
1984			"160,341"		"160,341"	
1985			"164,918"		"164,918"	
1986			"169,569"		"169,569"	
1987			"174,333"		"174,333"	
1988			"179,023"		"179,023"	
1989			"183,471"		"183,471"	
1990			"187,554"		"187,554"	
1991			"191,136"		"191,136"	
1992			"194,324"		"194,324"	
1993			"197,625"		"197,625"	
1994			"201,679"		"201,679"	
1995			"206,962"		"206,962"	
1996			"213,660"		"213,660"	
1997			"221,575"		"221,575"	
1998			"230,248"		"230,248"	
1999			"238,979"		"238,979"	
2000			"247,310"		"247,310"	
2001			"255,068"		"255,068"	
2002			"262,387"		"262,387"	
2003			"269,428"		"269,428"	
2004			"276,516"		"276,516"	
2005			"283,798"		"283,798"	
2006			"291,338"		"291,338"	
2007			"299,031"		"299,031"	
2008			"306,822"		"306,822"	
2009			"314,655"		"314,655"	
2010			"322,465"		"322,465"	
2011			"330,236"		"330,236"	
2012			"338,001"		"338,001"	
2013			"345,707"		"345,707"	
2014			"353,366"		"353,366"	
2015			"360,926"		"360,926"	
2016			"368,399"		"368,399"	
2017			"375,775"		"375,775"	
2018			"383,071"		"383,071"	
2019			"390,351"		"390,351"	
2020			"397,621"		"397,621"	


Exports: Table 1
Yr	Kingston	England & Wales	Source	Note	England & Wales £	Source		
1670								
1671								
1672								
1673								
1674								
1675								
1676								
1677								
1678								
1679								
1680								
1681								
1682								
1683								
1684								
1685								
1686	222.00	444.00	CO 142/13	England & Wales = Kingston ÷ 0.5				
1687	201.00	402.00	CO 142/13	England & Wales = Kingston ÷ 0.5				
1688	992.00	"1,984.00"	CO 142/13	England & Wales = Kingston ÷ 0.5				
1689	520.00	"1,040.00"	CO 142/13	England & Wales = Kingston ÷ 0.5				
1690	160.00	320.00	CO 142/13	England & Wales = Kingston ÷ 0.5				
1691								
1692								
1693								
1694								
1695								
1696								
1697		622.56	Cust 3/81					
1698		"1,067.00"	Cust 3/1					
1699		"2,843.09"	Cust 3/3					
1700		"6,618.30"	Cust 3/4					
1701		"4,791.55"	Cust 3/5					
1702		"4,434.48"	Cust 3/6					
1703		"2,421.88"	Cust 3/7					
1704		"1,209.03"	Cust 3/8					
1705								
1706		320.95	Cust 3/9					
1707		829.47	Cust 3/10					
1708		"1,289.52"	Cust 3/11					
1709		825.73	Cust 3/12					
1710		653.33	Cust 3/13					
1711		470.33	Cust 3/14					
1712								
1713		"2,189.80"	Cust 3/15					
1714		"4,766.50"	Cust 3/16					
1715		"5,859.67"	Cust 3/17					
1716		"2,055.62"	Cust 3/18					
1717		"1,148.45"	Cust 3/19					
1718		"1,174.86"	Cust 3/20					
1719		739.63	Cust 3/21					
1720		342.75	Cust 3/22					
1721		"1,798.03"	Cust 3/23					
1722		"1,130.40"	Cust 3/24					
1723		"2,273.60"	Cust 3/25					
1724		"3,347.48"	Cust 3/26					
1725		"3,220.81"	Cust 3/27					
1726		"3,588.07"	Cust 3/28B					
1727		"3,108.98"	Cust 3/82					
1728								
1729		989.05	Cust 3/29					
1730		"1,505.12"	Cust 3/30					
1731		780.73	Cust 3/31					
1732		"1,189.41"	Cust 3/32					
1733		"1,461.12"	Cust 3/33					
1734		"1,261.73"	Cust 3/34					
1735		"1,594.55"	Cust 3/35					
1736		"2,231.85"	Cust 3/36					
1737		"2,176.78"	Cust 3/37					
1738		"2,520.25"	Cust 3/38					
1739		"1,945.37"	Cust 3/39					
1740		"1,997.20"	Cust 3/40					
1741		"1,289.17"	Cust 3/41					
1742		"1,030.73"	Cust 3/42					
1743		"1,299.07"	Cust 3/43					
1744		495.11	Cust 3/44					
1745		574.38	Cust 3/45					
1746		136.55	Cust 3/46					
1747		596.29	Cust 3/47					
1748		"1,747.10"	Cust 3/48					
1749		"1,233.65"	Cust 3/49					
1750		"4,659.84"	Cust 3/50					
1751		"7,386.18"	Cust 3/51					
1752		"5,368.41"	Cust 3/52					
1753		"3,912.26"	Cust 3/53					
1754		"3,213.91"	Cust 3/54					
1755		"2,545.10"	Cust 3/55					
1756		"4,802.85"	Cust 3/56					
1757		"4,158.47"	Cust 3/57					
1758		"3,937.04"	Cust 3/58					
1759		"4,851.48"	Cust 3/59					
1760		"1,852.77"	Cust 3/60					
1761		878.14	Cust 3/61					
1762		"1,983.67"	Cust 3/62					
1763		"3,567.21"	Cust 3/63					
1764		"4,502.72"	Cust 3/64					
1765		"6,058.00"	Cust 3/65					
1766		"10,538.81"	Cust 3/66		"11,601.13"	Cust 3/66		
1767		"9,098.50"	Cust 3/67		"15,611.41"	Cust 3/67		
1768		"9,597.59"	Cust 3/68		"34,633.40"	Cust 3/68		
1769		"10,367.78"	Cust 3/69		"7,456.50"	Cust 3/69		
1770		"10,590.17"	Cust 3/70		"85,659.36"	Cust 3/70		
1771		"3,466.16"	Cust 3/71		"34,087.48"	Cust 3/71		
1772		"6,663.19"	Cust 3/72		"51,079.69"	Cust 3/72		
1773		"2,180.99"	Cust 3/73		"21,377.69"	Cust 3/73		
1774		"1,978.06"	Cust 3/74		"25,253.98"	Cust 3/74		
1775		"2,754.33"	Cust 3/75		"43,180.32"	Cust 3/75		
1776		"1,548.36"	Cust 3/76		"30,007.45"	Cust 3/76		
1777		"1,892.97"	Cust 3/77		"27,744.38"	Cust 3/77		
1778		"2,264.25"	Cust 3/78		"44,003.70"	Cust 3/78		
1779		"4,403.45"	Cust 3/79		"10,690.08"	Cust 3/79		
1780		"4,296.05"	Cust 3/80		14.05	Cust 3/80		
1781		"3,056.68"	Cust 17/7					
1782		"1,440.60"	Cust 17/7					
1783		"1,140.45"	Cust 17/8					
1784		"2,323.39"	Cust 17/8					
1785		"11,683.07"	Cust 17/9					
1786		"15,471.54"	Cust 17/9					
1787		"8,795.04"	Cust 17/10					
1788		"6,333.87"	Cust 17/10					
1789								
1790								
