Log f All: Table 1
1889								"BZD	2,278,152"	"BZD	2,635,436"		"BZD	1,096,940"	"BZD	1,427,711"	Cd.307	
1890								"BZD	1,829,481"	"BZD	1,866,097"		"BZD	855,217"	"BZD	1,108,249"	Cd.307	
1891								"BZD	2,478,428"	"BZD	2,554,061"		"BZD	1,020,656"	"BZD	1,407,760"	Cd.307	
1892								"BZD	2,034,794"	"BZD	2,016,494"		"BZD	790,015"	"BZD	921,618"	Cd.307	
1893								"BZD	1,515,457"	"BZD	2,214,788"		"BZD	580,567"	"BZD	1,230,493"	Cd.307	
1894								"BZD	789,215"	"BZD	1,274,788"				C.7944-14	
1895								"BZD	1,367,778"	"BZD	1,208,155"		"BZD	402,533"	"BZD	552,177"	Cd.307	
1896								"BZD	1,376,243"	"BZD	1,297,172"		"BZD	492,304"	"BZD	715,600"	Cd.307	
1897								"BZD	1,338,100"	"BZD	1,321,436"		"BZD	457,728"	"BZD	724,394"	Cd.307	
1898								"BZD	1,176,246"	"BZD	1,207,971"		"BZD	395,684"	"BZD	803,535"	Cd.7165	
1899								"BZD	971,460"	"BZD	1,204,226"		"BZD	396,215"	"BZD	810,323"	Cd.7165	
1900								"BZD	1,129,027"	"BZD	1,224,897"		"BZD	354,288"	"BZD	577,868"	Cd.7165	
1901								"BZD	1,155,804"	"BZD	1,306,866"		"BZD	351,775"	"BZD	598,886"	Cd.7165	
1902								"BZD	1,155,213"	"BZD	1,281,673"		"BZD	317,358"	"BZD	392,595"	Cd.7165	
1903								"BZD	1,668,153"	"BZD	1,743,613"		"BZD	436,486"	"BZD	319,231"	Cd.7165	
1904								"BZD	1,653,423"	"BZD	1,753,674"		"BZD	439,813"	"BZD	393,721"	Cd.7165	
1905								"BZD	1,765,611"	"BZD	1,726,746"		"BZD	466,554"	"BZD	442,917"	Cd.7165	
1906								"BZD	2,070,437"	"BZD	1,899,637"		"BZD	552,725"	"BZD	542,174"	Cd.7165	
1907								"BZD	2,272,898"	"BZD	2,080,315"		"BZD	625,691"	"BZD	427,253"	Cd.7165	
1908								"BZD	2,518,604"	"BZD	2,071,623"		"BZD	649,634"	"BZD	449,874"	Cd.7165	
1909								"BZD	2,544,365"	"BZD	2,078,420"		"BZD	519,215"	"BZD	334,802"	Cd.7165; Cmd. 2738	
1910								"BZD	2,652,539"	"BZD	2,205,772"		"BZD	565,362"	"BZD	310,007"	Cd.7165; Cmd. 2738	
1911								"BZD	2,716,007"	"BZD	2,527,054"		"BZD	584,248"	"BZD	315,633"	Cd.7165; Cmd. 2738	
1912								"BZD	3,290,162"	"BZD	2,687,280"		"BZD	627,343"	"BZD	291,048"	Cd.7165; Cmd. 2738	
1913								"BZD	2,997,040"	"BZD	2,941,395"				Cmd. 2738	
1914								"BZD	2,804,196"	"BZD	2,746,207"				Cmd. 2738	
1915								"BZD	2,021,905"	"BZD	2,103,705"				Cmd. 2738	
1916								"BZD	2,430,854"	"BZD	2,413,964"				Cmd. 2738	
1917								"BZD	2,628,600"	"BZD	2,637,246"				Cmd. 2738	
1918								"BZD	3,354,619"	"BZD	3,451,757"				Cmd. 2738	
1919								"BZD	4,417,623"	"BZD	4,185,782"				Cmd. 2738	
1920								"BZD	5,529,266"	"BZD	4,747,359"				Cmd. 2738	
1921								"BZD	3,145,475"	"BZD	2,865,403"				Cmd. 2738	
1922								"BZD	3,095,863"	"BZD	1,374,564"	"BZD	1,267,040"			Cmd. 3434	"Exp = FOB, exc export duty, for > 1921"
1923								"BZD	3,798,030"	"BZD	1,244,831"	"BZD	1,757,015"			Cmd. 3434	"Imports = net value, exc outside packages, insurance, freight, duty, for > 1921"
1924								"BZD	3,664,040"	"BZD	1,537,623"	"BZD	1,591,520"			Cmd. 3434	
1925								"BZD	4,248,174"	"BZD	1,517,717"	"BZD	1,846,656"			Cmd. 3434	
1926								"BZD	4,764,908"	"BZD	1,798,856"	"BZD	1,894,978"			Cmd. 5298	
1927								"BZD	4,229,371"	"BZD	2,457,978"	"BZD	1,817,165"			Cmd. 5298	
1928								"BZD	4,192,753"	"BZD	1,753,083"	"BZD	2,050,604"			Cmd. 5298	
1929								"BZD	4,755,753"	"BZD	1,812,587"	"BZD	2,760,076"			Cmd. 5298	
1930								"BZD	4,632,168"	"BZD	1,318,245"	"BZD	2,943,166"			Cmd. 5298	
1931								"BZD	4,412,460"	"BZD	599,619"	"BZD	2,293,198"			Cmd. 5298	
1932								"BZD	2,961,475"	"BZD	384,488"	"BZD	1,405,213"			Cmd. 5298	
1933								"BZD	1,798,856"	"BZD	462,301"	"BZD	627,082"			Cmd. 5298	
1934								"BZD	1,716,465"	"BZD	787,285"	"BZD	563,001"			Cmd. 6140	
1935								"BZD	2,499,174"	"BZD	869,676"	"BZD	709,472"			Cmd. 6140	
1936	"£	658,000"	"£	270,000"	"£	208,000"			Cmd. 7224		"BZD	3,011,825"	"BZD	1,235,855"	"BZD	952,066"			Cmd. 6140	
1937	"£	801,000"	"£	286,000"	"£	232,000"			Cmd. 7224		"BZD	3,680,102"	"BZD	1,313,668"	"BZD	1,066,497"			Cmd. 6140	
1938	"£	821,000"	"£	372,000"	"£	293,000"			Cmd. 7224		"BZD	3,702,988"	"BZD	1,679,847"	"BZD	1,322,823"			Cmd. 6140	
1939	"£	795,000"	"£	311,000"	"£	245,000"			Cmd. 7224		"BZD	3,532,320"	"BZD	2,519,900"				Cmd. 7167	
1940	"£	823,000"	"£	402,000"	"£	349,000"			Cmd. 7224		"BZD	3,316,690"	"BZD	3,038,620"				Cmd. 7167	
1941	"£	931,000"	"£	439,000"	"£	394,000"			Cmd. 7224		"BZD	3,751,930"	"BZD	3,356,990"				Cmd. 7167	
1942	"£	983,000"	"£	311,000"	"£	323,000"			Cmd. 7224		"BZD	3,965,520"	"BZD	2,555,020"				Cmd. 7167	
1943	"£	1,410,000"	"£	441,000"	"£	488,000"			Cmd. 7224		"BZD	5,686,330"	"BZD	3,743,870"				Cmd. 7167	
1944	"£	1,827,000"	"£	462,000"	"£	1,049,000"			Cmd. 7224		"BZD	7,362,810"	"BZD	6,085,300"				Cmd. 7167	
1945	"£	1,944,000"	"£	490,000"	"£	731,000"			Cmd. 7224		"BZD	7,838,350"	"BZD	4,920,630"				Cmd. 7167	
1946	"£	1,683,000"	"£	872,000"	"£	424,000"			Cmd. 8051		"BZD	6,782,490"	"BZD	5,222,880"				Cmd. 7167	
1947	"£	2,148,000"	"£	1,053,000"	"£	471,000"			Cmd. 8051								
1948								"BZD	7,669,906"	"BZD	6,142,601"				Col Rep 49	
1949								"BZD	5,620,605"	"BZD	4,564,847"				Col Rep 49	
1950								"BZD	8,782,607"	"BZD	4,594,936"	"BZD	161,711"			Col Rep 52	Import = CIF
1951								"BZD	12,407,332"	"BZD	5,985,700"	"BZD	248,431"			Col Rep 52	
1952								"BZD	12,671,851"	"BZD	5,615,483"	"BZD	574,504"			Col Rep 52	
1953								"BZD	11,764,015"	"BZD	6,810,486"	"BZD	684,421"			Col Rep 54	
1954								"BZD	11,409,568"	"BZD	6,226,568"	"BZD	1,061,258"			Col Rep 54	
1955								"BZD	14,339,799"	"BZD	7,014,226"	"BZD	1,172,649"			Col Rep 56	
1956								"BZD	15,850,630"	"BZD	7,486,507"	"BZD	2,486,533"			Col Rep 56	
1957								"BZD	15,108,063"	"BZD	7,352,262"	"BZD	1,591,139"			Col Rep 58	
1958								"BZD	18,516,241"	"BZD	7,768,062"	"BZD	1,319,813"			Col Rep 58	
1959														
1960								"BZD	18,783,607"	"BZD	10,164,943"	"BZD	1,062,512"			Col Rep 59-61	
1961								"BZD	22,708,464"	"BZD	11,186,533"	"BZD	1,215,769"			Col Rep 59-61	
1962								"BZD	31,202,647"	"BZD	8,251,986"	"BZD	4,128,534"			Col Rep 62-63	
1963								"BZD	27,553,446"	"BZD	15,430,016"	"BZD	3,141,978"			Col Rep 62-63	
1964								"BZD	33,900,819"	"BZD	17,134,327"	"BZD	2,058,366"			Col Rep 64-65	
1965								"BZD	34,987,986"	"BZD	15,216,520"	"BZD	2,246,542"			Col Rep 64-65	
1966														
1967														
1968														
1969														
1970														
1971														
1972														
1973														
1974														
1975														
1976														
1977														
1978														
1979														
1980														
1981														
1982														
1983														
1984														
1985														
1986														
1987														
1988														
1989														
1990														
1991														
1992														
1993														
1994														
1995														
1996														
1997														
1998														
1999														
2000														
2001														
2002														
2003														
2004														
2005														
2006														
2007														
2008														
2009														
2010														
2011														
2012														
2013														
2014														
2015														
2016														
2017														
2018														
2019														
2020														


GDP Hon: Table 1
	GDP	CF	N	GDP	t Hon f All	f Hon t All	Cf	N
1950								
1951					"£	0.26"	"£	0.13"	EIU	In millions
1952					"£	0.26"	"£	0.13"	EIU	"Exp = FOB, Imp = CIF"
1953					"£	0.25"	"£	0.16"	EIU	Imp Exp figs = monthly avg
1954					"£	0.24"	"£	0.15"	EIU	GDP = annual
1955				"BZD	22.5"	"£	0.30"	"£	0.17"	EIU	
1956				"BZD	25.5"	"£	0.33"	"£	0.21"	EIU	
1957				"BZD	27.7"	"£	0.33"	"£	0.20"	EIU	
1958				"BZD	29.9"	"BZD	18.5"	"BZD	9.1"	EIU	
1959				"BZD	30.6"	"BZD	19.6"	"BZD	9.6"	EIU	
1960	"$	28,071,889"	WB WDI	At current USD		"BZD	18.8"	"BZD	11.2"	EIU	
1961	"$	29,964,371"	WB WDI	BZD to USD using “official FX rates”		"BZD	22.7"	"BZD	12.4"	EIU	
1962	"$	31,856,923"	WB WDI	GDP based on production approach		"BZD	31.1"	"BZD	12.4"	EIU	
1963	"$	33,749,405"	WB WDI						
1964	"$	36,193,826"	WB WDI		"BZD	46.5"			EIU	
1965	"$	40,069,930"	WB WDI						
1966	"$	44,405,594"	WB WDI						
1967	"$	47,379,310"	WB WDI						
1968	"$	44,910,180"	WB WDI						
1969	"$	47,305,389"	WB WDI						
1970	"$	53,233,533"	WB WDI						
1971	"$	59,207,317"	WB WDI						
1972	"$	66,062,500"	WB WDI						
1973	"$	78,343,558"	WB WDI						
1974	"$	103,216,374"	WB WDI						
1975	"$	118,066,298"	WB WDI						
1976	"$	96,905,830"	WB WDI		"BZD	163.4"			EIU	
1977	"$	117,650,000"	WB WDI		"BZD	179.8"			EIU	
1978	"$	136,300,000"	WB WDI						
1979	"$	151,800,000"	WB WDI						
1980	"$	197,938,222"	WB WDI						
1981	"$	196,089,855"	WB WDI						
1982	"$	182,206,327"	WB WDI						
1983	"$	192,103,186"	WB WDI						
1984	"$	214,381,949"	WB WDI		"BZD	387.9"			EIU	GDP at market prices
1985	"$	212,643,743"	WB WDI		"BZD	396.6"			EIU	
1986	"$	231,638,321"	WB WDI		"BZD	431.3"			EIU	
1987	"$	281,082,559"	WB WDI		"BZD	487.6"			EIU	
1988	"$	320,093,360"	WB WDI						
1989	"$	369,133,891"	WB WDI						
1990	"$	412,086,445"	WB WDI						
1991	"$	444,720,750"	WB WDI						
1992	"$	518,239,100"	WB WDI			52.92	49.72	WB WITS	Figs in percentage of GDP
1993	"$	559,858,250"	WB WDI			50.18	46.69	WB WITS	"Imp Exp inc services, freight, insurance"
1994	"$	580,863,700"	WB WDI			52.44	49.83	WB WITS	
1995	"$	620,140,400"	WB WDI			49.11	47.96	WB WITS	
1996	"$	641,383,800"	WB WDI			50.27	50.00	WB WITS	
1997	"$	654,314,350"	WB WDI			55.71	52.78	WB WITS	
1998	"$	688,992,450"	WB WDI			56.93	52.58	WB WITS	
1999	"$	732,750,000"	WB WDI			67.35	54.32	WB WITS	
2000	"$	832,050,000"	WB WDI			73.67	52.97	WB WITS	
2001	"$	868,350,000"	WB WDI			69.10	50.87	WB WITS	
2002	"$	925,050,000"	WB WDI			66.13	52.56	WB WITS	
2003	"$	983,500,000"	WB WDI			65.94	53.19	WB WITS	
2004	"$	1,051,350,000"	WB WDI			58.51	50.56	WB WITS	
2005	"$	1,102,050,000"	WB WDI			62.70	54.66	WB WITS	
2006	"$	1,210,150,000"	WB WDI			61.65	61.13	WB WITS	
2007	"$	1,271,600,000"	WB WDI			61.22	61.09	WB WITS	
2008	"$	1,351,350,000"	WB WDI			69.65	62.37	WB WITS	
2009	"$	1,317,300,000"	WB WDI			56.30	51.69	WB WITS	
2010	"$	1,377,200,000"	WB WDI			58.65	59.06	WB WITS	
2011	"$	1,460,800,000"	WB WDI			64.33	62.62	WB WITS	
2012	"$	1,522,900,000"	WB WDI			63.80	64.45	WB WITS	
2013	"$	1,579,400,000"	WB WDI			66.59	65.36	WB WITS	
2014	"$	1,662,800,000"	WB WDI			65.27	62.32	WB WITS	
2015	"$	1,723,800,000"	WB WDI			66.26	58.82	WB WITS	
2016	"$	1,775,100,000"	WB WDI			61.61	52.60	WB WITS	
2017	"$	1,836,600,000"	WB WDI			58.44	54.98	WB WITS	
2018	"$	1,871,200,000"	WB WDI			58.01	57.70	WB WITS	
2019	"$	1,879,613,600"	WB WDI						
2020								


Financials Hon: Table 1
	GDP	CF	N	Rev	Exp	Debt	Cf	N	GDP	Rev	Exp	Debt	Cf	N
1950														
1951														
1952														
1953														
1954														
1955									"BZD	22.5"				EIU	In millions
1956									"BZD	25.5"				EIU	GDP at current prices
1957									"BZD	27.7"				EIU	
1958									"BZD	29.9"	"BZD	9.2"	"BZD	93.0"		EIU	
1959									"BZD	30.6"	"BZD	10.4"	"BZD	10.4"		EIU	
1960	"$	28,071,889"	WB WDI	At current USD							"BZD	8.7"	"BZD	8.3"	"BZD	4.7"	EIU	
1961	"$	29,964,371"	WB WDI	BZD to USD using “official FX rates”							"BZD	7.0"	"BZD	9.4"		EIU	
1962	"$	31,856,923"	WB WDI	GDP based on production approach							"BZD	9.2"	"BZD	11.3"		EIU	
1963	"$	33,749,405"	WB WDI								"BZD	10.5"	"BZD	9.2"		EIU	
1964	"$	36,193,826"	WB WDI							"BZD	46.4"	"BZD	8.3"	"BZD	9.3"		EIU	GDP at factor cost
1965	"$	40,069,930"	WB WDI								"BZD	9.3"	"BZD	9.8"		EIU	
1966	"$	44,405,594"	WB WDI								"BZD	11.2"	"BZD	11.2"		EIU	
1967	"$	47,379,310"	WB WDI								"BZD	12.4"	"BZD	12.3"		EIU	
1968	"$	44,910,180"	WB WDI								"BZD	12.6"	"BZD	12.2"		EIU	
1969	"$	47,305,389"	WB WDI								"BZD	14.8"	"BZD	14.0"		EIU	
1970	"$	53,233,533"	WB WDI								"BZD	15.7"	"BZD	15.3"		EIU	
1971	"$	59,207,317"	WB WDI								"BZD	17.5"	"BZD	16.1"		EIU	
1972	"$	66,062,500"	WB WDI								"BZD	18.2"	"BZD	17.0"		EIU	
1973	"$	78,343,558"	WB WDI								"BZD	22.5"	"BZD	18.7"		EIU	Rev inc non-tax rev
1974	"$	103,216,374"	WB WDI								"BZD	30.5"	"BZD	22.7"		EIU	
1975	"$	118,066,298"	WB WDI								"BZD	40.1"	"BZD	27.5"		EIU	
1976	"$	96,905,830"	WB WDI								"BZD	43.5"	"BZD	35.7"		EIU	
1977	"$	117,650,000"	WB WDI								"BZD	44.0"	"BZD	38.3"		EIU	
1978	"$	136,300,000"	WB WDI								"BZD	54.9"	"BZD	62.5"		EIU	
1979	"$	151,800,000"	WB WDI								"BZD	63.3"	"BZD	73.9"		EIU	
1980	"$	197,938,222"	WB WDI			15.46		WB WDI	Figs in percentage of GDP		"BZD	80.5"	"BZD	89.0"		EIU	
1981	"$	196,089,855"	WB WDI			16.50		WB WDI	Debt given for last day of fiscal yr						
1982	"$	182,206,327"	WB WDI			18.78		WB WDI					"$	62.3"	EIU	"Debt = disbursed, outstanding pub + pub-guaranteed long + med term "
1983	"$	192,103,186"	WB WDI			18.83		WB WDI					"$	75.4"	EIU	
1984	"$	214,381,949"	WB WDI			17.85		WB WDI					"$	76.0"	EIU	
1985	"$	212,643,743"	WB WDI			19.02		WB WDI					"$	94.3"	EIU	
1986	"$	231,638,321"	WB WDI			18.47		WB WDI					"$	119.3"	EIU	Debt = total external debt
1987	"$	281,082,559"	WB WDI			16.09		WB WDI					"$	125.0"	EIU	
1988	"$	320,093,360"	WB WDI			14.94		WB WDI							
1989	"$	369,133,891"	WB WDI			13.70		WB WDI							
1990	"$	412,086,445"	WB WDI			12.98	28.13	WB WDI					"$	152.3"	EIU	
1991	"$	444,720,750"	WB WDI			13.09	28.64	WB WDI					"$	168.9"	EIU	
1992	"$	518,239,100"	WB WDI			13.52	32.96	WB WDI					"$	172.3"	EIU	
1993	"$	559,858,250"	WB WDI			14.84	35.33	WB WDI					"$	184.5"	EIU	
1994	"$	580,863,700"	WB WDI			15.29	37.17	WB WDI					"$	167.5"	EIU	
1995	"$	620,140,400"	WB WDI			14.28	36.31	WB WDI							
1996	"$	641,383,800"	WB WDI			14.14	38.83	WB WDI							
1997	"$	654,314,350"	WB WDI			14.53		WB WDI							
1998	"$	688,992,450"	WB WDI			14.33		WB WDI							
1999	"$	732,750,000"	WB WDI			13.50		WB WDI							
2000	"$	832,050,000"	WB WDI			12.91		WB WDI							
2001	"$	868,350,000"	WB WDI			13.14		WB WDI							
2002	"$	925,050,000"	WB WDI			14.42	67.81	WB WDI							
2003	"$	983,500,000"	WB WDI			14.72	88.61	WB WDI							
2004	"$	1,051,350,000"	WB WDI			14.05	104.63	WB WDI							
2005	"$	1,102,050,000"	WB WDI			14.61	93.22	WB WDI							
2006	"$	1,210,150,000"	WB WDI			14.26	88.19	WB WDI							
2007	"$	1,271,600,000"	WB WDI			15.26	86.00	WB WDI							
2008	"$	1,351,350,000"	WB WDI			15.57	79.80	WB WDI							
2009	"$	1,317,300,000"	WB WDI			16.14	83.23	WB WDI							
2010	"$	1,377,200,000"	WB WDI			16.18	81.33	WB WDI							
2011	"$	1,460,800,000"	WB WDI			15.70	78.25	WB WDI							
2012	"$	1,522,900,000"	WB WDI			15.44	76.96	WB WDI							
2013	"$	1,579,400,000"	WB WDI			15.53	78.78	WB WDI							
2014	"$	1,662,800,000"	WB WDI			15.36	78.48	WB WDI							
2015	"$	1,723,800,000"	WB WDI			15.60		WB WDI							
2016	"$	1,775,100,000"	WB WDI			16.81		WB WDI							
2017	"$	1,836,600,000"	WB WDI			16.64		WB WDI							
2018	"$	1,871,200,000"	WB WDI			17.49		WB WDI							
2019	"$	1,879,613,600"	WB WDI			17.49		WB WDI							
2020														


Financials: Table 1
	Rev	Exp	Exp Ln	Debt	Cf	N	Rev	Exp	Exp Ln	Debt	Cf	Note	
1800													
1801													
1802													
1803													
1804													
1805													
1806													
1807	"£	7,566"	"£	8,291"			Martin 1839 p 140-1								
1808	"£	6,005"	"£	5,170"			Martin 1839 p 140-1								
1809	"£	6,829"	"£	6,066"			Martin 1839 p 140-1								
1810	"£	9,523"	"£	9,604"			Martin 1839 p 140-1								
1811	"£	8,643"	"£	8,981"			Martin 1839 p 140-1								
1812	"£	6,590"	"£	6,312"			Martin 1839 p 140-1								
1813	"£	5,438"	"£	5,548"			Martin 1839 p 140-1								
1814	"£	5,474"	"£	5,629"			Martin 1839 p 140-1								
1815	"£	12,944"	"£	12,527"			Martin 1839 p 140-1								
1816	"£	10,672"	"£	9,276"			Martin 1839 p 140-1								
1817	"£	8,168"	"£	8,838"			Martin 1839 p 140-1								
1818	"£	16,501"	"£	18,193"			Martin 1839 p 140-1								
1819	"£	15,967"	"£	16,896"			Martin 1839 p 140-1								
1820	"£	17,249"	"£	17,266"			Martin 1839 p 140-1								
1821	"£	12,306"	"£	12,027"			Martin 1839 p 140-1								
1822	"£	14,831"	"£	14,296"			Martin 1839 p 140-1								
1823	"£	19,294"	"£	21,012"			Martin 1839 p 140-1								
1824	"£	14,125"	"£	14,163"			Martin 1839 p 140-1								
1825	"£	17,594"	"£	17,634"			Martin 1839 p 140-1								
1826	"£	13,256"	"£	13,755"			Martin 1839 p 140-1								
1827	"£	17,416"	"£	17,562"			Martin 1839 p 140-1								
1828	"£	12,460"	"£	10,760"			Martin 1839 p 140-1								
1829	"£	11,057"	"£	11,150"			Martin 1839 p 140-1								
1830	"£	24,885"	"£	15,807"			Martin 1839 p 140-1		"BZD	74,658"	"BZD	66,391"			CP 1005 p 163		
1831	"£	13,943"	"£	13,721"			Martin 1839 p 140-1		"BZD	58,563"	"BZD	57,629"			CP 1005 p 163		
1832	"£	16,824"	"£	16,997"			Martin 1839 p 140-1		"BZD	70,251"	"BZD	84,990"			CP 1005 p 163		
1833	"£	15,157"	"£	16,802"			Martin 1839 p 140-1		"BZD	63,660"	"BZD	70,569"			CP 1005 p 163		
1834	"£	17,507"	"£	16,954"			CP 1847 869 p 103		"BZD	73,530"	"BZD	71,208"			CP 1005 p 163		
1835	"£	20,072"	"£	16,566"			CP 1847 869 p 103		"BZD	84,300"	"BZD	69,578"			CP 1005 p 163		
1836	"£	21,188"	"£	15,205"			CP 1847 869 p 103		"BZD	88,999"	"BZD	63,860"			CP 1005 p 163		
1837	"£	16,602"	"£	16,393"			CP 1847 869 p 103		"BZD	69,728"	"BZD	68,851"			CP 1005 p 163		
1838	"£	15,740"	"£	16,593"			CP 1847 869 p 103		"BZD	78,698"	"BZD	82,963"			CP 1005 p 163		
1839	"£	13,753"	"£	15,971"			CP 1847 869 p 103		"BZD	68,764"	"BZD	79,854"			CP 1005 p 163		
1840	"£	12,246"	"£	12,538"			CP 1847 869 p 103		"BZD	61,231"	"BZD	62,688"			CP 1005 p 163		
1841	"£	13,880"	"£	12,696"			CP 1847 869 p 103		"BZD	69,400"	"BZD	63,480"			CP 1005 p 163		
1842	"£	12,516"	"£	13,460"			CP 1847 869 p 103		"BZD	62,578"	"BZD	67,298"			CP 1005 p 163		
1843	"£	17,229"	"£	14,921"			CP 1847 869 p 103		"BZD	86,145"	"BZD	74,605"			CP 1005 p 163		
1844	"£	17,370"	"£	14,163"			BB 45 p 30; CP 1847 869 p 103		"BZD	86,850"	"BZD	70,813"			CP 1005 p 163		
1845	"£	22,373"	"£	18,302"			BB 45 p 30; CP 1847 869 p 103		"BZD	111,863"	"BZD	91,510"			CP 1005 p 163		
1846	"£	21,667"	"£	19,201"			CP 1847 869 p 103		"BZD	108,336"	"BZD	96,003"			CP 1005 p 163		
1847	"£	16,679"	"£	21,809"			CP 1126 p 269	"No revenue from loans < 1847, from haphazard sample of rev statemetns"	"BZD	83,395"	"BZD	109,045"			CP 1005 p 163		
1848	"£	12,394"	"£	17,017"			CP 1126 p 269								
1849													
1850	"£	13,463"	"£	13,844"			CP 2127 p 215								
1851	"£	17,964"	"£	13,622"		"£	2,000"	CP 1693 p 38; CP 2127 p 215	Debt termed “liabilities incurred” < 1852							
1852	"£	13,481"	"£	18,543"			CP 2127 p 215								
1853	"£	17,706"	"£	17,384"			CP 2127 p 215								
1854	"£	26,327"	"£	19,376"			CP 2127 p 215								
1855	"£	22,585"	"£	21,511"			CP 2441 p 121								
1856	"£	22,623"	"£	26,236"			CP 2741 p 131								
1857	"£	25,120"	"£	26,469"			CP 2741 p 131								
1858	"£	22,176"	"£	20,544"		"£	0"	CP 2711 p 4; CP 2841 p 13								
1859	"£	22,982"	"£	25,778"			CP 2841 p 13; CP 2841 p 13	“Loan … [for] new bridge” taken up							
1860	"£	35,716"			"£	0"	CP 147								
1861	"£	35,757"	"£	22,724"		"£	0"	CP 3165 p 6								
1862	"£	27,294"	"£	32,175"		"£	0"	C.2093; CP 4090 p 18	"Exc loans raised, spent > 1862"							
1863	"£	27,898"	"£	28,642"		"£	5,625"	C.2093	"Bullion, specie Imp Exp not specified"							
1864	"£	31,544"	"£	28,365"		"£	21,562"	C.2093								
1865	"£	26,530"	"£	35,614"		"£	28,239"	C.2093								
1866	"£	27,334"	"£	31,094"		"£	32,919"	C.2093; CP 3995 p 11								
1867	"£	35,720"	"£	32,644"		"£	34,515"	C.2093	Debt likely exc loans from HM Gov; CP 4090 p 18							
1868	"£	42,416"	"£	39,720"		"£	39,277"	C.2093								
1869	"£	36,630"	"£	30,404"		"£	34,121"	C.2093								
1870	"£	32,674"	"£	26,220"		"£	29,591"	C.2093								
1871	"£	42,881"	"£	25,454"		"£	29,591"	C.2093								
1872	"£	38,720"	"£	29,350"		"£	22,321"	C.2093								
1873	"£	51,946"	"£	34,407"		"£	15,591"	C.2093								
1874	"£	43,723"	"£	40,063"		"£	15,391"	C.2093								
1875	"£	41,906"	"£	40,839"		"£	13,062"	C.2093		"BZD	209,531"	"BZD	204,197"		"BZD	65,312"	C.6160	"Rev, Exp exc loans raised and repaid"	
1876	"£	40,231"	"£	36,615"		"£	5,041"	C.2093		"BZD	213,193"	"BZD	194,035"		"BZD	26,711"	C.6160		
1877							"BZD	220,387"	"BZD	211,595"		"BZD	26,711"	C.6160		
1878							"BZD	204,836"	"BZD	259,314"		"BZD	22,893"	C.6160		
1879							"BZD	204,650"	"BZD	257,305"		"BZD	5,636"	C.6160		
1880							"BZD	219,423"	"BZD	312,770"		"BZD	0"	C.6160; C.3094 p 39		
1881							"BZD	221,492"	"BZD	206,623"		"BZD	0"	C.6160; C.3388 p 61		
1882							"BZD	235,411"	"BZD	225,847"			C.6160		
1883							"BZD	259,417"	"BZD	199,598"		"BZD	0"	C.6160; C.4193		
1884							"BZD	257,373"	"BZD	265,899"			C.6160		
1885							"BZD	261,227"	"BZD	316,175"	"BZD	61,162"		C.6160; Cd.307		
1886							"BZD	271,810"	"BZD	312,775"		"BZD	55,749"	C.6160; Cd.307		
1887							"BZD	280,142"	"BZD	294,295"		"BZD	55,749"	C.6160; Cd.307		
1888							"BZD	381,118"	"BZD	364,266"	"BZD	62,234"	"BZD	146,996"	C.6160; Cd.307		
1889							"BZD	442,537"	"BZD	381,162"	"BZD	11,212"	"BZD	146,996"	C.6160; Cd.307		
1890							"BZD	332,134"	"BZD	293,507"	"BZD	50,945"	"BZD	114,130"	Cd.307		
1891							"BZD	478,252"	"BZD	412,170"	"BZD	53,572"	"BZD	154,780"	Cd.307		
1892							"BZD	392,197"	"BZD	386,391"	"BZD	46,403"	"BZD	143,974"	Cd.307		
1893							"BZD	313,191"	"BZD	379,155"	"BZD	30,269"	"BZD	272,758"	Cd.307		
1894							"BZD	174,741"	"BZD	206,043"	"BZD	10,641"	"BZD	158,845"	Cd.307		
1895							"BZD	224,398"	"BZD	258,540"	"BZD	9,589"	"BZD	158,845"	Cd.307		
1896							"BZD	294,218"	"BZD	253,414"	"BZD	521"	"BZD	158,845"	Cd.307		
1897							"BZD	295,471"	"BZD	300,515"	"BZD	3,398"	"BZD	158,845"	Cd.307		
1898							"BZD	258,710"	"BZD	283,876"		"BZD	158,995"	Cd.7165		
1899							"BZD	235,888"	"BZD	247,144"		"BZD	158,995"	Cd.7165		
1900							"BZD	272,872"	"BZD	231,878"		"BZD	158,995"	Cd.7165	"Rev, Exp, Exp Ln > 1900 given for fin yr ended following yr"	
1901							"BZD	256,051"	"BZD	241,720"		"BZD	158,995"	Cd.7165		
1902							"BZD	244,251"	"BZD	237,330"		"BZD	158,995"	Cd.7165		
1903							"BZD	283,386"	"BZD	250,311"		"BZD	158,995"	Cd.7165		
1904							"BZD	291,474"	"BZD	265,572"		"BZD	158,995"	Cd.7165		
1905							"BZD	312,475"	"BZD	282,594"		"BZD	158,995"	Cd.7165		
1906							"BZD	368,692"	"BZD	297,209"	"BZD	5,227"	"BZD	158,995"	Cd.7165		
1907							"BZD	371,818"	"BZD	317,921"	"BZD	168,218"	"BZD	158,995"	Cd.7165		
1908							"BZD	339,576"	"BZD	316,603"	"BZD	187,690"	"BZD	158,995"	Cd.7165		
1909							"BZD	372,450"	"BZD	405,292"	"BZD	151,823"	"BZD	158,995"	Cmd. 2738		
1910							"BZD	432,142"	"BZD	461,029"	"BZD	49,691"	"BZD	158,995"	Cmd. 2738		
1911							"BZD	468,851"	"BZD	413,773"	"BZD	86,890"	"BZD	891,354"	Cmd. 2738		
