Sources: Table 1
AID	SUBAID_0	SUBAID_1	ID	FORM	TYPE_0	OLD_ID	OLD_AID	OLD_NAME_0	TITLE	CAT_0	CAT_1	CAT_2	OCLC	HDL	PUB_0	PUB_1	DESC	NOTE																								
Marcel				P	0				Les corsaires français au XVIe siècle dans les Antilles	http://id.lib.harvard.edu/alma/990059773670203941/catalog	http://id.lib.harvard.edu/alma/990047387720203941/catalog				1902		vol 1 of 1 / 1st ed	In 1902 conference papers = http://id.lib.harvard.edu/alma/990047387720203941/catalog																								
Marcus				T	0				"English influence on Belize and the Peten region of northern Guatemala, 1630 to 1763"	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/english-influence-on-belize-peten-region-northern/docview/303887067/se-2?accountid=11311					1990																											
Marley	1	2		P	0				"Wars of the Americas: a chronology of armed conflict in the New World, 1492 to the present"	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_askewsholts_vlebooks_9781598841015			180907562		2008	2008	vol 1 to 2 of 2 / 2nd expanded ed	v. 1. Discovery and conquest to high tide of empire -- v. 2. Independence to the modern era.																								
Marley aa	1	2		P	0				Pirates of the Americas				681548480 / 436030697		2010	2010	vol 1 to 2 of 2 / 1st ed	v. 1. 1650-1685 -- v. 2. 1686-1725.																								
Martinez				P	1				"Documentos, historia de Honduras"	http://id.lib.harvard.edu/alma/990001015880203941/catalog					1983		vol 1 of 1 / 1st ed	"Tegucigalpa, Honduras : Editorial Universitaria, 1983"																								
Masne				T	0				Les dynamiques spatiales sur la façade caraïbe de l'Amérique centrale : pouvoirs et formation des territoires dans un espace de marges	https://tel.archives-ouvertes.fr/tel-00601148					2010			"Géographie. Université Paris-Diderot - Paris VII, 2010"																								
Masne aa				A	0				"L’invention de la façade caraïbe centraméricaine : indios, negros, y piratas"	https://doi.org/10.4000/amerika.2210					2011			"Amerika [En ligne], 4 | 2011 / numbered para and sections, no pages"																								
McCarl				T	0				"Edición, estudio y notas de “Piratas y contrabandistas de ambas Indias, y estado presente de ellas” (1693) de Drancisco de Seyxas y Lovera"	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/edición-estudio-y-notas-de-piratas/docview/763491339/se-2?accountid=11311					2010																											
McJunkin				T	0				Logwood: An inquiry into the historical biogeography of Haematoxylum campechianum L. and related dyewoods of the neotropics	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/logwood-inquiry-into-historical-biogeography/docview/303932948/se-2?accountid=11311					1991																											
Mihok				T	0				"Unearthing Augusta: Landscapes of Royalization on Roatan Island, Honduras"	https://digitalcommons.usf.edu/etd/4920					2013																											
Molina				P	0				Antigua Guatemala	http://id.lib.harvard.edu/alma/990060736400203941/catalog					1943		vol 1 of 1 / 1st ed	"Copy of ??? manuscript / Guatemala : Unión Tipográfica, 1943"																								
Musset				P	0				Villes nomades du nouveau monde	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_globaltitleindex_catalog_38738640					2002																											
MX	1	3168		M	1	S 59	"MEXICO,zzz"		Audiencia de México			http://pares.mcu.es/ParesBusquedas20/catalogo/description/1930212					3196 legajos	Descripción incluida en GUIA DEL VISITANTE. ARCHIVO GENERAL DE INDIAS DE SEVILLA																								
N Ortega				P	0				"Belice, estudio sobre el origen de ese nombre"	https://www.google.com/books/edition/Belice/maY_AAAAYAAJ?hl=en&gbpv=0					1877		vol 1 of 1 / 1st ed																									
Newson				P	0				The cost of conquest : Indian decline in Honduras under Spanish rule	http://id.lib.harvard.edu/alma/990013215860203941/catalog					1986		vol 1 of 1 / 1st ed	Dellplain Latin American studies ; no. 20																								
O Torres				P	0				"De corsarios, mares y costas"	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_proquest_ebookcentral_EBC6781649			1281655607 / 1280054563		2020		vol 1 of 1 / 1st ed																									
O Torres aa				T	0				"Vigilar y defender: Piratería y la región de Yucatán, 1559-1610"	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/1053					2010		doc 1 of 1	Tesis de maestría / Centro de Investigaciones y Estudios Superiores en Antropología Social																								
O Torres bb				A	0				La presencia de corsarios franceses en el Golfo-Caribe entre 1536-1566 : una propuesta de análisis espacial	https://dialnet.unirioja.es/servlet/articulo?codigo=5589881					2016			Historia 2.0: Conocimiento Histórico en Clave Digital. 6 (11): 36–56																								
O Torres cc				T	0				"DE CORSARIOS, MARES Y COSTAS: EL CORSO EN LA CONSTRUCCIÓN DEL ESPACIO GOLFO-CARIBE. 1527-1620"	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/1044					2014																											
Oertzen				A	0				El colonialismo británico y el reino misquito en los siglos XVII y XVIII	http://repositorio.uca.edu.ni/id/eprint/1735					1985			Encuentro: Revista Académica de la Universidad Centroamericana (24-25). pp. 5-28. ISSN 0424 – 9674																								
Offen				A	0				El mapeo de la Mosquitia colonial y las prácticas espaciales de los pueblos mosquitos: (The Mapping of Colonial Mosquitia and the Spatial Practices of the Mosquito Indians)	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_dialnet_primary_oai_dialnet_unirioja_es_ART0000436764					2008			"Mesoamérica (Antigua, Guatemala), 2008 (50), p.1-36"																								
Oxford				P	0				DNB	http://id.lib.harvard.edu/alma/99153774884703941/catalog					2004																											
P Iglesias				P	0				"El puerto de Truxillo, un viaje hacia su melancólico abandono"	http://id.lib.harvard.edu/alma/990113436760203941/catalog					2007		vol 1 of 1 / 1st ed																									
P Valenzuela				P					Historias de piratas	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_globaltitleindex_catalog_29424768					1977		vol 1 of 1 / 2nd ed																									
P Valenzuela aa				P					Historias de piratas: los aventureros del mar en la América central	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_globaltitleindex_catalog_37162603					1936		vol 1 of 1 / 1st ed																									
P Valle				P	1				Expediente de Campos Azules : historia de Bluefields en sus documentos en el 75 aniversario de su erección en ciudad	http://id.lib.harvard.edu/alma/990011981990203941/catalog					1978		vol 1 of 1 / 1st ed	"Managua : [s.n.], 1978."																								
PA	1	374		M	1				Audiencia de Panamá			http://pares.mcu.es/ParesBusquedas20/catalogo/description/1859901					378 legajos	"378 Legajo(s) .  Numerados del 1 al 374 /Son A y B los números 34, 63, 64 y 296/."																								
Pavia				P	0				"Los ingleses en Mexico, ó sea, el origen y fundacion de las colonias británicas en el seno mexicano"	http://acervo.bibliotecavirtualdeyucatan.com.mx/janium-bin/janium_zui.pl?fn=64020&jzd=/janium/AP2/XLIII-1888.12/d.jzd					1888																											
Peniche				A	0				"Historia de las relaciones de España y México con Inglaterra, sobre el establecimiento de Belice"	https://www.google.com/books/edition/Bolet%C3%ADn_de_la_Sociedad_de_Geograf%C3%ADa_y/lARGAQAAMAAJ?hl=en&gbpv=0&kptab=editions					1869			"Boletín de la Sociedad de Geografía y Estadística de la República Mexicana. ser 2. vol 1: pp 217–256, 377–403"																								
Peralta				P	0				"Costa-Rica, Nicaragua y Panamá en el siglo XVI; su historia y sus límites según los documentos del Archivo de Indias de Sevilla, del de Simancas, etc"	http://id.lib.harvard.edu/alma/990046437710203941/catalog					1883		vol 1 of 1 / 1st ed	"Madrid, M. Murillo; [etc., etc.] 1883"																								
Pereira	1	2		P	1				Historia ou annaes dos feitos da Companhia privilegiada das Indias occidentaes desde o seu começo até ao fim do anno de 1636	http://id.lib.harvard.edu/alma/990056629580203941/catalog					1916	1925	vol 1 to 2 of 2 / trans of 1st ed	First published 1644 / vol 1 = https://hdl.handle.net/2027%2Fcoo.31924020373316 / vol 2 = https://hdl.handle.net/2027%2Fnjp.32101068325834																								
Philip				P	1				"Sir Francis Drake reuiued calling vpon this dull or effeminate age, to folowe his noble steps for golde & siluer, by this memorable relation, of the rare occurrances (neuer yet declared to the world) in a third voyage, made by him into the West-Indies, in the yeares 72. & 73. when Nombre de Dios was by him and 52. others only in his company, surprised"	http://id.lib.harvard.edu/alma/99154242015903941/catalog					1626		vol 1 of 1 / 1st ed	"1st ed in 1626, 2nd ed in 1628 [extracted in Wright aa part 2], It must be surely recognised that the contemporary Spanish documents herewith published [Wright aa part 1 docs nos 17-28, 30, 31] establish the validity of Sir Francis Drake Revived beyond cavil  /v Wright aa p viii"																								
Potthast				P	0				"Die Mosquitoküste im Spannungsfeld britischer und spanischer Politik, 1502-1821"	http://id.lib.harvard.edu/alma/990014572990203941/catalog					1988		vol 1 of 1 / 1st ed	"Lateinamerikanische Forschungen ; Bd. 16 / Köln : Böhlau, 1988"																								
PT	1	296		M	1	S 65	"PATRONATO,zzz"		Patronato Real			http://pares.mcu.es/ParesBusquedas20/catalogo/description/1916099					307 legajos	"307 Legajo(s) .  (legajos 1-296; de ellos, 66, 78, 90, 95, 97, 98, 103, 104, 222 y 230 y 296 en 2 unidades físicas). "																								
R Armas				P					Los viajes de John Hawkins a América (1562-1595)	http://id.lib.harvard.edu/alma/990064825490203941/catalog					1947		vol 1 of 1 / 1st ed	"Sevilla : Escuelo de Estudios Hispano-Americanos de Sevilla, 1947 / Publicaciones de la Escuela de Estudios Hispano-Americanos de Sevilla ; 35 (no. general) Serie 2: Monografias ; no. 9"																								
R Mane	1	4		P	0				El virreinato	http://id.lib.harvard.edu/alma/990039687150203941/catalog					1983	1983	vol 1 to 4 of 4 / 2nd ed	"v. 1. Orígenes y jurisdicciones, y dinámica social de los virreyes -- v. 2-3. Expansión y defensa -- v. 4. Obras públicas y educación universitaria / First published 1955 onwards as series Universidad Nacional Autónoma de México. Instituto de Historia. Publicación ; no. 32, 47. 54, 64"																								
R Martinez				P					"La expedición del corsario Pierre Chuetot al circuncaribe y su desembarco en la península de Yucatán, 1570-1574"	http://id.lib.harvard.edu/alma/990126845420203941/catalog					2010		vol 1 of 1 / 1st ed	"Zamora, Michoacán : El Colegio de Michoacán, 2010 / Coleccion Premio Luis Gonzalez y Gonzalez"																								
R Morel				P	1				Cartas de la Real Audiencia de Santo Domingo (1530-1546)	http://id.lib.harvard.edu/alma/990117235260203941/catalog					2007		vol 1 of 1 / 1st ed	"Santo Domingo, D.N. : Archivo General de la Nación : Academia Dominicana de la Historia, 2007 / Archivo General de la Nación ; vol. 44 / Academia Dominicana de la Historia ; vol. 81"																								
R Sanchez				P	0				Historia de la Fortaleza y Puerto de San Fernando de Omoa	http://id.lib.harvard.edu/alma/990077323040203941/catalog					1987		vol 1 of 1 / 1st ed	Maybe in 2 volumes 1987–1988																								
R Vargas				P	0				Historia de la Costa Atlántica	http://id.lib.harvard.edu/alma/990076101840203941/catalog					1996		vol 1 of 1 / 1st ed	"Colección Autonomía / [Managua] : CIDCA-UCA, 1996"																								
Reichert				A	0				"El golfo de Honduras: estrategias geopolíticas y militares de una frontera imperial, siglos XVI-XVIII"						2017			"Tzintzun, 2017-06-01 (65), p.9-40"																								
Reichert aa				A	0				"El Caribe centroamericano en la estrategia defensivomilitar de la Casa de los Austrias, siglos XVI y XVII"	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_proquest_journals_2194642276					2016			"Caribbean studies, 2016, Vol.44 (1), p.111-140"																								
Reichert bb				P	0				"Sobre las olas de un mar plateado: la política defensiva española y el financiamiento militar novohispano en la región del Gran Caribe, 1598-1700"	http://id.lib.harvard.edu/alma/990142482140203941/catalog					2013		vol 1 of 1 / 1st ed	"Mérida : Universidad Nacional Autónoma de México, 2013"																								
Remesal	1	2		P	1				"Historia general de las Indias Occidentales, y particular de la gobernación de Chiapa y Guatemala, escribese juntamente los principios de la religion de nuestro glorioso padre Santo Domingo"	http://id.lib.harvard.edu/alma/990011771290203941/catalog					1932	1932	vol 1 to 2 of 2 / 1st ed	"Copy of ??? manuscript or First ed. published in 1619 under title known as: Historia de la provincia de San Vicente de Chiapa y Guatemala de la Orden de Nuestro Glorioso Padre Santo Domingo / Biblioteca ""Goathemala"" de la Sociedad de Geografía e Historia ; vol. 4-5"																								
Ronciere	1	6		P	0				Histoire de la marine française	http://id.lib.harvard.edu/alma/990032697730203941/catalog	http://id.lib.harvard.edu/alma/990015222610203941/catalog	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001103669599			1899	1932	vol 1 to 6 of 6 / 1st to 2nd ed	I. Les Origines. - 1899 ; II. La Guerre de Cent ans. Révolution maritime. - 1900 ; III. Les Guerres d'Italie. Liberté des mers. - 1906 ; IV. En quête d'un empire colonial. Richelieu. - 1910 ; V. La Guerre de Trente ans. Colbert. - 1920 ; VI. Le Crépuscule du grand règne. L'Apogée de la guerre de course. - 1932 / BnF = http://ark.bnf.fr/ark:/12148/cb340657338																								
Rushton				T	0				'Under the shade I flourish': an environmental history of northern Belize over the last three thousand five hundred years	http://eprints.nottingham.ac.uk/id/eprint/27615					2014																											
S Heyman				T	0				The urban archaeology of early Spanish Caribbean ports of call: The unfortunate story of Nombre de Dios	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/urban-archaeology-early-spanish-caribbean-ports/docview/305030018/se-2?accountid=11311					2009																											
Saint-Lu				P	0				"La Vera Paz, esprit évangélique et colonisation"	http://id.lib.harvard.edu/alma/990046805940203941/catalog					1968																											
SD	1	2674		M	1				Audiencia de Santo Domingo			http://pares.mcu.es/ParesBusquedas20/catalogo/description/1859548					2720 legajos	2720 Legajo(s) .  (numerados del 1 al 2674). 																								
Seymour				P	0				Les chemins des proies : une histoire de la flibuste	http://id.lib.harvard.edu/alma/990123432010203941/catalog					2010		vol 1 of 1 / 1st ed	"Matoury : Ibis rouge, 2010 ; 299 p. ; 24 cm / Collection Espace outre-mer"																								
SF	1	1248		M	1				Audiencia de Santa Fe			http://pares.mcu.es/ParesBusquedas20/catalogo/description/1861948					1263 legajos	1263 Legajo(s) .  Numerados del 1 al 1248. 																								
Sosa	1	3		P	1				Documentos para la historia de Honduras	http://id.lib.harvard.edu/alma/990077771270203941/catalog					1999	2004	vol 1 to 3 of 3 / 1st ed	"Tegucigalpa, Honduras, C.A. : Honduras, Imágen y Palabra, 1999-2004."																								
Stone				P	0				Archaeology of the north coast of Honduras	http://id.lib.harvard.edu/alma/990011850360203941/catalog					1941		vol 1 of 1 / 1st ed																									
Tardieu				P	0				Cimarrones de Panamá : La forja de una identidad afroamericana en el siglo XVI	https://hollis.harvard.edu/permalink/f/1s5nto6/01HVD_ALMA512323035710003941					2009		vol 1 of 1 / 1st ed																									
Tovilla				P	1				"Relaciones histórico-descriptivas de la Verapaz, el Manché y Lacandón en Guatemala"	http://id.lib.harvard.edu/alma/990011140730203941/catalog	https://www.wayeb.org/resources-links/wayeb-resources/ethnohistorical-sources/				1960		vol 1 of 1 /	"Copy of 1635 manuscript, to which is appended a copy of a 1639 manuscript or publication by León Pinelo / Guatemala : Editorial Universitaria, 1960 / Ediciones del tercer centenario de la introducción de la imprenta en Centroamérica ; Universidad de San Carlos de Guatemala ; Editorial Universitaria ; 35"																								
Ullivarri				P					Piratas y corsarios en Cuba	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_casalini_books_2499061	https://www-digitaliapublishing-com.ezp-prod1.hul.harvard.edu/a/56452				2004		vol 1 of 1 / 2nd ed	Colección Isla de la Tortuga / First edition in 1931 = http://id.lib.harvard.edu/alma/990067779550203941/catalog																								
Universidad				P					"Corsarios franceses e ingleses en la Inquisición de la Nueva Espana, siglo XVI"	http://id.lib.harvard.edu/alma/990010295310203941/catalog					1945		vol 1 of 1 / 1st ed	"México, Imprenta universitaria, 1945."																								
V Barke				T	0				BACALAR EN EL SIGLO XVII: colonización y resistencia	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/761					2012																											
V Barke aa				T	0				Los poderes y los hombres	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/336					2016																											
V Bolanes	1	17		P	1				Colección Somoza : Documentos para la historia de Nicaragua	http://id.lib.harvard.edu/alma/990045478570203941/catalog					1954	1957	vol 1 to 17 of 17 / 1st ed	Possibly > 17 vols / Latest vol found 1957 vol 17 = http://www.worldcat.org/oclc/253116432																								
Williams				T	0				"San Juan River - Lake Nicaragua Waterway, 1502-1921"	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/san-juan-river-lake-nicaragua-waterway-1502-1921/docview/302633988/se-2?accountid=11311					1971																											
Williamson				P	0				Sir John Hawkins : the time and the man	http://id.lib.harvard.edu/alma/990015185470203941/catalog					1927		vol 1 of 1 / 1st ed	"Oxford : The Clarendon Press, 1927"																								
Winzerling				P	0				"Beginning of British Honduras, 1506-1765"	https://dloc.com/UF00099216/00001			1892890		1946		vol 1 of 1 / 1st ed																									
Wright				P	0				"Spanish documents concerning English voyages to the Caribbean, 1527-1568"	https://archive.org/details/in.ernet.dli.2015.97703/			2092435		1929		vol 1 of 1 / 1st ed	"Works issued by the Hakluyt Society ; 2nd ser., no. 62 / cf regional guide by Redwood at https://www.hakluyt.com/hakluyt-society-regional-guides/"																								
Wright aa				P	0				"Documents concerning English voyages to the Spanish main, 1569-1580"	https://archive.org/details/dli.ministry.01751/			1476408		1932		vol 1 of 1 / 1st ed	"Works issued by the Hakluyt Society ; 2nd ser., no. 71"																								
Wright bb				P	0				"Further English voyages to Spanish America, 1583-1594 : documents from the Archives of the Indies at Seville illustrating English voyages to the Caribbean, the Spanish Main, Florida, and Virginia"	https://archive.org/details/FutherEnglishVoyagesToSpanishAmerica15831594			1476734 / 607673218		1951		vol 1 of 1 / 1st ed	"Works issued by the Hakluyt Society ; 2nd ser., no. 99"																								
Wright cc	1	2		P	1				Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla	http://id.lib.harvard.edu/alma/990048050560203941/catalog					1934	1935	vol 1 to 2 of 2 / 1st ed	vol 1 = https://resolver.kb.nl/resolve?urn=MMKB05:000038083 / vol 2 = https://resolver.kb.nl/resolve?urn=MMKB05:000038084																								
Ximenes	1	3		P	0				Historia de la provincia de San Vicente de Chiapa y Guatemala de la Orden de Predicadores	http://id.lib.harvard.edu/alma/990069678430203941/catalog	http://id.lib.harvard.edu/alma/990009690000203941/catalog				1929	1931	vol 1 to 3 of 3 / 1st ed	"Copy of ??? manuscript / Biblioteca ""Goathemala"" de la Sociedad de Geografía e Historia, v. 1-3 / Guatemala, C.A., [Tipografía Nacional] 1929-31 / Possibly > 3 vols eg http://id.lib.harvard.edu/alma/990011627580203941/catalog"																								
Z Castellanos				A	0				"Monografías departamentales : Izabal : Extracto de un estudio, por el socio, General e Ingeniero Pedro Zamora Castellanos"	https://archive.org/details/AnalesAGHGTomoXVIIAnyoXVIINo3Septiembre1941/page/n13/mode/2up?q=piratas&view=theater					1941			Anales de la Sociedad de Geografía e Historia. 17 (3): 168–187.																								
Zackrison				T	0				The Castillo de San Fernando de Omoa: The History of a Fiasco	https://scholarsrepository.llu.edu/etd/558					1985																											


Sheet 1: Table 1
				
				


Sheet 1-1-1: Table 1
																																
																																
