J158	24 Jul 1750	"New-York, July 16."	Boston Gazette (1584)			"New-York, July 16. (1750, July 24). Boston Gazette (1584), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444EF96D89F093%402360439-10444EF992595579%401-10444EF9D6BCF292%40New-York%252C%2BJuly%2B16."						
J159	18 Sep 1750	"New-York, September 10."	Boston Gazette (1592)	Sp at Sea		"New-York, September 10. (1750, September 18). Boston Gazette (1592), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444EFF6BFD84DC%402360495-10444EFF71ECD6F6%400-10444EFFB71EE97D%40New-York%252C%2BSeptember%2B10."						
J160	22 Sep 1750	"""News."""	Whitehall Evening Post [1770]	Sp seizures		"""News."" Whitehall Evening Post [1770], September 20, 1750 - September 22, 1750. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001650093/BBCN?u=camb55135&sid=BBCN&xid=551f5545. Accessed 16 Feb. 2021."						
J161	22 Oct 1750	"New-York, October 15."	Boston Evening-Post (793)	Sp seizures		"New-York, October 15. (1750, October 22). Boston Evening-Post (793), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108EBF26824563F0%402360529-108EBF26EB459F18%403-108EBF28051D18E8%40New-York%252C%2BOctober%2B15."						
J162	29 Oct 1750	"New-York, October 22."	Boston Post-Boy (828)	All well		"New-York, October 22. (1750, October 29). Boston Post-Boy (828), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D80BAE4B42DE0%402360536-108D80BB0CC06780%401-108D80BB69131F18%40New-York%252C%2BOctober%2B22."						
J163	30 Oct 1750	"New-York, October 22."	Boston Gazette (1598)			"New-York, October 22. (1750, October 30). Boston Gazette (1598), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444F0302540F69%402360537-10444F0309C4839C%400-10444F0360D08311%40New-York%252C%2BOctober%2B22."						
J164	2 Nov 1750	"New-York, October 22."	Boston News-Letter (2529)			"New-York, October 22. (1750, November 2). Boston News-Letter (2529), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105667A64F706E1E%402360540-105667A6565CB84C%400-105667A6C2DCFFBC%40New-York%252C%2BOctober%2B22."						
J165	11 Dec 1750	"""News."""	London Evening Post	Sp seizures	Sp siege	"""News."" London Evening Post, December 8, 1750 - December 11, 1750. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000654082/BBCN?u=camb55135&sid=BBCN&xid=b73ba19b. Accessed 16 Feb. 2021."						
J166	13 Dec 1750	"An Extract of a Letter from Amsterdam, Dated October 1."	Boston News-Letter (2535)	Sp siege	Sp seizures	"An Extract of a Letter from Amsterdam, Dated October 1. (1750, December 13). Boston News-Letter (2535), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105667ACAB3D9C10%402360581-105667ACB0F27684%400-105667ACF876A472%40An%2BExtract%2Bof%2Ba%2BLetter%2Bfrom%2BAmsterdam%252C%2BDated%2BOctober%2B1."						
J167	17 Dec 1750	"Charles-Town, in So. Carolina, November 5."	"New-York Gazette, or Weekly Post-Boy (413)"	Sp seizures		"Charles-Town, in So. Carolina, November 5. (1750, December 17). New-York Gazette, or Weekly Post-Boy (413), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAABE034C3E770%402360585-10DAABE062D8C6C0%401-10DAABE0F47C7278%40Charles-Town%252C%2Bin%2BSo.%2BCarolina%252C%2BNovember%2B5."						
J168	17 Dec 1750	"An Extract of a Letter from Amsterdam, Dated October 1."	Boston Post-Boy (834)	 		"An Extract of a Letter from Amsterdam, Dated October 1. (1750, December 17). Boston Post-Boy (834), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D80BEE0E65D00%402360585-108D80BEF6E71D60%400-108D80BF5D552F90%40An%2BExtract%2Bof%2Ba%2BLetter%2Bfrom%2BAmsterdam%252C%2BDated%2BOctober%2B1."						
J169	31 Dec 1750	"An Extract of a Letter from Amsterdam, Dated October 1."	"New-York Gazette, or Weekly Post-Boy (415)"	 		"An Extract of a Letter from Amsterdam, Dated October 1. (1750, December 31). New-York Gazette, or Weekly Post-Boy (415), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAABE37502D8B8%402360599-10DAABE3AED62490%401-10DAABE47156B4F0%40An%2BExtract%2Bof%2Ba%2BLetter%2Bfrom%2BAmsterdam%252C%2BDated%2BOctober%2B1."						
J170	31 Dec 1750	"An Extract of a Letter from Amsterdam, Dated October 1."	"New-York Gazette, or Weekly Post-Boy (415)"	 		"An Extract of a Letter from Amsterdam, Dated October 1. (1750, December 31). New-York Gazette, or Weekly Post-Boy (415), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAABE37502D8B8%402360599-10DAABE3AED62490%401-10DAABE47156B4F0%40An%2BExtract%2Bof%2Ba%2BLetter%2Bfrom%2BAmsterdam%252C%2BDated%2BOctober%2B1."						
J171	3 Jan 1751	"Charlestown South-Carolina, November 5."	Boston News-Letter (5373)			"Charlestown South-Carolina, November 5. (1751, January 3). Boston News-Letter (5373), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105667AEC9E05D7E%402360602-105667AEED2DA530%401-105667AF2F672839%40Charlestown%2BSouth-Carolina%252C%2BNovember%2B5."						
J172	7 Jan 1751	"Charkstown South-Carolina, November 5."	Boston Post-Boy (837)			"Charkstown South-Carolina, November 5. (1751, January 7). Boston Post-Boy (837), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D80C154924FC8%402360606-108D80C188BE76E0%401-108D80C1DFBDD2F0%40Charkstown%2BSouth-Carolina%252C%2BNovember%2B5."						
J173	28 Jan 1751	"Extract of a Letter from Capt. Wasse Rand, Dated at Kingston in Jamaica, November 25."	"New-York Gazette, or Weekly Post-Boy (419)"	 		"Extract of a Letter from Capt. Wasse Rand, Dated at Kingston in Jamaica, November 25. (1751, January 28). New-York Gazette, or Weekly Post-Boy (419), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD75515A71A0%402360627-10DAAD75854CEF00%401-10DAAD7642639E38%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BCapt.%2BWasse%2BRand%252C%2BDated%2Bat%2BKingston%2Bin%2BJamaica%252C%2BNovember%2B25."						
J174	11 Feb 1751	"Boston, January 21."	"New-York Gazette, or Weekly Post-Boy (421)"	 		"Boston, January 21. (1751, February 11). New-York Gazette, or Weekly Post-Boy (421), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAACB2255E5C48%402360641-10DAACB2552BE430%401-10DAACB31B9DCF18%40Boston%252C%2BJanuary%2B21."						
J175	11 Feb 1751	"Boston, January 21."	"New-York Gazette, or Weekly Post-Boy (421)"	 		"Boston, January 21. (1751, February 11). New-York Gazette, or Weekly Post-Boy (421), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAACB2255E5C48%402360641-10DAACB2552BE430%401-10DAACB31B9DCF18%40Boston%252C%2BJanuary%2B21."						
J176	8 Apr 1751	"New-York, April 1."	Boston Post-Boy (851)			"New-York, April 1. (1751, April 8). Boston Post-Boy (851), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D80C9F0F20780%402360697-108D80CA24EB5EC8%401-108D80CA5E3571B8%40New-York%252C%2BApril%2B1."						
J177	9 Apr 1751	"New-York, April 1."	Boston Gazette (1621)			"New-York, April 1. (1751, April 9). Boston Gazette (1621), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444F122B265532%402360698-10444F1230E48438%400-10444F1278A60AE5%40New-York%252C%2BApril%2B1."						
J178	3 Jun 1751	"New-York, May 27."	Boston Post-Boy (858)			"New-York, May 27. (1751, June 3). Boston Post-Boy (858), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D80D052606C08%402360753-108D80D079E1E6D0%401-108D80D0E7242C10%40New-York%252C%2BMay%2B27."						
J179	29 Jul 1751	"New-York, July 22."	Boston Post-Boy (866)	All well		"New-York, July 22. (1751, July 29). Boston Post-Boy (866), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D80D4B82B0740%402360809-108D80D4DEF0BB08%401-108D80D51D529780%40New-York%252C%2BJuly%2B22."						
J180	30 Jul 1751	"New-York, July 15."	Boston Gazette (1637)	All well		"New-York, July 15. (1751, July 30). Boston Gazette (1637), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444F1E85677CC8%402360810-10444F1EA704F546%401-10444F1EF723C941%40New-York%252C%2BJuly%2B15."						
J181	19 Aug 1751	"New-York, August 12."	Boston Evening-Post (835)	Sp at Sea		"New-York, August 12. (1751, August 19). Boston Evening-Post (835), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108EBF66526941C0%402360830-108EBF66983572E0%401-108EBF676CF66040%40New-York%252C%2BAugust%2B12."						
J182	19 Aug 1751	"New-York, August 12."	Boston Post-Boy (869)			"New-York, August 12. (1751, August 19). Boston Post-Boy (869), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D80D76E28A680%402360830-108D80D7900FFFE0%401-108D80D7C87D66A0%40New-York%252C%2BAugust%2B12."						
J183	20 Aug 1751	"New-York, August 12."	Boston Gazette (1640)			"New-York, August 12. (1751, August 20). Boston Gazette (1640), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444F1FDF4E4202%402360831-10444F1FF969DE54%401-10444F204D6F0904%40New-York%252C%2BAugust%2B12."						
J184	22 Aug 1751	"New-York, August 12."	Boston News-Letter (2565)			"New-York, August 12. (1751, August 22). Boston News-Letter (2565), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105667BC9F1D9AEF%402360833-105667BCA777C4FB%400-105667BD1DC44D4D%40New-York%252C%2BAugust%2B12."						
J185	28 Aug 1751	"""News."""	London Morning Penny Post	Sp assault Mos		"""News."" London Morning Penny Post, August 26, 1751 - August 28, 1751. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001389215/BBCN?u=camb55135&sid=BBCN&xid=0dff8fc8. Accessed 16 Feb. 2021."						
J186	10 Sep 1751	"Boston. Extract of a Letter from a Master of a Vessel at the Old River, in the Bay of Honduras."	Boston Gazette (1643)	Sp raid / assault		"Boston. Extract of a Letter from a Master of a Vessel at the Old River, in the Bay of Honduras. (1751, September 10). Boston Gazette (1643), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444F2234290ED6%402360852-10444F2253BB6422%401-10444F22A00AC5A0%40Boston.%2BExtract%2Bof%2Ba%2BLetter%2Bfrom%2Ba%2BMaster%2Bof%2Ba%2BVessel%2Bat%2Bthe%2BOld%2BRiver%252C%2Bin%2Bthe%2BBay%2Bof%2BHonduras."						
J187	28 Sep 1751	"""News."""	General Evening Post	All well		"""News."" General Evening Post, September 26, 1751 - September 28, 1751. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000437129/BBCN?u=camb55135&sid=BBCN&xid=76ab7eff. Accessed 16 Feb. 2021."						
J188	21 Oct 1751	"Boston, October 14."	New-York Evening Post (235)	Storm at Sea		"Boston, October 14. (1751, October 21). New-York Evening Post (235), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951CEEB9B0F390%402360893-10951CEF0A1B6318%402-10951CEFB720E270%40Boston%252C%2BOctober%2B14."						
J189	21 Oct 1751	"Boston, October 14."	New-York Evening Post (235)			"Boston, October 14. (1751, October 21). New-York Evening Post (235), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951CEEB9B0F390%402360893-10951CEF0A1B6318%402-10951CEFB720E270%40Boston%252C%2BOctober%2B14."						
J190	21 Oct 1751	"Boston, October 14."	"New-York Gazette, or Weekly Post-Boy (457)"	 		"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD4E1C5B8198%402360893-10DAAD4E431D8410%401-10DAAD4EC3940018%40Boston%252C%2BOctober%2B14."						
J191	21 Oct 1751	"Boston, October 14."	"New-York Gazette, or Weekly Post-Boy (457)"	 		"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD4A37F0EC40%402360893-10DAAD4A68F19CF8%401-10DAAD4B18548FB8%40Boston%252C%2BOctober%2B14."						
J192	21 Oct 1751	"Boston, October 14."	"New-York Gazette, or Weekly Post-Boy (457)"	 		"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD4E1C5B8198%402360893-10DAAD4E431D8410%401-10DAAD4EC3940018%40Boston%252C%2BOctober%2B14."						
J193	21 Oct 1751	"Boston, October 14."	"New-York Gazette, or Weekly Post-Boy (457)"	 		"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD4A37F0EC40%402360893-10DAAD4A68F19CF8%401-10DAAD4B18548FB8%40Boston%252C%2BOctober%2B14."						
J194	21 Nov 1751	"""News."""	General Evening Post	Sp assault ?	Sp seizures	"""News."" General Evening Post, November 19, 1751 - November 21, 1751. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000437256/BBCN?u=camb55135&sid=BBCN&xid=dad9da14. Accessed 16 Feb. 2021."						
J195	31 Dec 1751	"New-York, Dec. 16."	Boston Gazette (1659)	"Outbreak in Bay, Fleet"		"New-York, Dec. 16. (1751, December 31). Boston Gazette (1659), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444F2FB833EC7A%402360964-10444F2FD8D5A5AA%401-10444F302C28FC2B%40New-York%252C%2BDec.%2B16."						
J196	18 Feb 1752	"New-York, Jan. 20."	Boston Gazette (1666)	Storm at Sea		"New-York, Jan. 20. (1752, February 18). Boston Gazette (1666), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444F312A658A30%402361013-10444F315356D539%401-10444F31A1C0C3F0%40New-York%252C%2BJan.%2B20."						
J197	9 Mar 1752	"Charles-Town, in South-Carolina, February 22."	"New-York Gazette, or Weekly Post-Boy (477)"	Sp seizures / siege		"Charles-Town, in South-Carolina, February 22. (1752, March 9). New-York Gazette, or Weekly Post-Boy (477), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD81DA873E98%402361033-10DAAD820B3DCAD8%401-10DAAD82EBC5CF80%40Charles-Town%252C%2Bin%2BSouth-Carolina%252C%2BFebruary%2B22."						
J198	9 Mar 1752	"Charles-Town, in South-Carolina, February 22."	"New-York Gazette, or Weekly Post-Boy (477)"	 		"Charles-Town, in South-Carolina, February 22. (1752, March 9). New-York Gazette, or Weekly Post-Boy (477), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD8432D532E8%402361033-10DAAD845D71CFB0%401-10DAAD851C05B8A8%40Charles-Town%252C%2Bin%2BSouth-Carolina%252C%2BFebruary%2B22."						
J199	18 Apr 1752	Friday.	Covent-Garden Journal (31)	"Outbreak in Bay, Fleet"		https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000139186/GDCS?u=camb55135&sid=GDCS&xid=45ec79bb						
J200	4 May 1752	"Charles-Town, in South-Carolina, April 6, 1752."	"New-York Gazette, or Weekly Post-Boy (485)"	Sp siege		"Charles-Town, in South-Carolina, April 6, 1752. (1752, May 4). New-York Gazette, or Weekly Post-Boy (485), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD96F7E933B0%402361089-10DAAD971C971780%401-10DAAD97DF3E7578%40Charles-Town%252C%2Bin%2BSouth-Carolina%252C%2BApril%2B6%252C%2B1752."						
J201	4 May 1752	"Charles-Town, in South-Carolina, April 6, 1752."	"New-York Gazette, or Weekly Post-Boy (485)"	 		"Charles-Town, in South-Carolina, April 6, 1752. (1752, May 4). New-York Gazette, or Weekly Post-Boy (485), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD9533EE0970%402361089-10DAAD956C2C9800%401-10DAAD965BB834E8%40Charles-Town%252C%2Bin%2BSouth-Carolina%252C%2BApril%2B6%252C%2B1752."						
J202	11 May 1752	"Charles-Town, in South-Carolina April 6."	Boston Post-Boy (907)			"Charles-Town, in South-Carolina April 6. (1752, May 11). Boston Post-Boy (907), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D80F197DD1D98%402361096-108D80F1BA4D9538%401-108D80F21310D818%40Charles-Town%252C%2Bin%2BSouth-Carolina%2BApril%2B6."						
J203	10 Aug 1752	"New York, Aug. 3."	Boston Evening-Post (886)	Sp raid	Sp siege	"New York, Aug. 3. (1752, August 10). Boston Evening-Post (886), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108EBFD206AC6B78%402361187-108EBFD2210B7518%400-108EBFD39BB235C0%40New%2BYork%252C%2BAug.%2B3."						
J204	27 Aug 1752	"""News."""	London Evening Post	Sp seizures		"""News."" London Evening Post, August 25, 1752 - August 27, 1752. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000655813/BBCN?u=camb55135&sid=BBCN&xid=5a9239cd. Accessed 16 Feb. 2021."						
J205	25 Sep 1752	New-York September 18.	Boston Post-Boy (925)	Sp siege		"New-York September 18. (1752, September 25). Boston Post-Boy (925), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D80FB30A49B30%402361233-108D80FB42397158%400-108D80FB81DBE420%40New-York%2BSeptember%2B18."						
J206	26 Sep 1752	"New-York, September 24."	Boston Gazette (1696)	Sp siege		"New-York, September 24. (1752, September 26). Boston Gazette (1696), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444F3C28017CD9%402361234-10444F3C2E7E1B75%400-10444F3C678FBC1A%40New-York%252C%2BSeptember%2B24."						
J207	27 Sep 1752	"""News."""	London Daily Advertiser	Sp seizures		"""News."" London Daily Advertiser, 27 Sept. 1752. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000618509/BBCN?u=camb55135&sid=BBCN&xid=2b18f215. Accessed 16 Feb. 2021."						
J208	30 Sep 1752	"""News."""	Read's Weekly Journal Or British Gazetteer	Baymen fortify		"""News."" Read's Weekly Journal Or British Gazetteer, 30 Sept. 1752. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001246654/BBCN?u=camb55135&sid=BBCN&xid=be7e7ef6. Accessed 16 Feb. 2021."						
J209	2 Oct 1752	"New-York, Sept. 25."	Boston Evening-Post (892)			"New-York, Sept. 25. (1752, October 2). Boston Evening-Post (892), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108EBFDB358A9AA0%402361240-108EBFDB4A111E30%400-108EBFDBF1676A48%40New-York%252C%2BSept.%2B25."						
J210	2 Oct 1752	"Newport, Rhode-Island, Sept. 28."	Boston Post-Boy (926)	Sp siege		"Newport, Rhode-Island, Sept. 28. (1752, October 2). Boston Post-Boy (926), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D80FBA257DAD8%402361240-108D80FBC34A1A20%401-108D80FBF5C80160%40Newport%252C%2BRhode-Island%252C%2BSept.%2B28."						
J211	5 Oct 1752	"Newport, Rhode-Island, Sept. 28."	Boston News-Letter (2622)			"Newport, Rhode-Island, Sept. 28. (1752, October 5). Boston News-Letter (2622), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-1056684DC7BD8FFE%402361243-1056684DD051F290%400-1056684E4C5F47B6%40Newport%252C%2BRhode-Island%252C%2BSept.%2B28."						
J212	5 Oct 1752	"""News."""	London Evening Post	Sp seizures		"""News."" London Evening Post, October 3, 1752 - October 5, 1752. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000655888/BBCN?u=camb55135&sid=BBCN&xid=10abac7a. Accessed 16 Feb. 2021."						
J213	7 Oct 1752	"""News."""	Old England or The National Gazette	Sp fortify		"""News."" Old England or The National Gazette, 7 Oct. 1752. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000989561/BBCN?u=camb55135&sid=BBCN&xid=4c082de4. Accessed 16 Feb. 2021."						
J214	9 Oct 1752	"Newport, Rhode-Island, Sept. 28."	New-York Evening Post (286)			"Newport, Rhode-Island, Sept. 28. (1752, October 9). New-York Evening Post (286), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951D3B60794B20%402361247-10951D3BD9797C00%402-10951D3CCE8A80F0%40Newport%252C%2BRhode-Island%252C%2BSept.%2B28."						
J215	9 Oct 1752	"Newport, Rhode-Island, Sept. 28."	New-York Evening Post (286)			"Newport, Rhode-Island, Sept. 28. (1752, October 9). New-York Evening Post (286), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951D3B60794B20%402361247-10951D3BD9797C00%402-10951D3CCE8A80F0%40Newport%252C%2BRhode-Island%252C%2BSept.%2B28."						
