Style: Table 1
						
						


Peer: Table 1
ID	NO	STYLE	YR	AUTHORS	GROUP	TITLE	LINK				
		Burdon 1	1931	J. A. Burdon	London	"Archives of British Honduras, Vol 1"	"file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf"				
		Burdon 2	1931	J. A. Burdon	London	"Archives of British Honduras, Vol 2"	"file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf"				
		Burdon 3	1931	J. A. Burdon	London	"Archives of British Honduras, Vol 3"	file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf				
		Calderon	1944	J. A. Calderón Quijano	Seville	Belice 1663 (?)-1821 	http://simurg.bibliotecas.csic.es/viewer/image/CSIC000048031/1/				
			1946	E. O. Winzerling	New York	"The Beginning of British Honduras, 1506-1765"	https://ufdc.ufl.edu/UF00099216/00001				
			1964	M. J. Crawford	Washington	Naval Documents of the American Revolution 10	https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html				
		Goslinga	1971	C. C. Goslinga	Gainesville	The Dutch in the Caribbean	file:///Users/angelnavidad/Downloads/Cornelius%20Ch.%20Goslinga%20-%20The%20Dutch%20in%20the%20Caribbean%20and%20on%20the%20Wild%20Coast%201580-1680-Koninklijke%20Van%20Gorcum%20&%20Comp.%20N.V.%20(1971).pdf				
			1978	J. J. McCusker	London	"Money and exchange in Europe and America, 1600-1775: a handbook"	"/Users/angelnavidad/Downloads/John J. McCusker (auth.) - Money and Exchange in Europe and America, 1600–1775_ A Handbook-Palgrave Macmillan UK (1978).pdf"				
			1986	W. J. Morgan	Washington	Naval Documents of the American Revolution 7	https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html				
		Jones 1	1989	G. D. Jones	"Albuquerque, NM"	Maya Resistance to Spanish Rule	file:///Users/angelnavidad/Downloads/Grant D. Jones - Maya resistance to Spanish rule_ Time and history on a colonial frontier-University of New Mexico Press (1989).djvu				
		Kupperman	1993	K. O. Kupperman	Cambridge	"Providence Island, 1630-1641: the other Puritan colony"	https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.00270				
		Jones 2	1998	G. D. Jones	"Stanford, CA"	Conquest of the Last Maya Kingdom	https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03515				
			1998	K. E. Lane	"Armonk, NY"	Pillaging the Empire	file:///Users/angelnavidad/Downloads/9781315722269.pdf				
			2008	D. F. Marley	"Santa Barbara, CA"	Wars of the Americas	"file:///Users/angelnavidad/Downloads/Wars%20of%20the%20Americas%20A%20Chronology%20of%20Armed%20Conflict%20in%20the%20Western%20Hemisphere,%201492%20to%20the%20Present%20by%20David%20Marley%20(z-lib.org).pdf"				
			2009	J. Latimer	"Cambridge, MA"	Buccaneers of the Caribbean	https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/9780674054172				
			2009	M. Craton	Ithaca	Testing the chains: resistance to slavery in the British West Indies	https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.04568				
			2011	E. Graham	"Gainesville, FL"	Maya Christians and Their Churches in Sixteenth-Century Belize	https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17957				
			2012	"A. Alves Carrara, E. Sánchez Santiró"	Juiz de Fora	Guerra y fiscalidad en la Iberoamérica colonial	file:///Users/angelnavidad/Downloads/Entre_la_paz_y_la_guerra_el_gasto_milita.pdf				
			2015	M. G. Hanna	Chapel Hill	"Pirate Nests and the Rise of the British Empire, 1570-1740"	https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/44065/				
			2019	"M. Ferguson, P. Pelayo, N. Encalada"	Belmopan	A History of Slavery & Emancipation in Belize	https://ambergriscaye.com/photogallery/art/Slavery-and-Emancipation-in-Bz-by-ISCR-NICH.pdf				
		Cardona	2020	J. M. Cardona Amaya	Tegucigalpa	Invasiones de corsarios a la Honduras de Felipe IV (1633-1643) 	https://halshs.archives-ouvertes.fr/halshs-02540842/document				

Events: Table 1
ID	No	PART OF	LOWER START	UPPER END	NAME	DESCRIPTION	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE				
E 			17 February 1603	7 March 1603	Battle of Puerto Caballos	Pie de Palo and Diego el Mulato sack Puerto Caballos	Puerto Caballos	Capt. Juan Monasterios 2 Galleons 100 militia	Christopher Newport / Sir Michael Geare / 8 Ships 400 men									xxx	Marley p144-145					
E 			1 January 1606	28 June 1606		Buccaneers or privateers attempt twice to sack Sp galleons at Sto Tomás de Castillo	Sto. Tomás de Castillo											"Col Navarrete, XXIII, 226 ff -- a 28 jun 1606"	Goslinga p152	Figure out citation abbrev.				
E 			1 March 1624	28 February 1625	Schouten Expedition	"GWC sends Pieter Schouten to reconnoitre and raid Sp, who surveys Main and islands, and sacks and destroys Ma hamlets"	"Silán, Sisal"		GWC / Pieter Schouten 3 Ships									"ARA, WIC, OC, 1, Minutes of XIX 1623-24
de Laet/Naber, 1, 36 ff
van Wassenaer, VII, 154-55"	Goslinga p152-3	Figure out citation abbrev.				
E 			1 January 1627	16 July 1627	Lucifer Expedition	Hendrick Jacobszoon Lucifer of GWC takes some ships of Sp Hon fotilla	Bay of Hon		GWC / Hendrick Jacobszoon Lucifer / 3 Ships / later joined by 2 Yachts									"Wright/van Dam, 1, *101-3/ Cristóbal Aranda to Crown, 16 jul 1627; p171 Report by Tomás de Larraspuru 10 nov 1627, and of president of Council of Indies, Madrid, 22 nov 1627"	Goslinga p170-171	Location /via Juiz de Fora 2012 p51 				
E 			1 May 1630	25 September 1630	Booneter Expedition	Jan Gijsbertszoon Booneter of GWC takes some ships of Sp Hon flotilla	Bay of Hon		GWC / Jan Gijsbertszoon Booneter / 8 Ships / later joins fleet of Pieter Adiraenszoon Ita									"ARA, WIC, OC, Inv. St. Gen. (West Indië) 5752, 1630-34, Jun 13, 1630 
21, Chamber of Zeeland, Minutes 1629-33, Instruction of Booneter, Jun 4, 1630
ARA, WIC, OC, 2, Minutes of the XIX 1629-45. Letter of the XIX to Booneter, Sep 2, 1630
De Laet/Naber, II, 173"	Goslinga 217-224					
E 			1 January 1632	30 December 1632	Stapels Survey	GWC sends Galeyn von Stapels to survey Hon coast	"Yuc, Hon, Sp Hon"		GWC / Galeyn von Stapels / 2 Yachts									"ARA, WIC, OC, 45 -- Instructions on 14 Jun 1632"	Goslinga p225-226	"Reached Bonaire in Jul, Sacked Sisal after this"				
E 			1 January 1633	30 December 1633		"Buccaneer or privateers raid Trujillo, and then Campeche"	"Trujillo, Campeche"											"MEXICO,360 ff 1r—v — a 16 ago 1634"	Baudot p29 n15	"Campeche raided partly in order to make Maya allies per AGI item.
Exclude?"				
E 			15 July 1633	24 August 1633	Hoorn Expedition	"GWC sends Jan Janszoon van Hoorn to sack Trujillo, though he finds the town abandoned, and thereafter proceeds to Campeche to raid San Francisco"	"Trujillo, San Francisco"		GWC / Jan Janszoon van Hoorn / 4 Ships 3 Yachts 3 Sloops 518 sailors 420 soldiers									"ARA, WIC, OC, 2 -- Minutes of XIX 1629-45, 3 Nov 1632
de Laet/Naber, III, 187-96
Duro, Armada Española, IV, 115-16"	Goslinga p226	Also raids San Francisco in Bay of Campeche				
E 			1 April 1636	12 May 1636	Failed Sacking of Trujillo	"Buccaneers or privateers, with Miskito allies, attempt to raid Trujillo"	Trujillo											"GUATEMALA,16,R.2,N.13 f xxx"	"Cardona Amaya p111, 24-6"	Exclude? [no evidence of Eng or survey or camp on Hon]				
E 			1 September 1637	30 September 1637		"Crew of ship Providence under Capt. Newman, Eng privateers, chased off Utila"	Utila		Capt. Thomas Newman with ship Providence 1 Prize ship									"GUATEMALA,16,R.2,N.13 f 43-82"	"Cardona Amaya p112, p31-xxx"	"Were anchored in western coast of Utila; one ship was Sp prize of Juan Rodriguez de Olmeda; had been on voyage from Prov or Lon since Sep 36; inform at least three pirate or priv crews interested in attacking Sp Hon = Pie de Palo, Diego el Mulato, Thomas Newman /via Cardona Amaya p45"				
E 2	2	Hos 13	1 January 1638	31 December 1640	Capture of Zacatan	Buccaneers or privateers raid at least one Maya hamlet	Bennett’s or Norther River Lagoon					xxx Ma taken			Zacatan town raided			"MEXICO,250,N.1 "	Jones 89 p289 n59	"Zacatan location /via Jones 89 xv—xvii, p289
Upper End inferred as previous to Lower Start of next raids of Maya hamlets. "				
E 			12 March 1638	30 June 1638		Diego el Mulato assaults Sp craft off Sp Hon coast from Trujillo to Amatique	"Trujillo, Amatique"	Ship of Capt. Miguel de Arotigui	Diego el Mulato									"GUATEMALA,16,R.2,N.13 f 98"	"Cardona Amaya p112-4, p45-6"	xxx				
E 			1 May 1638	30 May 1638		"Buccaneers or privateers roam off Trujillo, after which a Sp prisoner of theirs escapes"	Trujillo	Velador de Punta de Castilla	2 Ships 5 Frigs									"GUATEMALA,16,R.2,N.13 f 93-6"	"Cardona Amaya p112, p47-8"	xxx				
E 			10 February 1639	10 February 1639	Sacking of Guanaja	Diego el Mulato raids and burns native hamlet on Guanaja	Guanaja		Diego el Mulato 2 Ships									"GUATEMALA,16,R.2,N.13 f 111"	"Cardona Amaya p115, p49-50"	xxx				
E 			1 May 1639	30 September 1639	Providence Design	"Governor of Providence Island, with buccaneer or privateer allies, and native allies, seizes but fails to sack Trujillo"	Trujillo		Gov of Prov Nathaniel Butler 2 Ships 200 men w Mos allies									"GUATEMALA,16,R.2,N.13 f 176-7
Sloane MS 758 entries 28 Mar, 31 May, 6, 20, 21, 30 Jun 1639
"	"Cardona Amaya p115, p59
Kupperman p278-9 n30-1
Goslinga p554 no 76 = Burns p210"	"Native allies from Roatan or Guanaja, possibly under duress /via Cardona Amaya p69 /GUATEMALA,16,R.2,N.13 f 214-5
Native allies from Cape Gracias a Dios not under duress /via Kupperman 278-9
Almost certainly did not camp in Hon /via Kupperman p278-9
Seizure on 6 Jun 1639 /via Oxford DNB -- Butler [Boteler], Nathaniel
Exclude?"				
E 			1 September 1639	15 September 1639	Sacking of Roatan	"Buccaneers or privateers, with native allies, raid native hamlet on Roatan, and after a failed attempt to capture the residents, burn the hamlet"	Roatan		2 Ships									"GUATEMALA,16,R.2,N.13 f 221-2"	"Cardona Amaya p115, p72"	xxx				
E 			1 March 1640	30 March 1640	Sacking of Omoa	"Buccaneers or privateers raid unknown number of towns or hamlets near Omoa, Golfo Dulce, and after camping Utila, raided Omoa again, and finally engaged with natives at Utila"	"Omoa, Golfo Dulce, Utila"		8 Craft									"GUATEMALA,16,R.2,N.13 f 281-2"	"Cardona Amaya p117, p83-5"	xxx				
E 			1 January 1641	31 December 1641	Sacking of Trujillo	"Diego el Mulato sacks and burns Trujillo, after which they venture inwards and kidnap women"	Trujillo	Gov of Sp Hon Melchor Alonso de Tamayo	Diego Lucifer el Mulato									"GUATEMALA,44A,N.39 ff 1-2"	"Cardona Amaya p117, p85-7"	xxx				
E 4	4	Hos 13	1 January 1641	31 December 1641		Buccaneers or privateers raid at least three Maya hamlets and capture two Sp during missionary entrada	"Old, Sittee"	"Lucas de San Miguel, Fray Martín Tejero"				2 Sp held for many days			"Soite, Manan towns [hamlets?] raided"		Cogolludo 653—6		Jones 89 p224 n23	"Soite, Cehake location /via Jones 89 xv—xvii, p224"				
E 			1 October 1641	30 December 1641	Sacking of Trujillo	Dutch or GWC military sack Trujillo	Trujillo		4 Du companies									"Wright/van Dam, pp *81-100, Manuel de Velasco to Ruy Fernández de Fuenmayor, 18 oct 1641; Diego Ruiz Maldonado to Fuenmayor, 22 oct 1641; Francisco Cornelio Briceño to Fuenmayor, 29 oct 1641; Juan Pacheco Maldonado to Fuenmayor, 31 oct 1641, Fuenmayor to Crown, 18 Dec 1641"	Goslinga p279	"Abb = ARA = ARA = Algemeen Rijksarchief, The Hague; WIC = West India Co.; OC = Oude Compagnie /via Goslinga p519
Abb = Col Navarrete = Colección Navarrete, 30 vols, IHM, Madrid /via Goslinga p593"				
E 			1 March 1642	30 April 1642		"Diego el Mulato attempts to raid town or hamlet by Rio Ulua, but retreats, and sacks Puerto Caballos"	"Ulua, Puerto Caballos"		Diego Lucifer el Mulato									"GUATEMALA,39,R.20,N.131 f 2
GUATEMALA,39,R.20,N.132 f 1"	"Cardona Amaya p117, p87-8"	xxx				
E 6	6	Hos 13	22 November 1642	22 November 1642	Diego Raids	Diego el Mulato raids at least one Maya hamlet and Bacalar	"Monkey, Bacalar"		Diego Lucifer de los Reyes el Mulato 70 Pir			kidnapped numb of [Maya] women / impressed Ma men / later kidnapped 3 Sp 2 Ma from Bacalar / released 13 Feb 1643	Bacalar residents forced into hiding by Lake Bacalar min to early 1643	Pir took 3 or 4 Sp boats	"Campin raided / stole all gold and silver fm Sp church = sum 12,000 to 16,000 pesos"		Cogolludo 656—9	"MEXICO,360,R.5,N.33
MEXICO,369 ff 529r—531v"	"Molina Solis II p138
Jones 89 p226—7 n28—32
Barke 2012 p112 n382"	Campin location /via Jones 89 p225.				
E 			20 July 1643	15 September 1643	Siege of Trujillo	"William Jackson raids and holds Trujillo, after which his crew fall ill and retreat, sacking Sto Tomás de Castilla, after which Jackson retook Trujillo"	"Trujillo, Sto. Tomás de Castilla"	Gov of Sp Hon Melchor Alonso de Tamayo 41 Sp men	"William Jackson 1,200 men"									"GUATEMALA,44A,N.40 ff 7-76"	"Cardona Amaya p118, p90"	xxx				
E 8	8	Hos 13	1 June 1648	30 June 1648	Sacking of Bacalar	Buccaneers or privateers under Abraham sack Bacalar	Bacalar	Capt. Bartolomé Palomino 11 Sp 15 Ma men	Abraham			women carried off to Islote de los Cayos / liberated after 2 months	Bacalar residents move further inland to Pacha near Villadolid				Cogolludo 714—7		"Molina Solis II p176, p211—12"					
E 10	10	Hos 13	29 May 1652	29 May 1652	Sacking of Bacalar	Buccaneers or privateers under Abraham sack Bacalar	Bacalar	Capt. Bartolomé Palomino	Abraham		Capt. Bartolomé Palomino killed / 1 Ma killed						Cogolludo 749—52		Barke 2012 p114 n390					
E 12	12	Hos 13	1 November 1652	30 November 1652		Buccaneers or privateers raid at least two Maya hamlets	New					some Maya fm Uatibal and Chanlacan kidnapped [likely sold as slaves]	Ma moved inland w Sp help		"Uatibal, Chanlacan sacked [likely, esp food]"			"MEXICO,158—Probanza o méritos y servicios Capitán Francisco Pérez a 11 nov 1661"	Jones 89 p231 n38—40	"Uatibal, Chanlacan location /via Jones 89 xv—xvii, p283—5"				
E 14	14	Hos 13	23 October 1654	23 October 1654		Buccaneers or privateers engage Sp during entrada	Old	Capt. Francisco Perez of Bacalar-Pacha 6 Sp 15 Ma										"MEXICO,158—Probanza o méritos y servicios Capitán Francisco Pérez a 11 nov 1661"	Jones 89 p231 n38—40					
E 			1 January 1659	30 December 1659		Buccaneers or privateers capture unknown number of Ma for sale in Jamaica	Pacha	Gov of Yuc Francisco Bazán				xxx Ma						"MEXICO,1006 -- a 9 feb 1660"	Jones 89 p334 no 10					
E 			1 January 1668	30 June 1668		"L’Olonnais drifts towards Sp Hon, whereupon he sacks Puerto Caballos, attempts to sack San Pedro Sula, and attempts to sack a Sp galleon in Amatique Bay"	"Puerto Caballos, San Pedro Sula, Amatique"		l’Olonnais / Mozes van Klijn / 1 Ship 5 Craft 700 men										Marley p263					
E 16	16		1 August 1677	30 August 1677		"Bartholomew Sharpe captures Sp during missionary entrada, and possibly raids unknown number of Maya hamlets"	Old	Friar Joseph Delgado xxx Ma guides	Bartholomew Sharpe			Friar and xxx Ma / Friar released / xxx Ma from hamlets possibly taken			prev Ma hamlets possibly raided / Personal property robbed			"GUATEMALA,152 ff 140—45 — a 26 sep 1677 "	Bialuschewski p52—3 n53 	"Sharpe crew reconnoitred Hon coast from camp near Old, and on intercepting missionary entrada, robbed and released Sp friar but not his Ma guides /via Bialuschewski p52—3 n53, though AGI item cited could not be consulted"				
