Cust Jamaica: Table 1
	King?	Q end	Start OS	End OS	In	Log	p	img	Date OS	Name	for	Note								
5	17	5 jan 77	5 jan 78					1 p36										
5	17	5 jan 78	5 jan 79					3 p8										
6	17	5 jan 79	5 jan 80					1 p30; marked Other or Foreign West Indies										
6	17	5 jan 80	5 jan 81					2 p62										
7	17	5 jan 81	5 jan 82					1 p34										
7	17	5 jan 82	5 jan 83					2 p72 … 3 p1										
8	17	5 jan 83	5 jan 84					1 p38										
8	17	5 jan 84	5 jan 85					3 p35										
9	17	5 jan 85	5 jan 86					1 p34										
9	17	5 jan 86	5 jan 87					2 p65										
10	17	5 jan 87	5 jan 88					1 p36										
10	17	5 jan 88	5 jan 89					3 p46 … p58										
11	17	5 jan 89	5 jan 90					2 p28 … p44 … p60										
12	17	5 jan 90	5 jan 91					2 p6 … p14 … p22										
																		
5	4	jan 1807	dec 1807	59224/18/3				3 p57; time marked simply “1807”; no index / table of contents; Honduras listed with foreign S. Amer. countries & Greenland										
6	4	jan 1810	dec 1810	74979/18/5				4 p47										
7	4	jan 1811	dec 1811	95785/0/5				3 p55										
8	4	jan 1812	dec 1812	71670/4/2		92218/3/5		4 p32; abstract in last page										
9	4	jan 1814	dec 1814	67249/7/10		80310/15/2		last page; listed under Foreign Colonies										
10	4	jan 1815	dec 1815	115521/11/0		155827/0/9												
11	4		1816	96337/8/10		118328/15/10		listed under Br. N. Amer. Colonies										
12	4		1817	74211/6/8		79263/14/7												
13	4		1818	60142/13/3		97268/3/7												
14	4		1819	80091/7/7		106419/9/5												
15	4		1820	125939/19/7		136360/9/6												
16	4		1821	89135/14/3		98282/16/1												


Cust 17: Table 1
No	Start	End	Value	cf	note	Canada	FL	NE	NY	PA	Vi & Mar	Car	Car N/S	GA	WI	WI	WI	Bar	Jam	WI	WI	Forn WI	Hon	Hon to Eng	Hon to Sco	Eng	Scot	GB
1	5 jan 72	5 jan 73	12	1 p36	0.20.0.0 = 1.0.0.0			1586/8/0	13152/16/6	2752/6/7		1834/6/4		18/0/0	360/0/0	617/7/7	48/0/0	240/0/0	18780/1/8			40568/18/8				79958/5/4	575/1/0	80533/6/4
2	5 jan 73	5 jan 74	12	1 p37				201/5/5	2369/9/7	1577/17/6	1/16/0	1159/9/3		156/0/0	360/0/0	96/0/0		163/7/3	9257/19/8	481/7/6		10347/5/6				26171/17/8	409/10/0	26581/7/8
3	5 jan 74	5 jan 75	12	1 p35					512/16/0	1026/8/0	24/0/0	1162/10/6		201/12/0	248/0/0				9959/15/3	9979/13/0						24084/14/9	409/10/0	24494/4/9
4	5 jan 75	5 jan 76	12	1 p37					3341/7/10	675/6/6		940/15/9		360/0/0	48/0/0	12/0/0	144/0/0		8600/19/3	18581/9/5						32703/18/4	325/10/0	33029/8/4
4	5 jan 76	5 jan 77	12	3 p39					81/8/1						57/17/1	120/0/0		241/11/6	9364/7/9	48/0/0	8236/7/5					18253/13/10	332/10/0	18587/3/10
5	5 jan 77	5 jan 78	12	1 p36					4878/0/0						122/15/5	72/0/0	79/10/5		8829/10/8	480/0/0	7821/9/2					22285/12/6	77/0/0	22360/12/6
5	5 jan 78	5 jan 79	12	3 p8	blurry	120/0/0	514/1/0		1485/0/6						192/12/0	22/0/0			14274/5/1	10746/3/10						27354/6/3	871/5/7	28225/11/10
6	5 jan 79	5 jan 80	12	1 p30	blurry		361/16/0		520/17/10						29/10/4	300/0/0	899/8/10		47319/17/3							49577/4/1	1132/5/0	50654/9/1
6	5 jan 80	5 jan 81	12	2 p62					2474/12/2			99/3/5		410/8/0				24/0/0	47879/15/6	50/0/0	570/0/0	12/0/0				51529/19/1	623/9/10	52153/8/11
7	5 jan 81	5 jan 82	12	1 p34			432/0/0					180/0/0			45/7/2	120/0/0	57/18/0		35690/0/6	95/14/0						36680/3/9	798/0/0	37478/3/9
7	5 jan 82	5 jan 83	12	2 p72 … 3 p1		159/0/0	1104/0/0		96/0/0			372/0/0						28/3/1	15276/2/6		11/17/5	240/0/0				17287/3/0	861/0/0	18148/3/0
8	5 jan 83	5 jan 84	12	1 p38			459/3/5	132/0/0	0276/12/10	2014/7/9	367/19/9	132/0/0			112/10/10	0/2/8	240/0/0	60/0/0	9479/6/6	57/17/8		358/6/1				13685/7/6	640/10/0	14325/17/6
8	5 jan 84	5 jan 85	12	3 p35					169/17/6	684/0/0		324/0/0			240/0/0	239/18/2			24002/17/0	1200/0/0						27880/12/8	1648/10/0	29529/2/8
9	5 jan 85	5 jan 86	12	1 p34		96/9/9	120/0/0		540/0/0	9243/16/7		36/0/0			246/0/0	96/0/0		808/12/4	122599/9/9	6410/7/4						140196/15/9	3216/10/0	143413/5/9
9	5 jan 86	5 jan 87	12	2 p65			1560/0/0	96/0/0	1175/6/0	2189/7/2		3401/12/6			1044/0/0	382/18/10	480/6/7		160119/15/10	10815/15/2		4393/6/6				185658/8/7	1820/14/0	187479/2/7
10	5 jan 87	5 jan 88	12	1 p36		4/16/0	2880/0/0	3/12/3	36/0/0	2414/2/7		2788/2/3			1999/8/11	2076/0/0			76967/17/5	101/13/4	16036/15/0	231/17/7				105540/9/2	2141/0/9	107681/9/11
10	5 jan 88	5 jan 89	12	3 p46 … p58			960/0/0	444/6/7	827/5/3	99/10/0					201/18/3				51716/8/7	379/19/5		2400/0/0	20348/3/0			76006/9/3	1487/6/1	77493/15/4
11	5 jan 89	5 jan 90	12	2 p28 … p44 … p60					156/0/0	309/1/11	420/0/0		1156/19/5	60/0/0	602/19/6	48/0/0	114/9/3		55750/17/3	420/0/0	600/0/0	3697/16/2		24816/14/0	510/9/3			
12	5 jan 90	5 jan 91	12	2 p6 … p14 … p22			336/0/0			796/19/10			1688/8/9		72/0/0	652/8/1	112/4/6		44235/2/7	808/16/8		4199/1/0	19280/6/6					
13																												
14																												
15																												


Cust 3 > 62: Table 1
No		Start	End	Value	Car	Jam	NE	NY	PA	Vi & Mar	WI	Span WI	Car	Jam	NE	NY	PA	Vi & Mar	WI	Span WI
63	log	mas 62	mas 63	10 to 14	291/0/0	16317/15/0	384/0/0	6684/0/0	1344/0/0	300/0/0	9948/0/0		60/14/9	3591/4/2	235/16/0	461/18/6			1931/2/3	
63	mah t			10 Lon pt Jam … 7 to 9 Out pt Jam … 		8265/0/0								3392/0/0						
63	mah p			20 s Jam …		18082/0/0								2606/0/0						
63	mah ft			3 pence per foot Jam Lon … 6 pence p ft Jam Lon		2/10/0								4/0/0						
64	log	mas 63	mas 64	10 to 14	282/0/0	12534/6/0	3672/0/0	8549/8/0	6000/0/0		1681/13/0	3714/0/0		6584/13/4	122/14/5	6301/19/1	3439/6/0	720/0/0		
64	mah t			7 to 9 pt Jam … SWI 8 pt		4896/0/0						1576/0/0		7028/12/0						
64	mah p			20 s pp Jam … 8 to 12 s pp SWI		24409/0/0						1309/0/0		3054/0/0						
65	log	mas 64	mas 65	10 to 14	3738/0/0	24633/0/0	3603/0/0	13371/14/5	2220/0/0		2040/0/0	7092/0/0	295/16/0	7160/4/7	3185/8/0	2575/2/0	633/7/8			1128/0/0
65	mah			8 pt Jam																
65				20 s pp Jam & SWI								2732/0/0								123/0/0
65				6 pence p ft Jam																
66	log																			
66	mah																			
67	log																			
67	mah																			
68	log																			
68	mah																			


Cust 3: Table 1
No	Start	End	Value	Jam	Car	NE NY	Vi Mary	US Other	Car	NE NY	Vi Mary	Jam	Other	£	t	Bar	Car	FL	Canada	Jam	NE	GA	Prov	NY	PA	Vi & Mar	WI / Hav	WI	WI	Span WI / Mosq	WI	WI	Mosq	Prize	Bar	Car	FL	Jam	NE	Prov /GA	NY	PA	Vi & Mar	WI	Span WI / Mosq	WI	WI	WI	Mosq	Prize							
81	mich 96	lady day 97	8/10 Jam … 10 NE …	2040	2400	2400	2400	0	0	379020	0	218280	0	"2,489"	265					705/10/0	1461/15/0																	204/0/0	117/10/0																		
81	lady day 97	mich 97	10 Car NE NY Vi Mary … 8/10 Jam	2040	2400	2400	2400	0	108120	323700	76200	297168	600	"3,357"	357		450/10/0			1140/19/7	15/0/0			1333/15/0		317/10/0												97/4/5						2/10/0													
1	mich 97	mich 98	18 Jam Bar WI … 17/3 Car … 17/5 NE NY … 18 VM … 16/5 Canada	4320	4116	4140	4320	0	14444	456501	2268	3907699	98082	"18,662"	"1,019"	3/7/6	51/50/0		406/5/0	14082/1/4	1603/3/5			29/6/6		9/9/0	408/13/6									6/13/8		2200/0/3			269/11/10																
2	mich 98	mas 98	18 Jam Bar … 17/9 Car … 17/3 NE NY … 18 VM … 	4320	4188	4116	4320	0	1345	27000	79920	245646	0	"1,475"	82	103/10/0	5/12/1			1023/10/6	78/0/0					331/13/0									64/13/9						34/10/0		1/7/0														
3	mas 98	mas 99	12 to 14	3120	3120	3120	3120	0	278889	1879814	0	6711743	0	"36,960"	"2,843"		1162/0/9			18745/15/0	4396/5/6			1347/2/6														9219/16/11	344/14/3		1744/8/11																
4	mas 99	mas 00	9 to 15	12	12	12	12	557745	1070711	4358511	23121	12804038	88443	"78,761"	"1,567,844"	308/0/6	4461/5/11			48988/13/0	8095/13/9		2076/0/0	6074/5/0	117/18/0	1/8/6	361/10/0	108/12/0	126/9/0						115/17/6			4361/10/2	3502/8/6		488/2/0	130/0/9	94/18/3	7/0/3													
5	mas 00	mas 01	10 to 14	12	12	12	12	172800	2055304	3646343	1440	7601537	180	"56,157"	"1,123,119"	1201/0/3	5899/17/6			26571/12/7	7505/17/5			4741/9/0	720/0/0		0/15/0	17/14/0							123/3/0	2663/17/10		5101/8/10	1158/9/0		1787/6/6		6/0/0														
6	mas 01	mas 02	10 to 14	12	12	12	12	202032	243774	4135365	0	7684371	179713	"51,855"	"1,022,129"	713/13/4	1015/14/6			26740/5/1	13334/12/6		420/18/0	1442/6/6	420/18/0		136/10/0	536/17/0										5277/19/2	1081/14/10		1371/19/11			39/2/3		573/3/10	108/0/0										
7	mas 02	mas 03	9 to 15 Lon … 10 to 14 Out	12	12	12	12	164916	186098	2857828	0	3402434	57600	"27,787"	"550,940"	7/1/0	419/4/0			11113/7/10	8454/10/1			1321/10/0	687/3/0		240/0/0							857/0/7		356/4/2		3063/8/4	2069/11/3		62/1/0									411/10/7							
8	mas 03	mas 04	9 to 15 Lon … 10 to 14 Out	12	12	12	12	158976	121724	1798349	0	1192084	136656	"14,199"	"272,594"		329/11/5			3689/7/7	6092/5/1			1275/12/0	662/8/0		569/8/0	85/7/0						5/8/0		177/12/3		1277/12/9	125/5/4											218/10/5/5							
9	mas 05	mas 06	10 to 14	12	12	12	12	120672	14296	476330	0	312473	0	"3,849"	"76,981"					1200/3/9	1648/17/2			290/17/0	502/16/0											59/11/4		101/15/8	45/0/0											2/8/0							
10	mas 06	mas 07	10 to 14 Lon … 9 to 15 Out	12	12	12	12	1815503	257508	1556987	0	527400	17172	"17,394"	"346,450"	120/0/0	1072/19/0			1568/9/8	4532/13/1			244/6/3			48/12/0											629/0/4	391/13/6		1318/16/1	4/4/0		22/19/0													
11	mas 07	mas 08	10 to 14	12	12	12	12	2824136	144346	2559060	3370	832366	50040	"26,722"	"530,273"	111/7/4.5	491/4/3			3381/15/4	5974/13/4			2834/0/1		11/8/0	208/10/0									110/4/7		86/8/6	1499/14/0		354/7/7		2/12/10			408/0/0											
12	mas 08	mas 09	9 to 15	12	12	12	12	2397223	448718	1450015	54490	304458	72288	"19,697"	"387,909"		1858/5/6			1268/11/6	4720/5/2			544/14/6		218/5/0	301/4/0									11/7/8			365/4/10		411/10/1		8/15/10			191/13/9.5				8/17/0							
13	mas 90	mas 10	10 to 14	12	12	12	12	689271	40590	639321	9360	1172765	0	"10,630"	"212,609"					3050/8/0	2101/15/8			173/2/0		39/0/0		81/9/0								169/2/6		1836/2/5	245/17/1		143/2/0																
14	mas 10	mas 11	10 to 14	12	12	12	12	437690	3996	371282	116172	722538	0	"6,882"	"137,640"		16/13/0			1605/16/1	1302/8/8					243/6/0												1404/15/5	229/9/3		15/2/3		240/15/0			585/13/10											
15	mas 12	mas 13	10 to 14	12	12	12	12	4437690	262597	3934061	21672	2045087	0	"44,588"	"891,759"		1003/2/10			4064/17/4	14467/4/5			469/19/0		0/12/0									180/0/0	91/0/3		4456/6/7	560/8/9		894/6/3		89/14/0														
16	mas 13	mas 14	10 to 14	12	12	12	12	9348880	362715	8240347	346896	4442090	28800	"94,874"	"1,895,077"	363/13/3.25	781/1/10			12003/12/10	21764/15/7			7224/16/11	884/3/6	1442/2/0	120/0/0									730/4/5		6505/1/4	857/0/2		4488/2/11		3/6/0			29/18/10											
17	mas 14	mas 15	10 to 14	12	12	12	12	10150968	1142182	8537209	46136	5128456	2187	"104,196"	"2,083,746"	2257/9/2	2220/16/11			14903/10/1	25856/11/8			4176/6/9	1772/13/5	192/4/8	9/2/3	27/9/0	10/14/6		877/16/0	1116/18/0			2352/5/9	2538/4/11		6465/1/3	2443/18/0		3094/17/8																
18	mas 15	mas 16	10 to 14	12	12	12	12	4974508	1166634	2707791	20735	1703861	22492	"44,150"	"881,127"	601/0/2	4033/8/0			3886/10/11	7363/13/9			582/14/6	432/7/8	5/7/11	80/3/6								87/19/6	827/11/6		3212/17/6	2146/4/0		1189/17/0	112/18/0	81/0/0	13/10/10		10/4/4											
19	mas 16	mas 17	10 to 14	12	12	12	12	1171173	302890	643975	27811	1664768	453873	"17,769"	"317,551"	305/19/6	887/17/2			5582/8/2	1176/7/11			339/15/4		39/0/0				1883/18/9	341/8/0				237/9/0	374/3/8		1354/2/6	533/11/0		633/10/4	7/14/9	76/17/7	7/4/0													
20	mas 17	mas 18	10 to 14	12	12	12	12	995969	401906	194199	3155	1861095	733646	"17,458"	"288,027"	784/1/0	1647/17/3			5692/6/6	264/17/0			118/10/0		12/4/11				3001/10/0						26/14/11		2062/4/9			425/16/3	5/19/1	0/18/0	55/7/2													
21	mas 18	mas 19	10 to 14	12	12	12	12	366237	3129	349752	2268	1110162	143784	"8,231"	"152,629"	1862/2/9	12/0/0			3108/11/4	536/4/0			704/5/9	46/4/0	9/9/0	96/0/0			503/2/0	252/18/0				9/15/9	1/0/9		1517/2/2	26/6/6		190/9/9																
22	mas 19	mas 20	10 to 14	12	12	12	12	397698	21006	375972	720	589430	0	"5,770"	"115,402"					1648/1/7	756/0/9			485/10/3		3/0/0										87/10/6		807/17/7	165/1/11		159/18/1																
23	mas 20	mas 21	10 to 14	12	12	12	12	1856864	1485	1829405	21168	3115967	89083	"28,808"	"568,741"	485/0/6				9201/9/7	5214/0/10			380/14/0	13/7/0	88/4/0	335/17/0									6/3/9		3781/14/4	1203/14/3		824/1/4	6/13/6		35/6/7													
24	mas 21	mas 22	10 to 14	12	12	12	12	1806574	83541	1722421	612	1331081	22143	"20,693"	"412,019"	35/10/8	132/0/0			2695/10/10	5064/14/6			1380/18/7		2/11/0		363/9/0								216/1/9		2850/12/7	659/17/7		71/4/5			92/5/3													
25	mas 22	mas 23	10 to 14	12	12	12	12	2777625	107820	2669805	0	2603786	979200	"38,076"	"679,920"	191/3/0	431/5/0			4560/12/0	6931/14/0			3051/12/0			4080/0/0	589/10/0								18/0/0		6288/10/2	911/15/6		229/2/3																
26	mas 23	mas 24	10 to 14	12	12	12	12	3968312	252144	3641288	0	3253859	753120	"49,453"	"926,300"	400/3/0	750/12/0			9082/16/1	8348/5/0			3675/11/6	312/0/0		1260/0/0	1500/0/0	1068/0/0	288/0/0		3600/0/0			83/3/6	300/0/0		4474/18/10	2114/10/9		1033/13/5			402/0/0	1476/0/0												
27	mas 24	mas 25	10 to 14	12	12	12	12	4820808	58320	3956485	0	3401397	611654	"53,536"	"1,019,751"	432/0/0	78/0/0			7632/13/6	12568/1/11			1203/0/0	2412/0/0		516/0/0	1224/0/0							186/0/0	165/0/0		6539/16/3	2714/5/2			946/6/11		232/11/2	1800/0/0												
28AB	mas 25	mas 26	10 to 14	12	12	12	12	4467856	489067	3170949	0	3758253	2066049	"58,134"	"990,510"	17/8/09	1932/0/0			9714/10/3	10657/3/4			1535/2/5	3366/0/0		1798/4/0	6/0/0		3366/0/0					149/8/0	105/15/7		5944/17/6	1020/0/0						3444/6/9												
82	mas 26	mas 27	10 to 14	12	12	12	12	5756210	613072	5100226	0	2497808	339840	"59,613"	"1,163,943"	1476/0/0	1411/13/0			4227/15/6	17128/6/4			2004/0/0	72/0/0										24/0/0	1142/16/4		6179/15/2	2115/12/6		3/0/0	106/16/0		1416/0/0													
29	mas 28	mas 29	10 to 14	12	12	12	12	1830333	250769	1470124	109440	917466	659	"19,078"	"381,511"	390/0/0	897/12/0			1760/0/0	5573/10/4					456/0/0	2/14/11								26/13/10	147/5/5		2062/15/6	552/0/0																		
30	mas 29	mas 30	10 to 14	12	12	12	12	1458275	74808	1358748	24719	1314140	1513374	"23,934"	"352,558"	204/0/0	237/6/0			2699/12/2	4666/6/0			84/0/0		102/19/11	4296/0/0			2004/0/0						74/8/0		2775/19/6	567/6/6		343/16/6			5/14/6													
31	mas 30	mas 31	10 to 14	12	12	12	12	746802	68538	644712	24480	895892	605808	"12,443"	"198,369"		96/0/0			132/0/0	2206/6/0			480/0/0	37/16/0	102/0/0				2520/0/0						189/11/6		3600/17/8						4/4/0													
32	mas 31	mas 32	10 to 14	12	12	12	12	1528916	80640	1401991	0	1778488	103699	"20,391"	"399,170"	60/0/0	336/0/0			3608/1/3	5313/12/7			528/0/0	192/17/1		25/16/0			333/0/0								3802/6/1							73/5/7												
33	mas 32	mas 33	10 to 14	12	12	12	12	725472	0	725472	0	2152575	1329984	"20,556"	"300,293"					4101/1/4	2698/16/0			132/0/0						5520/0/0								4867/19/11	192/0/0						21/12/0												
34	mas 33	mas 34	10 to 14	12	12	12	12	939960	17280	900648	0	1947192	720000	"18,855"	"317,090"		72/0/0			3797/6/0	3260/14/0			492/0/0	91/16/0		3000/0/0	108/0/0			3/0/0							4316/0/0																			
35	mas 34	mas 35	10 to 14	12	12	12	12	1494939	0	1480539	14400	2239435	852892	"25,343"	"435,776"					6661/2/6	5289/18/3			744/0/0		60/0/0	2400/0/0			1153/14/4	21/0/0							2669/17/1	135/0/0																		
36	mas 35	mas 36	10 to 14	12	12	12	12	3626743	351360	3275383	0	2619547	34560	"41,282"	"822,753"	228/0/0	1464/0/0			6611/1/1	9330/8/8			996/0/0			144/0/0								384/0/0			4303/14/6	1706/12/0		1614/7/11																
37	mas 36	mas 37	10 to 14	12	12	12	12	4787365	854758	3070095	63360	1967272	252000	"45,812"	"895,238"		3457/16/0			5570/6/7	9087/16/0			3214/4/0											120/0/0	103/13/10		2626/12/9	250/1/3		240/0/0	136/16/0	264/0/0	330/0/0	720/0/0												
38	mas 37	mas 38	10 to 14	12	12	12	12	4396053	670878	3624375	43200	2484706	377556	"48,320"	"934,934"		2592/0/0			5585/18/3	11740/17/7			1920/0/0	240/0/0	180/0/0	1392/0/0									203/6/6		4767/0/7			1440/13/8			181/3/0													
39	mas 38	mas 39	10 to 14	12	12	12	12	3554277	464174	3078583	0	2011443	28800	"38,072"	"759,040"		1598/1/2			5932/13/0	8247/6/0			1284/0/0	48/0/0		60/0/0	33/17/10		60/0/0						336/0/0		2448/7/3	1855/3/9		1440/18/10																
40	mas 39	mas 40	10 to 14	12	12	12	12	4613571	391989	4210062	0	733147	96336	"41,855"	"829,064"	84/0/0	919/4/0			2328/0/0	15013/16/2			936/0/0	48/0/0			120/0/0	1080/0/0						3/0/0	714/1/9		726/15/7	1205/16/9		386/5/7			401/8/0													
41	mas 40	mas 41	10 to 14	12	12	12	12	3128697	135792	2877705	432	433645	120960	"27,905"	"548,023"		565/16/0			1603/4/0	7847/14/0			1677/9/0	475/4/0	1/16/0	324/0/0				123/0/0							203/13/1	2465/5/9			3/0/0		180/0/0													
42	mas 41	mas 42	10 to 14	12	12	12	12	1618313	59268	1149280	0	1214885	27657	"16,956"	"336,812"		84/14/8			4119/11/3	3663/12/0			828/0/0	244/15/6						406/4/0					162/4/4		942/9/2			297/1/4	1462/11/7		115/4/9		36/0/0				6/6/0							
43	mas 42	mas 43	10 to 14	12	12	12	12	1892362	351766	1203636	0	1706344	48960	"21,679"	"429,509"		948/0/0			4878/8/3	2733/19/8			612/0/0	1404/0/0						276/0/0			114/5/0		517/13/10		2231/7/1	1669/3/4					204/0/0													
44	mas 43	mas 44	10 to 14	12	12	12	12	791120	58397	732723	0	557124	0	"8,914"	"178,280"		168/0/0			1434/0/0	444/0/0			600/0/0							60/0/0			77/17/0		75/6/5		887/7/0	2009/0/3											185/15/0							
45	mas 44	mas 45	10 to 14	12	12	12	12	545184	0	545184	0	697188	397440	"9,104"	"148,963"					1863/6/0	372/0/0			1320/0/0			1656/0/0							60/0/0				1041/13/0	579/12/0																		
46	mas 45	mas 46	10 to 14	12	12	12	12	73643	0	73643	0	287048	0	"1,810"	"36,195"					546/0/0	300/0/0																	650/0/8	6/16/11											135/14/3							
47	mas 46	mas 47	10 to 14	12	12	12	12	944585	144000	742553	0	681480	0	"10,469"	"209,385"	60/0/0	502/16/0			1792/4/0	72/0/0			1959/9/5										320/4/3		97/4/0		1047/6/0	1062/10/0			241/16/0															
48	mas 47	mas 48	10 to 14	12	12	12	12	2530183	259942	1167201	967680	2344600	0	"30,290"	"605,801"		1044/0/0			5172/3/7	229/7/9		48/0/0	3636/0/0		4032/0/0								653/11/0		39/1/10		4596/19/9	427/19/0		570/0/0	516/0/0															
49	mas 48	mas 49	10 to 14	12	12	12	12	1208939	2787	1138752	3224	1804444	518400	"19,486"	"346,512"		9/3/3			4274/14/10	64/4/0			4656/0/0	271/8/0		2160/0/0									2/9/0		3243/15/6	24/12/0				13/8/8			84/0/0											
50	mas 49	ms 50	10 to 14	12	12	12	12	5926478	1707710	4032288	0	7123768	99360	"78,707"	"1,565,854"		3624/5/8			20063/1/4	4429/4/0		9/0/0	11280/0/0	756/0/0		414/0/0	1080/0/0								3491/3/6		9619/6/0	312/0/0		780/0/0	12/0/0				48/0/0											
51	ms 50	mas 51	10 to 14	12	12	12	12	9466876	499392	7936012	164160	10724393	4320	"119,980"	"2,399,236"	1560/0/0	1794/0/0			38885/2/6	13354/11/6		96/0/0	17137/10/0	1843/16/0	564/0/0		1200/0/0			2376/0/0	293/2/0			1/4/0	286/16/0		5799/16/11	666/0/0		1908/12/10		120/0/0	18/0/0		723/12/0	6/0/0										
52	mas 51	mas 52	10 to 14	12	12	12	12	3783215	826151	2567568	0	11634612	0	"78,381"	"1,567,629"		1981/16/0			44471/1/0	5972/2/0			4404/10/0	1622/18/0			144/0/0	36/0/0							1460/9/11		4006/10/0	24/0/0		297/12/0																
53	mas 52	mas 53	10 to 14	12	12	12	12	7190002	480384	6385618	97920	4263066	5760	"76,761"	"1,534,749"		1266/0/0			12418/10/0	9030/0/0			15444/4/6	84/0/0				60/0/0							735/12/0		5344/5/6	762/0/0		1370/10/4		408/0/0	24/0/0													
54	mas 53	mas 54	10 to 14	12	12	12	12	4008643	360897	3523405	0	4890192	77866	"53,588"	"1,065,261"	120/0/0	60/0/0			16542/10/6	6588/5/1			4617/5/4	180/0/0				960/0/0						84/0/0	1443/14/9		3833/5/6	1369/6/8	338/1/9	2106/0/0			324/8/10													
55	mas 54	mas 55	10 to 14	12	12	12	12	1037160	327888	683352	0	6102642	0	"33,963"	"679,254"		1366/4/0			18929/6/3	1230/0/0			1113/6/0					72/0/0		720/0/0							6498/7/3	312/0/0		192/0/0	108/0/0															
56	mass 55	mas 56	10 to 14	12	12	12	12	5077728	464553	2772596	6480	8907878	0	"71,788"	"1,435,770"		1818/15/0			24226/2/6	3145/8/8			4518/0/0	3246/0/0						96/0/0	912/0/0		143/17/3		116/17/9		12890/0/8			3889/1/0	2605/1/7	27/0/0														
57	mas 56	mas 57	10 to 14	12	12	12	12	5092273	893442	3277375	0	6674080	0	"66,405"	"1,328,098"		2742/0/0			17879/9/3	2398/18/1		2496/0/0	6353/8/0	1043/8/0			24/0/0							155/17/7	980/13/6		9929/4/1	1090/13/0		3812/15/6	300/0/0								695/6/9							
58	mas 57	mas 58	10 to 14	12	12	12	12	4250124	589021	1317701	180648	6724019	2880	"54,435"	"1,088,459"		1572/0/0			17776/19/6	1011/9/9		360/0/0	1683/18/0	5763/16/6									2205/9/9		882/5/1		10239/15/5	708/0/0		2087/0/8	2067/13/0	752/14/0	12/0/0						121/7/0							
59	mas 58	mas 59	10 to 14	12	12	12	12	5025624	654255	2805601	100800	8515272	8150	"71,290"	"1,425,129"		1290/0/0		632/10/2	27070/0/6	778/8/7		96/0/0	4320/0/0	4212/0/0									1880/17/0		1436/1/3		8410/5/6	288/0/0	155/12/8	6303/11/6	770/8/0	420/0/0	33/19/2						120/0/0							
60	mas 59	mas 60	10 to 14	12	12	12	12	1061873	615672	440496	4080	4242026	0	"26,517"	"530,346"		2106/0/0			14344/11/11	360/0/0			417/12/0	6/15/5	17/0/0										459/6/0		3330/10/3	121/16/0		936/0/0									133/14/2							
61	mas 60	mas 61	10 to 14	12	12	12	12	491828	90487	167523	2880	1963429	0	"11,317"	"226,346"		45/12/0		34/4/0	6590/0/1	264/0/0			115/8/3	836/5/7	12/0/0								252/0/0		331/8/7		1590/19/0	114/12/0		204/0/0	125/19/3								21/4/0							
62	mas 61	mas 62	10 to 14	12	12	12	12	1611501	71061	1121400	0	4000662	0	"28,353"	"567,052"		156/0/0			13938/17/0	1164/0/0			2133/15/9	1746/0/0											140/1/9		2730/11/6	120/0/0		1254/14/3					168/0/0	252/0/0										
63	mas 62	mas 63	10 to 14	12	12	12	12	2516271	85137	1863774	72000	4778150	2850987	"50,693"	"776,278"	6/0/0	294/0/0		36/0/0	16317/15/0	384/0/0		720/0/0	6684/0/0	1344/0/0	300/0/0	9948/0/0	60/0/0						432/0/0		60/14/9		3591/4/2	235/16/0		461/18/6			1931/2/3													
64	mas 63	mas 64	10 to 14	12	12	12	12	6974898	67680	4475058	172800	4588552	1294956	"73,225"	"1,356,582"		282/0/0			12534/6/0	3672/0/0		240/0/0	8549/8/0	6000/0/0		1681/13/0			3714/0/0	18/0/0							6584/13/4	122/14/5	172/14/0	6301/19/1	3439/6/0	720/0/0														
65	mas 64	mas 65	10 to 14	12	12	12	12	7273537	968112	5456453	0	7630375	2462400	"99,129"	"1,777,373"	120/0/0	3738/0/0	684/0/0		24633/0/0	3603/0/0			13371/14/5	2220/0/0		2040/0/0	168/0/0		7092/0/0					48/7/0	295/16/0		7160/4/7	3185/8/0		2575/2/0	633/7/8			1128/0/0												
66	mas 65	mas 66	10 to 14	12	12	12	12	12197809	1216528	7088000	29304	15446997	2289322	"159,450"	"2,998,220"	2068/4/0	4038/0/0			49420/13/9	4569/9/2	1080/0/0	240/0/0	15549/0/0	7642/4/0	84/0/0	1440/0/0	24/0/0	3408/0/0	4488/0/0	240/0/0					1030/17/4	1560/0/0	14941/16/0	3696/18/1	1097/14/1	5717/19/5	480/0/0	38/2/0		3610/16/10												
67	mas 66	mas 67	10 to 14	12	12	12	12	9098797	1262741	4655886	345600	13092881	3415843	"132,799"	"2,371,325"	240/0/0	4248/0/0	5326/12/0		37377/17/6	1368/0/0	720/0/0	240/0/0	11511/0/0	3012/0/0	1440/0/0		1524/0/0	714/0/0	13838/15/7						1013/8/5	2286/0/0	17175/15/11	5079/9/6		1441/1/0	226/2/2		6/12/0	387/6/0	6/0/0											
68	mas 67	mas 68	10 to 14	12	12	12	12	12826059	2152341	5545598	16992	8683113	6856760	"150,337"	"2,435,342"		7333/16/6	6639/0/0		26572/9/1	1224/0/0		1500/0/0	12813/0/0	4761/0/0			5/0/0	474/19/6	24937/4/0	1332/0/0	2148/0/0				1634/5/3		9607/3/8	1542/18/0		7526/15/2	1133/7/4	70/16/0	296/12/8	3336/0/0	246/11/0	36/4/6										
