Events: Table 1
		VOYAGE	CLG_0	CLG_1	FLR_0	FLR_1			ROUTE	ACTORS_0	ACTORS_1	FORCE_0	FORCE_1	SEC	PRIM_0	PRIM_1																								
			1 Jan 1593					 El Anthony y la fragata navegaron a Puerto de Caballos			James Langton / Francis Slingsby	"3 ships [222 tn, > 125 men]"	"Anthony [120 tn, 70 men] / Pilgrim [100 tn, 55 men] / Discovery [12 tn]"	O Torres pp 321-323 / Marley 1 pp 127-129		Georget pp 127-137 = Hakluyt ???	"MARCH 16, 1594. Langton at Puerto Caballos. Having separated from his consort Pilgrim off south- western Cuba, Langton appears before the Hondu- ran port of Puerto Caballos (modern Puerto Cor- tés) with his flagship Anthony and a captured Spanish frigate. /v Marley 1 pp 128-129"																							
			1 Jan 1594					"A inicios de 1594, una vez más, el capitán Newport salió de Inglaterra con rumbo a las Indias"		John Burgh	John Bedford / Christopher Newport / John Brough / Andrew Shillinge / Thomas Wally / Thomas Warne / Henry Kedgell / Cuthbert Grippe	"4 ships [600 tn, >> 100 men]"	Roebuck [300 tn] / Golden Dragon [150 tn] / Prudence [100 tn] / Virgin [50 tn]	O Torres p 321 / L Zea p 197 / Marley 1 pp 127-130	"CT 597 num 14 ff 1r-6v [Testimonio sobre diligencias que practicó Jerónimo Sánchez de Carranza contra corsarios ingleses, San Pedro de Honduras a 6 de junio de 1594]"		"APRIL 25, 1594. The English privateers Golden MAY 3, 1594. After a two-hour exchange of gun- 
Dragon of Christopher Newport and Prudence of John Brough shoot their way into Puerto Caballos (Honduras), seizing the four deserted Spanish vessels in its roadstead, then venturing ashore briefly at 6:00 p.m. before retiring back aboard ship and submitting a ransom demand. /v Marley 1 p129"																							
			1 Jan 1594					"MAY 15, 1594. This dawn, four privateer ships, two frigates, and three pinnaces under Parker and Raymond materialise outside the Honduran port of Trujillo, intercepting the dispatch vessel of Francisco Rodríguez as it departs. "		William Parker / Jérémie Raymond				Marley 1 p 129-130																										
			1 Jan 1595					"En 1595 una coalición francesa e inglesa entró y ocupó la ciudad de Trujillo, luego de ha- ber tomado un navío de aviso"		William Parker		6 ships	sn [200 tn] / sn [40 tn] / sn [40 tn] / sn [40 tn] / sn [pinnace] / sn [pinnace]	O Torres p 335 / Marley 1 p 134	"GT 39 ram 12 num 62 f 1r [Carta de Jerónimo Sánchez de Carranza, gobernador de Honduras, Valladolid de Comayagua a 5 de junio de 1595]"																									
			1 Jan 1595					"En julio de 1595 cuatro naos francesas entra- ron a Puerto Caballos, el cual fue incendiado y las naves que se encontraban surtas fueron saqueadas"						O Torres p 334	"GT 39 ram 12 num 64 ff 1r-2v [Carta de Jerónimo Sánchez de Carranza, Puerto Caballos a 1 de septiembre de 1595]"																									
			1 Jan 1595					"Ese año, los capitanes Rocharte y Jeremías, inglés y francés, respectivamente, eran la cabeza de un contingente de tres navíos y 200 hombres, Mientras tanto, una lancha de corsarios puso rumbo al Golfo Dulce "						O Torres p 335	"GT 39 ram 12 num 63 ff 5r-v [Confesión de Ruger Gallar, San Pedro de Honduras a 27 de agosto de 1595] / GT 39 ram 12 num 63 ff 1r-v [Carta de Jerónimo Sánchez de Carranza, gobernador de Honduras, San Pedro de Honduras a 27 de agosto de 1595] / GT 39 ram 13 num 81 f 1v [Carta de Jorge de Alvarado, gobernador de Honduras, Trujillo a 20 de marzo de 1603]"																									
			1 Jan 1595							Robert Dudley	Bejamin Wood / Wentworth / Thomas Jobson / George Popham	4 ships	"Bear [formerly Peregrine, 200 tn, 140 men] / Intent [prize caravel] / Regard [prize caravel] / sn [pinnace]"	Marley 1 pp 131-134																										
			1 Jan 1595							Jérémie Raymond		5 ships	sn / sn / sn / sn [pinnace] / sn [galliot]	Marley 1 p 135																										
			1 Jan 1596					El 6 de enero de 1596 la flota inglesa se hizo presente en Nombre de Dios						O Torres pp 326-327 / L Zea pp 210-219 / B Bermudez p 86 / B Geiger pp 20-30	"PA 14 ram 12 num 68 ff 1r-3v [Carta del licenciado Salazar, oidor de la Real Audiencia de Panamá, Panamá a 22 de enero de 1596] / PA 14 ram 12 num 73 ff 1r-v [Carta del licenciado Salazar, oidor de la Real Audiencia de Panamá, Panamá a 25 de mayo de 1596] / PA 14 ram 12 num 79 f 1r [Carta de la Real Audiencia de Panamá, Nombre de Dios a 4 de junio de 1596]"		"Cited Hakluyt, 1904 (1586), vol. X, pp. 226-245; ???"																							
			1 Jan 1596					"Otro capitán inglés, William Parker, zarpó de Plymouth en noviembre de 1596"						O Torres p 327 / I Rubio aa pp 126-130 / O Torres aa 106-109	"MX 2999 leg 4 ff 595r-v [Cédula real, Barcelona a 31 de mayo de 1599] / MX 222 num 31 ff 2r, 7v, 9v [Informaciones de Melchor Bonifacio, Campeche a 18 de mayo de 1598]"	"L Cogolludo lib viii cap 1 / Georget pp 231, 245-248 = Hakluyt ???"	"Cited Hakluyt, 1904 (1586), vol. X, pp. 277-280 ???"																							
			1 Jan 1596							Christopher Newport / Michael Geare		2 ships	Neptune / sn [pinnace]	Marley 1 p 138																										
			1 Jan 1596				Sherley’s Cruise			"Anthony Sherley / Michael Geare / xxx [Dutch, in the Maen]"		10 ships	Bevis [300 tn] / Black Wolf [150 tn] / Constance [250 tn] / George [200 tn] / George Noble [140 tn] / Little John [80 tn] / sn [galley] / sn [pinnace] / Maen / sn [pinnace]	Marley 1 pp 138-139																										
			1 Jan 1597					"Otro grupo de ingleses, compuesto por al menos 300 hombres, se presentaron ante Puerto Trujillo y Puer- to Caballos, sólo a éste lograron entrar"						O Torres p 329	"GT 39 ram 13 num 70 f 1r [Carta de Jorge de Alvarado, governador de Honduras, Trujillo a 29 de abril de 1598]"																									
		0	1 Jan 1598				Armada de Barlovento est							"Hussey pp 292-293, 296-298"			"For the few years after its creation, even, it had convoyed merchantmen to and from Spain instead of remaining in the Caribbean, and it stayed in Spanish waters from 1608, being added to the Oceanic Fleet in 1610. / Much of the information on this fleet, from its earliest ordering in 1595 to its end in 1610, comes from official but non-contemporary accounts in A. I., 152-2-19 and 152-3-10. Many contemporary papers on this very important period have so far escaped my search. /v Hussey p 293 /// It did not exist at all between 1610 and 1643, despite the constant agitation, and even though the crown ordered it reconstituted in 1635 and to be composed of twelve galleons totalling five thousand tons. A great mass of papers resulted, but no fleet, till finally the danger to the whole empire became so serious that even the supreme council of state intervened […] Eight ships were finally gathered, and sailed for America in 1643. No sooner had they arrived, however, than seven of them returned to Spain as a merchant escort […] and, in 1648, the whole squadron was merged with the Oceanic Fleet, once more leaving the Indies open to attack. In 1665, the armada was for the third time reformed, this time with eight ships, four of them specially built in Holland for the purpose. […] Finally, however, three of the eight were detached and sent to America in 1667, accompanied by two pataches. Their ill luck was not yet over. Hardly had they arrived when the almiranta and pataches were caught and burned at Maracaibo by the buccaneers, and the remaining two were ordered back to Spain with the treasure fleet, where the squadron was once more abolished. It was no time for lessened efforts, and sharp lesson after lesson in the Indies finally forced reestablishment in 1676, this time of two ships and three frigates, which sailed in 1677, adding another frigate of three hundred tons, and lesser craft, in America. In more or less this form, the armada lasted till its strict necessity had passed-long after the end of the period now under consideration—increasing in strength and effectiveness for some years, and then as steadily declining. […] A Windward Squadron is not infrequently heard of during the eighteenth century, but apears to have been a small fleet directly appertinent to the viceroyalty of New Spain, and to have been used largely to carry the situado to the Antilles. Among the more important of the many legajos exclusively devoted to this squadron during the period of our study in the Archives of the Indies, are the following: 152-1-21, 152-1-22, 152-2-19, 152-2-20, 152-3-1 to 8, 152-4-19. /v Hussey pp 296-298"																							
			1 Jan 1600					"El 7 abril un par de barcos ingleses estaban frente a Holcobén, litoral norte de Yucatán"						O Torres pp 329-330 / O Torres aa pp 109-115	"PT 80 num 1 ram 1 ff 33v, 34v [Nombramiento de caudillo a Alonso Sánchez de Aguilar, Valladolid de Yucatán a 8 de abril de 1600] / PT 56 num 4 ram 2 ff 3r-4v [Petición de Juan de Contreras el Mozo, presentada al gobernador Luna y Arellano, Mérida a 17 de diciembre de 1610]"	L Cogolludo lib viii cap 2																								
			1 Jan 1601					En enero de 1601 cuatro embarcaciones navegaron frente al litoral yucateco						O Torres p 336 / O Torres p 115	"MX 359 ram 8 num 41 f 1v [Carta de Diego de Velasco, Gobernador de Yucatán, Mérida a 14 de mayo de 1601]"																									
			1 Jan 1603							"Michael Geare / Christopher Newport / Hippon / xxx [French, in 5 slavers]"		"8 ships [2400-2800 tn, >> 200 men]"	Archangel [300-350 tn] / Neptune [300-350 tn] / Phoenix [300-350 tn] / sn [300-350 tn] / sn [300-350 tn] / sn [300-350 tn] / sn [300-350 tn] / sn [300-350 tn]	O Torres pp 334-335 / P Valenzuela pp 35-36 / Marley 1 pp 144-145	"MX 25 num 29 ff 1r-v [Carta de la Real Audiencia de Guatemala, Santiago de Guatemala a 26 de febrero de 1603] / MX 25 num 29 f 3v [Carta del virrey conde de Monterrey, Texcoco a 26 de marzo de 1603] / MX 25 num 37 ff 1r-v [Carta de la Real Audiencia de Guatemala, Santiago de Guatemala a 11 de abril de 1603] /// GT 39 ram 13 num 81 ff 1r-2r [Carta de Jorge de Alvarado, gobernador de Honduras, Trujillo a 20 de marzo de 1603] /// SD 177 ram 21 f 1r [Carta Fernando Melgarejo, gobernador de Jamaica, Jamaica a 13 de junio de 1603]"																									
		1	1 Jan 1606					En 1606 Santo Tomás de Castilla recibió visita de algunos corsarios que lanzaron un ataque						O Torres p 336	"GT 39 ram 13 num 82 f 1r [Carta de Jorge de Alvarado, gobernador de Honduras, Trujillo a 1 de junio de 1606]"																									
			1 Jan 1606					"Tres años des- pués, en Puerto de Caballos, una fragata con seis ingleses a bor- do llegó a ese lugar"						O Torres p 331	"GT 39 ram 13 num 83 f 1r [Carta de Gregorio de Alvarado, teniente de gobernador de Honduras, Trujillo a 18 de junio de 1606] / GT 39 ram 13 num 83 f 3r [Carta de Gregorio de Alvarado, teniente de gobernador de Honduras, San Pedro de Honduras a 24 de mayo de 1606]"																									
		0	1 Jan 1606				Northern Hispaniola razed							Hussey p 294	"SD 72 [Autos y testimonios tocantes a las cosas del estado de la Isla Española, 2 oct. 1606; formerly Santo Domingo 72, 53-6-6] "																									
		1	1 Jan 1606				?		Netherlands / Santo Tomás de Castilla	Mauricio de Nassau [conde]		> 1 ships		Reichert aa p 124																										
		1	1 Jan 1608					"En 1608 el gobernador de Yucatán, Carlos de Luna y Arellano, informó al rey en una misiva que frente a Sisal había algunas embarcaciones corsarias"						O Torres p 336 / O Torres aa p 115	"MX 359 ram 9 num 54 f 3r [Carta de Carlos de Luna y Arellano, gobernador de Yucatán, Mérida a 21 de junio de 1608] / MX 359 ram 9 num 53 f 13v [Carta de Carlos de Luna y Arellano, gobernador de Yucatán, Mérida a 21 de junio de 1608]"																									
		1	1 Jan 1616					En 1616 una urca flamenca atacó en Jamaica a un na- vío español llamado “Nuestra Señora de la Consolación” frente al cabo el Negrillo						O Torres p 336 / G Diaz pp 182-183																										


Sheet 1-1-1: Table 1
																																
																																
