Table 1
Symbol	Description	Begin	End	Periodicity	Country	Currency	Series Type	GFD Sector	Units	Scale	Sector	Industry	Equity Type	Exchange	Has Access
BX.GSR.FCTY.CD.BLZ	"Belize Income receipts (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BM.GSR.GNFS.CD.BLZ	"Belize Imports of goods and services (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BM.GSR.TOTL.CD.BLZ	"Belize Imports of goods, services and income (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BX.GSR.MRCH.CD.BLZ	"Belize Goods exports (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
TM.VAL.OTHR.ZS.WT.BLZ	"Belize Computer, communications and other services (% of commercial service imports)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	XXX	Exports and Imports	International Trade	Percentage	Units					1
IC.ISV.DURS.BLZ	Belize Time to resolve insolvency (years)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Years	Units					1
TM.VAL.INSF.ZS.WT.BLZ	Belize Insurance and financial services (% of commercial service imports)	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	XXX	Exports and Imports	International Trade	Percentage	Units					1
IC.BUS.DISC.XQ.BLZ	Belize Business extent of disclosure index (0=less disclosure to 10=more disclosure)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Index Number	Units					1
BM.GSR.TRAN.ZS.BLZ	"Belize Transport services (% of service imports, BoP)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
BN.KLT.PRVT.GD.ZS.BLZ	"Belize Private capital flows, total (% of GDP)"	12-31-1985	12-31-2011	"Annual From Dec 1985 To Dec 2011, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
BN.GSR.GNFS.CD.BLZ	"Belize Net trade in goods and services (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
TM.VAL.TRVL.ZS.WT.BLZ	Belize Travel services (% of commercial service imports)	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	XXX	Exports and Imports	International Trade	Percentage	Units					1
BN.KLT.PRVT.CD.BLZ	"Belize Private capital flows, total (BoP, current US$)"	12-31-1985	12-31-2011	"Annual From Dec 1985 To Dec 2011, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
FD.RES.LIQU.AS.ZS.BLZ	Belize Bank liquid reserves to bank assets ratio (%)	12-31-2001	12-31-2018	"Annual From Dec 2001 To Dec 2018, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
TX.VAL.OTHR.ZS.WT.BLZ	"Belize Computer, communications and other services (% of commercial service exports)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	XXX	Exports and Imports	International Trade	Percentage	Units					1
TM.VAL.TRAN.ZS.WT.BLZ	Belize Transport services (% of commercial service imports)	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	XXX	Exports and Imports	International Trade	Percentage	Units					1
BN.RES.INCL.CD.BLZ	"Belize Changes in net reserves (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Thousands					1
BM.GSR.ROYL.CD.BLZ	"Belize Royalty and license fees, payments (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Thousands					1
TM.VAL.SERV.CD.WT.BLZ	Belize Commercial service imports (current US$)	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	USD	Exports and Imports	International Trade	National Currency	Millions					1
BX.GSR.ROYL.CD.BLZ	"Belize Royalty and license fees, receipts (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Thousands					1
BX.GSR.NFSV.CD.BLZ	"Belize Service exports (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BN.TRF.CURR.CD.BLZ	"Belize Net current transfers (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
TX.VAL.TRVL.ZS.WT.BLZ	Belize Travel services (% of commercial service exports)	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	XXX	Exports and Imports	International Trade	Percentage	Units					1
BG.GSR.NFSV.GD.ZS.BLZ	Belize Trade in services (% of GDP)	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
BX.TRF.PWKR.CD.BLZ	"Belize workers' remittances, receipts (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BM.GSR.TRVL.ZS.BLZ	"Belize Travel services (% of service imports, BoP)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
TX.VAL.SERV.CD.WT.BLZ	Belize Commercial service exports (current US$)	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	USD	Exports and Imports	International Trade	National Currency	Millions					1
BM.GSR.FCTY.CD.BLZ	"Belize Income payments (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BX.GSR.TRVL.ZS.BLZ	"Belize Travel services (% of service exports, BoP)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
IC.ELC.TIME.BLZ	Belize Time required to get electricity (days)	12-31-2009	12-31-2019	"Annual From Dec 2009 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Days	Units					1
IMPBLZM	Belize Import Price Index	01-31-1991	09-30-2015	"Monthly From Jan 1991 To Sep 2015, "	BELIZE	BZD	Trade Indices	International Trade	Index Number	Unit					1
IC.IMP.COST.CD.BLZ	Belize Cost to import (US$ per container)	12-31-2005	12-31-2014	"Annual From Dec 2005 To Dec 2014, "	BELIZE	USD	Private Sector	Development	National Currency	Thousands					1
IC.REG.DURS.BLZ	Belize Time required to start a business (days)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Days	Units					1
IT.NET.SECR.BLZ	Belize Secure Internet servers	12-31-2001	12-31-2018	"Annual From Dec 2001 To Dec 2018, "	BELIZE	XXX	Technology	Development	Units	Units					1
EXPBLZM	Belize Export Price Index	01-31-1991	09-30-2015	"Monthly From Jan 1991 To Sep 2015, "	BELIZE	BZD	Trade Indices	International Trade	Index Number	Unit					1
BX.GSR.INSF.ZS.BLZ	"Belize Insurance and financial services (% of service exports, BoP)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
TX.VAL.TRAN.ZS.WT.BLZ	Belize Transport services (% of commercial service exports)	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	XXX	Exports and Imports	International Trade	Percentage	Units					1
DT.AMT.DPNG.CD.BLZ	"Belize Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Millions					1
BM.KLT.DINV.GD.ZS.BLZ	"Belize Foreign direct investment, net outflows (% of GDP)"	12-31-1996	12-31-2013	"Annual From Dec 1996 To Dec 2013, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
IS.SHP.GCNW.XQ.BLZ	Belize Liner shipping connectivity index (maximum value in 2004 = 100)	12-31-2004	12-31-2018	"Annual From Dec 2004 To Dec 2018, "	BELIZE	XXX	Infrastructure	Development	Index Number	Units					1
IC.LGL.PROC.BLZ	Belize Procedures to enforce a contract (number)	12-31-2005	12-31-2014	"Annual From Dec 2005 To Dec 2014, "	BELIZE	XXX	Private Sector	Development	Units	Units					1
BM.GSR.MRCH.CD.BLZ	"Belize Goods imports (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
IT.NET.SECR.P6.BLZ	Belize Secure Internet servers (per 1 million people)	12-31-2001	12-31-2018	"Annual From Dec 2001 To Dec 2018, "	BELIZE	XXX	Technology	Development	Units	Units					1
IC.REG.COST.PC.ZS.BLZ	Belize Cost of business start-up procedures (% of GNI per capita)	12-31-2003	12-31-2019	"Annual From Dec 2003 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Percentage	Units					1
IC.WRH.DURS.BLZ	Belize Time required to build a warehouse (days)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Days	Units					1
BMGBLZUA	Belize BOP Goods Imports (USD)	12-31-1950	12-31-2008	"Annual From Dec 1950 To Dec 2008, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
FM.AST.DOMO.ZG.M3.BLZ	Belize Claims on other sectors of the domestic economy (annual growth as % of broad money)	12-31-2002	12-31-2018	"Annual From Dec 2002 To Dec 2018, "	BELIZE	XXX	Financial Sector	Economic	Percent Per Annum	Units					1
TX.VAL.INSF.ZS.WT.BLZ	Belize Insurance and financial services (% of commercial service exports)	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	XXX	Exports and Imports	International Trade	Percentage	Units					1
IC.PRP.PROC.BLZ	Belize Procedures to register property (number)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Units	Units					1
BXGBLZUA	Belize BOP Goods Exports (USD)	12-31-1948	12-31-2008	"Annual From Dec 1948 To Dec 2008, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
FS.AST.DOMO.GD.ZS.BLZ	Belize Claims on other sectors of the domestic economy (% of GDP)	12-31-2001	12-31-2017	"Annual From Dec 2001 To Dec 2017, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
IC.REG.PROC.BLZ	Belize Start-up procedures to register a business (number)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Units	Units					1
IC.WRH.PROC.BLZ	Belize Procedures to build a warehouse (number)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Units	Units					1
IC.PRP.DURS.BLZ	Belize Time required to register property (days)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Days	Units					1
IC.IMP.DOCS.BLZ	Belize Documents to import (number)	12-31-2005	12-31-2014	"Annual From Dec 2005 To Dec 2014, "	BELIZE	XXX	Trade Barriers	International Trade	Units	Units					1
IC.EXP.COST.CD.BLZ	Belize Cost to export (US$ per container)	12-31-2005	12-31-2014	"Annual From Dec 2005 To Dec 2014, "	BELIZE	USD	Private Sector	Development	National Currency	Thousands					1
IC.BUS.EASE.XQ.BLZ	Belize Ease of doing business index (1=most business-friendly regulations)	12-31-2010	12-31-2019	"Annual From Dec 2010 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Index Number	Units					1
IC.LGL.DURS.BLZ	Belize Time required to enforce a contract (days)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Days	Units					1
IC.TAX.DURS.BLZ	Belize Time to prepare and pay taxes (hours)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Hours	Units					1
BBGBLZUA	Belize Balance of Payments Goods Surplus/Deficit (USD)	12-31-1950	12-31-2008	"Annual From Dec 1950 To Dec 2008, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
IC.IMP.DURS.BLZ	Belize Time to import (days)	12-31-2005	12-31-2014	"Annual From Dec 2005 To Dec 2014, "	BELIZE	XXX	Trade Barriers	International Trade	Days	Units					1
POPPBLZ	Belize Projected Population	12-31-2010	12-31-2050	"Annual From Dec 2010 To Dec 2050, "	BELIZE	XXX	Population	Development	Units	Thousands					1
IC.EXP.DURS.BLZ	Belize Time to export (days)	12-31-2005	12-31-2014	"Annual From Dec 2005 To Dec 2014, "	BELIZE	XXX	Trade Barriers	International Trade	Days	Units					1
EN.BIR.THRD.NO.BLZ	"Belize Bird species, threatened"	12-31-2010	12-31-2017	"Annual From Dec 2010 To Dec 2017, "	BELIZE	XXX	Environment	Development	Units	Units					1
IC.EXP.DOCS.BLZ	Belize Documents to export (number)	12-31-2005	12-31-2014	"Annual From Dec 2005 To Dec 2014, "	BELIZE	XXX	Trade Barriers	International Trade	Units	Units					1
IC.TAX.TOTL.CP.ZS.BLZ	Belize Total tax rate (% of commercial profits)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Percentage	Units					1
IC.LGL.CRED.XQ.BLZ	Belize Strength of legal rights index (0=weak to 10=strong)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Index Number	Units					1
EN.MAM.THRD.NO.BLZ	"Belize Mammal species, threatened"	12-31-2010	12-31-2017	"Annual From Dec 2010 To Dec 2017, "	BELIZE	XXX	Environment	Development	Units	Units					1
EN.HPT.THRD.NO.BLZ	"Belize Plant species (higher), threatened"	12-31-2010	12-31-2017	"Annual From Dec 2010 To Dec 2017, "	BELIZE	XXX	Environment	Development	Units	Units					1
IC.TAX.LABR.CP.ZS.BLZ	Belize Labor tax and contributions (% of commercial profits)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Percentage	Units					1
IQ.WEF.PORT.XQ.BLZ	"Belize Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)"	12-31-2011	12-31-2011	"Unknown From Dec 2011 To Dec 2011, "	BELIZE	XXX	Infrastructure	Development	Index Number	Units					1
IC.TAX.OTHR.CP.ZS.BLZ	Belize Other taxes payable by businesses (% of commercial profits)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Percentage	Units					1
IQ.WEF.CUST.XQ.BLZ	"Belize Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)"	12-31-2011	12-31-2011	"Unknown From Dec 2011 To Dec 2011, "	BELIZE	XXX	Infrastructure	Development	Index Number	Units					1
PA.NUS.FCRF.BLZ	"Belize Official exchange rate (LCU per US$, period average)"	12-31-1960	12-31-2017	"Annual From Dec 1960 To Dec 2017, "	BELIZE	BZD	Exchange Rates - Market	Exchange Rate	National Currency	Units					1
FR.INR.RINR.BLZ	Belize Real interest rate (%)	12-31-1976	12-31-2018	"Annual From Dec 1976 To Dec 2018, "	BELIZE	BZD	Lending Rates	Fixed Income	Percent per Annum	Units					1
PA.NUS.ATLS.BLZ	Belize DEC alternative conversion factor (LCU per US$)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	BZD	Exchange Rates - Market	Exchange Rate	National Currency	Units					1
FR.INR.RISK.BLZ	"Belize Risk premium on lending (prime rate minus treasury bill rate, %)"	12-31-1977	12-31-2017	"Annual From Dec 1977 To Dec 2017, "	BELIZE	BZD	Lending Rates	Fixed Income	Percent per Annum	Units					1
FR.INR.LEND.BLZ	Belize Lending interest rate (%)	12-31-1976	12-31-2018	"Annual From Dec 1976 To Dec 2018, "	BELIZE	BZD	Lending Rates	Fixed Income	Percent per Annum	Units					1
PX.REX.REER.BLZ	Belize Real effective exchange rate index (2005 = 100)	12-31-1980	12-31-2018	"Annual From Dec 1980 To Dec 2018, "	BELIZE	BZD	Exchange Rate Indices	Exchange Rate	Index Number	Units					1
PA.NUS.PPP.BLZ	"Belize PPP conversion factor, GDP (LCU per international $)"	12-31-1980	12-31-2017	"Annual From Dec 1980 To Dec 2017, "	BELIZE	BZD	Currency Conversion Rates	Exchange Rate	National Currency	Units					1
PA.NUS.PPPC.RF.BLZ	Belize PPP conversion factor (GDP) to market exchange rate ratio	12-31-1980	12-31-2018	"Annual From Dec 1980 To Dec 2018, "	BELIZE	XXX	Currency Conversion Rates	Exchange Rate	Ratio	Units					1
GC.DOD.TOTL.GD.ZS.BLZ	"Belize Central government debt, total (% of GDP)"	12-31-1990	12-31-2014	"Annual From Dec 1990 To Dec 2014, "	BELIZE	XXX	Debt - Government	Government and Debt	Percentage	Units					1
CPBLZMAPC	Belize Annual Consumer Price Inflation Rate	02-28-1984	01-31-2022	"Annual From Feb 1984 To Aug 1984, Quarterly From Nov 1984 To Feb 2011, Monthly From Mar 2011 To Jan 2022, "	BELIZE	XXX	Consumer Price Indices	Economic	Percent Per Annum	Units					1
TDGMBLZMAPC	Belize Annual Change in Imports	12-31-1915	04-30-2018	"Annual From Dec 1915 To Mar 1984, Monthly From Apr 1984 To Apr 2018, "	BELIZE	XXX	Exports and Imports	International Trade	Percent Per Annum	Units					1
TM.TAX.MANF.SM.AR.ZS.BLZ	"Belize Tariff rate, applied, simple mean, manufactured products (%)"	12-31-1996	12-31-2016	"Annual From Dec 1996 To Dec 2016, "	BELIZE	XXX	Trade Barriers	International Trade	Percentage	Units					1
TM.TAX.MANF.SM.FN.ZS.BLZ	"Belize Tariff rate, most favored nation, simple mean, manufactured products (%)"	12-31-1996	12-31-2016	"Annual From Dec 1996 To Dec 2016, "	BELIZE	XXX	Trade Barriers	International Trade	Percentage	Units					1
GFDD.OI.06.BLZ	Belize 5-bank asset concentration	12-31-2005	12-31-2008	"Annual From Dec 2005 To Dec 2008, "	BELIZE	XXX	Financial Sector	Economic	Ratio	Units					1
GFDD.AI.25.BLZ	"Belize ATMs per 100,000 adults"	12-31-2004	12-31-2011	"Annual From Dec 2004 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Units	Units					1
GFDD.AI.01.BLZ	"Belize Bank accounts per 1,000 adults"	12-31-2004	12-31-2011	"Annual From Dec 2004 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Units	Units					1
GFDD.AI.02.BLZ	"Belize Bank branches per 100,000 adults"	12-31-2004	12-31-2011	"Annual From Dec 2004 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Units	Units					1
GFDD.OI.01.BLZ	Belize Bank concentration (%)	12-31-2000	12-31-2009	"Annual From Dec 2000 To Dec 2009, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.EI.07.BLZ	Belize Bank cost to income ratio (%)	12-31-2000	12-31-2011	"Annual From Dec 2000 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.SI.04.BLZ	Belize Bank credit to bank deposits (%)	12-31-1976	12-31-2011	"Annual From Dec 1976 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.OI.02.BLZ	Belize Bank deposits to GDP (%)	12-31-1984	12-31-2011	"Annual From Dec 1984 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.EI.02.BLZ	Belize Bank lending-deposit spread	12-31-1980	12-31-2011	"Annual From Dec 1980 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.EI.01.BLZ	Belize Bank net interest margin (%)	12-31-2001	12-31-2011	"Annual From Dec 2001 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GDPCBLZAPC	Belize Annual Change in Real GDP	12-31-1961	12-31-2021	"Annual From Dec 1961 To Dec 1994, Quarterly From Mar 1995 To Dec 2021, "	BELIZE	XXX	National Account Aggregates	National Accounts	Percent Per Annum	Units					1
GFDD.EI.03.BLZ	Belize Bank noninterest income to total income (%)	12-31-2000	12-31-2011	"Annual From Dec 2000 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.EI.04.BLZ	Belize Bank overhead costs to total assets (%)	12-31-2001	12-31-2011	"Annual From Dec 2001 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.EI.05.BLZ	"Belize Bank return on assets (%, after tax)"	12-31-2001	12-31-2011	"Annual From Dec 2001 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.EI.09.BLZ	"Belize Bank return on assets (%, before tax)"	12-31-2001	12-31-2011	"Annual From Dec 2001 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
TM.TAX.MANF.WM.AR.ZS.BLZ	"Belize Tariff rate, applied, weighted mean, manufactured products (%)"	12-31-1996	12-31-2016	"Annual From Dec 1996 To Dec 2016, "	BELIZE	XXX	Trade Barriers	International Trade	Percentage	Units					1
GFDD.EI.06.BLZ	"Belize Bank return on equity (%, after tax)"	12-31-2001	12-31-2011	"Annual From Dec 2001 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.EI.10.BLZ	"Belize Bank return on equity (%, before tax)"	12-31-2001	12-31-2011	"Annual From Dec 2001 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.SI.01.BLZ	Belize Bank Z-score	12-31-2001	12-31-2011	"Annual From Dec 2001 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Units	Units					1
GFDD.OI.19.BLZ	"Belize Banking crisis dummy (1=banking crisis, 0=none)"	12-31-1960	12-31-2011	"Annual From Dec 1960 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Units	Units					1
GFDD.OI.05.BLZ	Belize Boone indicator	12-31-2001	12-31-2011	"Annual From Dec 2001 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Units	Units					1
GFDD.DI.06.BLZ	Belize Central bank assets to GDP (%)	12-31-1984	12-31-2011	"Annual From Dec 1984 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.OI.14.BLZ	Belize Consolidated foreign claims of BIS reporting banks to GDP (%)	12-31-1983	12-31-2011	"Annual From Dec 1983 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.OE.02.BLZ	"Belize Consumer price index (2005=100, average)"	12-31-1980	12-31-2011	"Annual From Dec 1980 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
TM.TAX.MANF.WM.FN.ZS.BLZ	"Belize Tariff rate, most favored nation, weighted mean, manufactured products (%)"	12-31-1996	12-31-2016	"Annual From Dec 1996 To Dec 2016, "	BELIZE	XXX	Trade Barriers	International Trade	Percentage	Units					1
GFDD.OE.01.BLZ	"Belize Consumer price index (2005=100, December)"	12-31-1980	12-31-2011	"Annual From Dec 1980 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.EI.08.BLZ	Belize Credit to government and state owned enterprises to GDP (%)	12-31-1980	12-31-2011	"Annual From Dec 1980 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
COVID19.BLZ.C	Belize Covid-19 cases	03-24-2020	02-08-2021	"Daily From Mar 2020 To Dec 2020, Weekly From Dec 2020 To Feb 2021, "	BELIZE	XXX	Epidemics	Epidemics	Cases	Units					1
GFDD.DI.04.BLZ	Belize Deposit money bank assets to deposit money bank assets and central bank assets (%)	12-31-1976	12-31-2011	"Annual From Dec 1976 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.DI.02.BLZ	Belize Deposit money banks' assets to GDP (%)	12-31-1984	12-31-2011	"Annual From Dec 1984 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.DI.14.BLZ	Belize Domestic credit to private sector (% of GDP)	12-31-1976	12-31-2011	"Annual From Dec 1976 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.OI.12.BLZ	Belize External loans and deposits of reporting banks vis-Ã -vis all sectors (% of domestic bank deposits)	12-31-1995	12-31-2011	"Annual From Dec 1995 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.OI.10.BLZ	Belize External loans and deposits of reporting banks vis-Ã -vis the banking sector (% of domestic bank deposits)	12-31-1995	12-31-2011	"Annual From Dec 1995 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.OI.11.BLZ	Belize External loans and deposits of reporting banks vis-Ã -vis the nonbanking sectors (% of domestic bank deposits)	12-31-1995	12-31-2011	"Annual From Dec 1995 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
TM.TAX.MRCH.BC.ZS.BLZ	"Belize Binding coverage, all products (%)"	12-31-1996	12-31-2016	"Annual From Dec 1996 To Dec 2016, "	BELIZE	XXX	Trade Barriers	International Trade	Percentage	Units					1
GFDD.DI.08.BLZ	Belize Financial system deposits to GDP (%)	12-31-1984	12-31-2011	"Annual From Dec 1984 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.DM.07.BLZ	Belize International debt issues to GDP (%)	12-31-2003	12-31-2011	"Annual From Dec 2003 To Dec 2011, "	BELIZE	XXX	Debt - External	Government and Debt	Percentage	Units					1
GFDD.OI.04.BLZ	Belize Lerner index	12-31-2000	12-31-2008	"Annual From Dec 2000 To Dec 2008, "	BELIZE	XXX	Financial Sector	Economic	Units	Units					1
GFDD.DI.09.BLZ	Belize Life insurance premium volume to GDP (%)	12-31-1995	12-31-2011	"Annual From Dec 1995 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.SI.06.BLZ	Belize Liquid assets to deposits and short term funding (%)	12-31-1998	12-31-2011	"Annual From Dec 1998 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.OI.07.BLZ	Belize Liquid liabilities in millions USD (2000 constant)	12-31-1976	12-31-2011	"Annual From Dec 1976 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.DI.05.BLZ	Belize Liquid liabilities to GDP (%)	12-31-1984	12-31-2011	"Annual From Dec 1984 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.OI.09.BLZ	Belize Loans from nonresident banks (amounts outstanding) to GDP (%)	12-31-1995	12-31-2011	"Annual From Dec 1995 To Dec 2011, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
GFDD.DI.03.BLZ	Belize Nonbank financial institutionsâ€™ assets to GDP (%)	12-31-1984	12-31-2005	"Annual From Dec 1984 To Dec 2005, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
