Introduction: Table 1
												
												
												
	0	Collection of collection sources										
		Import from collection sources in manuscript projects by Navidad	finished 4 Aug 2022	139 new unique records								
		Query in TNA Discovery for honduras or hondur* to 1799	finished 4 Aug 2022	no new records								
		Query in TNA Discovery for honduras or hondur* to 1899	finished 4 Aug 2022	vars new unique records								
		Query in FranceArchives for honduras or campeche to 1849	finished 4 Aug 2022	vars new unique records								
		Query in Archieven.nl for hondur* or campec* or campel* or campes* to 1799	finished 5 Aug 2022	no new records								
		Query in Openarch.nl - Transcriptions for hondur* or campec* or campel* or campes* to 1799	finished 5 Aug 2022	no new records								
		Query in Doorzoek koloniale archieven dekok.xyz for hondur* or campec* etc to 1799	finished 5 Aug 2022	no new records								
		Query in ProQuest Archive Finder for logwood etc to 1799	finished 5 Aug 2022	vars new unique records								
		Query in OAIster for logwood etc to 1799	could not query due to technical malfunctions on 5 Aug 2022									
		Query in ArchiveGrid for logwood etc to 1799										
												
		Note - could not categorise S 153 [Harv Digital Collection] as being compilation of pamphlets from vars Harvard repositories on 6 AUG 2022										
		Note - could not categorise S 407 [Metzgen personal property] as being private on 6 AUG 2022										


Collections: Table 1
	ver_1.4_ids_	collections_	country_	district_	url_	cat_0_	directory_0_	directory_1_	directory_2_	directory_3_	notes_					
	509	RED;;;ID=S 756;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Wright D;;;NAME 0=Wright/van Dam;;;CITED=19;;;START 0=1621;;;STOP 0=1649;;;SIZE=2;;;UNITS=vols;;;NAME 1=Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Kemink en Zoon;;;PLACE 2=Utrecht;;;PLACE 3=Netherlands;;;START 1=1934;;;STOP 1=1935;;;NAME 3=xnp;;;NAME 4=I. A. Wright;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=Goslinga xxx;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/459152020 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/460522147 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/460522157;;;DESC 1=2 v. in-8°;;;NOTE=Edited by Irene A. Wright / Translations by Cornelis F. A. van Dam;;;LINK=Delpher v1: https://resolver.kb.nl/resolve?urn=MMKB05:000038083 = file:///Users/angelnavidad/Downloads/MMKB05_000038083_pdf.pdf / Delpher v2: https://resolver.kb.nl/resolve?urn=MMKB05:000038084 = file:///Users/angelnavidad/Downloads/MMKB05_000038084_pdf.pdf;;;END=###							
	510	"RED;;;ID=S 758;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Cain;;;NAME 0=xnp;;;CITED=1;;;START 0=1931;;;STOP 0=1931;;;SIZE=1;;;UNITS=vols;;;NAME 1=Cyclone! : being an illustrated official record of the hurricane and tidal wave which destroyed the city of Belize, British Honduras on the colony's birthday, 10th September 1931;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=xnp;;;PLACE 2=Belize;;;PLACE 3=Belize;;;START 1=1932;;;STOP 1=np;;;NAME 3=E. E. Cain;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=xnp;;;DESC 1=xv, 135 pages : illustrations;;;NOTE=1 ed = Ernest E. Cain, *Cyclone!* [Belize, sn, 1932], reprinted as *Clyclone : Being an illustrated ...* [London, A. H. Stockwell, 1933] OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/663724865 /v Macpherson 350 / Further see Ernest E. Cain, *Cycone ""Hattie"" : Being an Illustrated Record of the hurricane and tidal wave which destroyed the city of Belize in British Honduras on the 31st day of October, 1961 together with hurricane ""Janet"" which destroyed the little Northern town of Corozal in British Honduras in the year 1955* [Ilfracombe & Devon, Arthur H. Stockwell, 1963] OCLC = xxx;;;LINK=xnp;;;END=###"							
	511	"RED;;;ID=S 760;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Burdon;;;NAME 0=xnp;;;CITED=808;;;START 0=1587;;;STOP 0=1884;;;SIZE=3;;;UNITS=vols;;;NAME 1=Archives of British Honduras;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Sifton, Praed & Co.;;;PLACE 2=London;;;PLACE 3=UK;;;START 1=1931;;;STOP 1=1935;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/3046003;;;DESC 1=3 volumes : illustrations, maps (some folded), folded plan 23 cm;;;NOTE=xnp;;;LINK=Lib Service v1: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf / Lib Service v2: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf / Lib Service v3: file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf;;;END=###"							
	512	"RED;;;ID=S 762;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Ximenes;;;NAME 0=xnp;;;CITED=2;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=3;;;UNITS=vols;;;NAME 1=Historia de la Provincia de San Vicente de Chiapa y Guatemala de la Orden de Predicadores;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Tipografía nacional;;;PLACE 2=Guatemala;;;PLACE 3=Guatemala;;;START 1=1929;;;STOP 1=1931;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/7458160;;;DESC 1=3 volumes facsimiles 27 cm;;;NOTE== vol 1–3 series *Biblioteca ""Goathemala"" de la Sociedad de Geografía e Historia de Guatemala*;;;LINK=v 1: https://archive.org/details/historiadelaprov01ximguat/page/n5/mode/2up / V 2: https://archive.org/details/BibliotecaGoathemalaAGHGVolIIHistoriaProvinciaSanVicenteDeChiapaGuatemala / V 3: https://archive.org/details/BibliotecaGoathemalaAGHGVolIIIHistoriaProvinciaSanVicenteDeChiapaGuatemala3;;;END=###"							
	513	"RED;;;ID=S 764;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Naber W;;;NAME 0=Naber/Wright;;;CITED=2;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=1;;;UNITS=vols;;;NAME 1=Piet Heyn en de Zilvervloot;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Kemink en Zoon;;;PLACE 2=Utrecht;;;PLACE 3=Netherlands;;;START 1=1928;;;STOP 1=np;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=Goslinga xxx;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/781402204;;;DESC 1=clxxxvii, 239, [1] vouwbl., xxxix, 308 p. : illustrations, krt., table ; 22 cm;;;NOTE== vol 53 series *Werken : 3e serie* / Edited by S. P. l'Honoré Naber and Irene A. Wright;;;LINK=xnp;;;END=###"							
	514	"RED;;;ID=S 766;;;PRIM=0;;;COLL=0;;;TYPE=P;;;AID=WI Yrb;;;NAME 0=xnp;;;CITED=0;;;START 0=np;;;STOP 0=np;;;SIZE=xxx;;;UNITS=xxx;;;NAME 1=Caribbean year book;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Canadian Gazette;;;PLACE 2=London;;;PLACE 3=UK;;;START 1=1927;;;STOP 1=1980;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/867632411;;;DESC 1=xxx;;;NOTE=Desc v 1 = iv, 368 pages : illustrations, maps (some folded) ; 25 cm / = *Yearbook of the Bermudas, the Bahamas, British Guiana, British Honduras and the British West Indies* / *West Indies Yearbook* / *Yearbook of the West Indies and countries of the Caribbean* / *West Indies and Caribbean Yearbook*;;;LINK=xxx;;;END=###"							
	515	"RED;;;ID=S 768;;;PRIM=0;;;COLL=0;;;TYPE=P;;;AID=Burdon S;;;NAME 0=Burdon, Sketch;;;CITED=0;;;START 0=np;;;STOP 0=np;;;SIZE=1;;;UNITS=vols;;;NAME 1=Brief Sketch of British Honduras. Past, Present and Future;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=West India Committee;;;PLACE 2=London;;;PLACE 3=UK;;;START 1=1927;;;STOP 1=np;;;NAME 3=J. Burdon;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/6999857;;;DESC 1=53 pages folded map 19 cm;;;NOTE=xnp;;;LINK=xxx;;;END=###"							
	516	"RED;;;ID=S 770;;;PRIM=0;;;COLL=0;;;TYPE=P;;;AID=Asturias;;;NAME 0=xnp;;;CITED=1;;;START 0=np;;;STOP 0=np;;;SIZE=1;;;UNITS=vols;;;NAME 1=Belice;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Sociedad de Geografía é Historia de Guatemala;;;PLACE 2=Guatemala;;;PLACE 3=Guatemala;;;START 1=1925;;;STOP 1=np;;;NAME 3=F. Asturias;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/10046866;;;DESC 1=1 preliminary leaf, [5]-92 pages folded map 24 cm;;;NOTE=xnp;;;LINK=https://hdl.handle.net/2027/txu.059173022907279;;;END=###"							
	517	"RED;;;ID=S 774;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Jameson;;;NAME 0=xnp;;;CITED=3;;;START 0=1638;;;STOP 0=1772;;;SIZE=1;;;UNITS=vols;;;NAME 1=Privateering and Piracy in the Colonial Period;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Macmillan Co.;;;PLACE 2=New York;;;PLACE 3=USA;;;START 1=1923;;;STOP 1=np;;;NAME 3=xnp;;;NAME 4=J. F. Jameson;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/2778131;;;DESC 1=xxvi pages, 1 leaf, 619 pages 23 cm;;;NOTE== vol xnp series *Library of American civilization* / Edited by J. F. Jameson;;;LINK=http://www.gutenberg.org/files/24882/24882-h/24882-h.htm;;;END=###"							
	518	"RED;;;ID=S 776;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=JBOT;;;NAME 0=nn JBOT;;;CITED=0;;;START 0=1704;;;STOP 0=1782;;;SIZE=14;;;UNITS=vols;;;NAME 1=Board of Trade and Plantations, Journal;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=H.M.S.O.;;;PLACE 2=London;;;PLACE 3=UK;;;START 1=1920;;;STOP 1=1938;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/225864448;;;DESC 1=14 volumes ; 27 cm ; in-4°;;;NOTE=xnp;;;LINK=https://www.british-history.ac.uk/search/series/jrnl-trade-plantations ;;;END=###"							
	519	"RED;;;ID=S 778;;;PRIM=0;;;COLL=0;;;TYPE=P;;;AID=Brindley;;;NAME 0=xnp;;;CITED=1;;;START 0=np;;;STOP 0=np;;;SIZE=1;;;UNITS=vols;;;NAME 1=Sketches of the Wesleyan mission in British Honduras, to commemorate the jubilee of Wesley Church, Belize;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Clarion Press;;;PLACE 2=Belize;;;PLACE 3=Belize;;;START 1=1916;;;STOP 1=np;;;NAME 3=J. B. Brindley;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/454870300;;;DESC 1=[vi], 45, [2] pages : illustrations;;;NOTE=xnp;;;LINK=https://ufdc.ufl.edu/UF00095381/00001;;;END=###"							
	520	"RED;;;ID=S 782;;;PRIM=0;;;COLL=0;;;TYPE=P;;;AID=Dutch DNB;;;NAME 0=Netherlands DNB;;;CITED=0;;;START 0=np;;;STOP 0=np;;;SIZE=10;;;UNITS=vols;;;NAME 1=Nieuw Nederlandsch Biografisch Woordenboek;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=A. W. Sijthoff's uitgevers-maatschappij;;;PLACE 2=Leiden;;;PLACE 3=Netherlands;;;START 1=1911;;;STOP 1=1937;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://www.dbnl.org/tekst/molh003nieu00_01/ / http://resources.huygens.knaw.nl/retroboeken/nnbw/;;;DESC 1=10 vols;;;NOTE=2 ed = *Biografisch Woordenboek van Nederland* [Hague, Nijhoff, 1979–2008] Desc = 6 vols Link: http://resources.huygens.knaw.nl/bwn1880-2000;;;LINK=http://resources.huygens.knaw.nl/retroboeken/nnbw/ ;;;END=###"							
	521	"RED;;;ID=S 784;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Gadsby;;;NAME 0=xnp;;;CITED=1;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=1;;;UNITS=vols;;;NAME 1=On the shores of the Caribbean Sea: stories of far off British Honduras;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=J.W. Butcher;;;PLACE 2=London;;;PLACE 3=UK;;;START 1=1911;;;STOP 1=np;;;NAME 3=W. J. Gadsby;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/3897381;;;DESC 1=128 pages, [5 leaves of plates] : illustrations, portraits ; 19 cm;;;NOTE=xnp;;;LINK=https://hdl.handle.net/2027/txu.059173011686462;;;END=###"							
	522	"RED;;;ID=S 786;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Bury;;;NAME 0=xnp;;;CITED=2;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=1;;;UNITS=vols;;;NAME 1=A Bishop amongst Bananas;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Wells Gardner, Darton & Co.;;;PLACE 2=London;;;PLACE 3=UK;;;START 1=1911;;;STOP 1=np;;;NAME 3=H. Bury;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/38725958;;;DESC 1=xvi, 236 pages : frontispiece (portrait) plates;;;NOTE=xnp;;;LINK=xxx;;;END=###"							
	523	"RED;;;ID=S 790;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=APC Col;;;NAME 0=xnp;;;CITED=2;;;START 0=1613;;;STOP 0=1783;;;SIZE=6;;;UNITS=vols;;;NAME 1=Acts of the Privy Council of England : colonial series;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Printed for H.M. Stationery Off., by Anthony Bros.;;;PLACE 2=Hereford;;;PLACE 3=UK;;;START 1=1908;;;STOP 1=1912;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=Burdon 1 xxx;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/221422505;;;DESC 1=6 volumes in 12 ; 25 cm;;;NOTE=xnp;;;LINK=http://id.lib.harvard.edu/alma/99154274911603941/catalog;;;END=###"							
	524	"RED;;;ID=S 792;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Bristow R;;;NAME 0=Bristow Rep;;;CITED=0;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=1;;;UNITS=vols;;;NAME 1=Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=G.P.O. [for the] Office of Administration, Isthmian Canal Affairs;;;PLACE 2=Washington;;;PLACE 3=USA;;;START 1=1905;;;STOP 1=np;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/221313006;;;DESC 1=421 pages;;;NOTE=In US Serial Set ?;;;LINK=https://worldscholar.gale.com/region/latin-america/MonographsDetailsPage/MonographsDetailsWindow?disableHighlighting=false&displayGroupName=DVI-Monographs&docIndex=1&prodId=LAC&mode=view&limiter=&display-query=TX+Report+Of+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+To+The+Secretary+Of+War.+1905&contentModules=&action=e&sortBy=&windowstate=normal&currPage=1&dviSelectedPage=&scanId=&query=TX+Report+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+Secretary+War.+1905&search_within_results=&p=LACD&catId=&displayGroups=&documentId=GALE%7CSA5299194852&activityType=BasicSearch&failOverType=&commentary=&source=Bookmark&u=camb55135&jsid=ae0cdd8d308047d5a8955c6b8b44f227#;;;END=###"							
	525	"RED;;;ID=S 794;;;PRIM=0;;;COLL=0;;;TYPE=P;;;AID=xxx;;;NAME 0=Cundall;;;CITED=0;;;START 0=np;;;STOP 0=np;;;SIZE=1;;;UNITS=vols;;;NAME 1=Bibliotheca Jamaicensis. Some account of the principal works on Jamaica in the Library of the Institute of Jamaica, 1895;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=The Institute of Jamaica;;;PLACE 2=Kingston;;;PLACE 3=Jamaica;;;START 1=1895;;;STOP 1=np;;;NAME 3=F. Cundall;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=Knight H 6 fn xnp;;;FAID=http://pi.lib.uchicago.edu/1001/cat/bib/2252398;;;DESC 1=38 p.;;;NOTE=2 ed = [Kingston, Institute of Jamaica, 1902] Desc = 83 p. 22 cm OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/917918 / 2 ed = Cundall / Further see *Supplement* [Kingston, Institute of Jamaica, 1908] Desc = 38 p. 22 cm OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/21328355 / Further see *Bibliography of the West Indies (excluding Jamaica)* [Kingston, Institute of Jamaica, 1909] Desc = 3 preliminary leaves, 179 pages 22 cm OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/41490941;;;LINK=xnp;;;END=###"							
	526	"RED;;;ID=S 798;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Duro;;;NAME 0=xnp;;;CITED=7;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=9;;;UNITS=vols;;;NAME 1=Armada española desde la unión de los reinos de Castilla y de León;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Est. tipográfico ""Sucesores de Rivadeneyra"";;;PLACE 2=Madrid;;;PLACE 3=Spain;;;START 1=1895;;;STOP 1=1903;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/4413652;;;DESC 1=9 volumes plates, portraits, maps, facsimiles 26 cm;;;NOTE=Attributed to Cesáreo Fernández Duro;;;LINK=xnp;;;END=###"							
	527	"RED;;;ID=S 800;;;PRIM=0;;;COLL=0;;;TYPE=P;;;AID=Rubio B;;;NAME 0=Rubio, Bel;;;CITED=0;;;START 0=np;;;STOP 0=np;;;SIZE=1;;;UNITS=vols;;;NAME 1=Belice;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Impr. de ""La Revista de Mérida"";;;PLACE 2=Merida;;;PLACE 3=Mexico;;;START 1=1894;;;STOP 1=np;;;NAME 3=N. Rubio Alpuche;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/645354630;;;DESC 1=194 pages; 2 maps (1 folded);;;NOTE=xnp;;;LINK=https://www.google.com/books/edition/Belice/YdkBAAAAMAAJ?hl=en&gbpv=0;;;END=###"							
	528	"RED;;;ID=S 802;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Hon Hnd;;;NAME 0=Hon Hnd nn;;;CITED=11;;;START 0=1888;;;STOP 0=1930;;;SIZE=8;;;UNITS=vols;;;NAME 1=Handbook of British Honduras;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=William Blackwood & Sons;;;PLACE 2=London;;;PLACE 3=UK;;;START 1=1889;;;STOP 1=1930;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/61709624 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/1269287477;;;DESC 1=xxx;;;NOTE=Desc v 1 = 256 pages frontispiece (double map) 23 cm / vols for 1888–89, 1889–90, 1890–91, 1891–92, 1892–93, 1925 / = *Handbook of the British West Indies, British Guiana and British Honduras* 1926–27, 1929–30 / Though see A. J. Adderley, *Colonial and Indian Exhibition, 1886 : handbook and catalogue : the West Indies and British Honduras* [London, William Clowes & Sons, 1886] OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/1063857543;;;LINK=v 1: https://www.google.com/books/edition/The_Handbook_of_British_Honduras/Z5YvAAAAMAAJ?hl=en;;;END=###"							
	529	"RED;;;ID=S 804;;;PRIM=0;;;COLL=0;;;TYPE=P;;;AID=OED;;;NAME 0=xnp;;;CITED=0;;;START 0=np;;;STOP 0=np;;;SIZE=10;;;UNITS=vols;;;NAME 1=Oxford English Dictionary;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Clarendon Press;;;PLACE 2=Oxford;;;PLACE 3=UK;;;START 1=1884;;;STOP 1=1928;;;NAME 3=xnp;;;NAME 4=J. A. H. Murray;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/13229676;;;DESC 1=10 v. in 13;;;NOTE=2 ed = [Oxford, Clarendon Press, 1989] 20 vols OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/17648714 / Guide Link: https://public.oed.com/history/oed-editions/;;;LINK=xnp;;;END=###"							
	530	"RED;;;ID=S 806;;;PRIM=0;;;COLL=0;;;TYPE=P;;;AID=Pavia;;;NAME 0=xnp;;;CITED=0;;;START 0=np;;;STOP 0=np;;;SIZE=1;;;UNITS=vols;;;NAME 1=Los ingleses en Mexico ó sea el origen y fundación de las colonias británicas en el seno mexicano;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Imprenta de José V. Castillo;;;PLACE 2=Mexico;;;PLACE 3=Mexico;;;START 1=1888;;;STOP 1=np;;;NAME 3=L. Pavía;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=Mongey 85 fn 76;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/15389415;;;DESC 1=24 pages 15 cm;;;NOTE== Bib Yuc XLIII-1888-12 / Further see 2 ed = [Mexico, Imprenta de José V. Castillo, 1888] Desc = 24 p. ; 19 cm OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/970580132;;;LINK=xxx;;;END=###"							
	531	"RED;;;ID=S 808;;;PRIM=0;;;COLL=0;;;TYPE=P;;;AID=DNB;;;NAME 0=Oxford DNB;;;CITED=8;;;START 0=np;;;STOP 0=np;;;SIZE=63;;;UNITS=vols;;;NAME 1=Dictionary of National Biography;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Smith, Elder & Co.;;;PLACE 2=London;;;PLACE 3=UK;;;START 1=1885;;;STOP 1=1900;;;NAME 3=xnp;;;NAME 4=L. Stephen, S. Lee;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/2763972;;;DESC 1=63 volumes;;;NOTE=3 ed = [Oxford, Oxford University Press, 2004] 60 vols / Guide Link: https://www.oxforddnb.com/page/history-of-the-dictionary-of-national-biography/history-of-the-dictionary-of-national-biography-;;;LINK=xnp;;;END=###"							
	532	"RED;;;ID=S 810;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Kemble;;;NAME 0=xnp;;;CITED=2;;;START 0=1775;;;STOP 0=1781;;;SIZE=2;;;UNITS=vols;;;NAME 1=The Kemble papers;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Printed for the Society;;;PLACE 2=New York;;;PLACE 3=USA;;;START 1=1884;;;STOP 1=1885;;;NAME 3=xnp;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/2193867;;;DESC 1=2 volumes : frontispiece (portrait), illustrations, folded color map ; 25 cm;;;NOTE== vols 16–17 series *Collections of the New-York Historical Society for the year … * / Could not locate vol 1;;;LINK=Google v2: https://www.google.com/books/edition/Journals_of_Kemble_brigadier_general_in/0LwTAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover;;;END=###"							
	533	"RED;;;ID=S 812;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Duval;;;NAME 0=xnp;;;CITED=6;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=1;;;UNITS=vols;;;NAME 1=A narrative of life and travels in Mexico and British Honduras;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=G. W. Gary;;;PLACE 2=Richmond;;;PLACE 3=USA;;;START 1=1870;;;STOP 1=np;;;NAME 3=B. R. Duval;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/3816166;;;DESC 1=88 pages ; 14 cm;;;NOTE=2 ed = [Richmond, Clemmitt & Jones, 1878] OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/5216095 / 3 ed = [Baltimore, J. Wesley Smith, 1879] OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/780051866;;;LINK=3 ed: https://www.google.com/books/edition/A_Narrative_of_Life_and_Travels_in_Mexic/kElOAAAAYAAJ?hl=en;;;END=###"							
	534	"RED;;;ID=S 814;;;PRIM=1;;;COLL=0;;;TYPE=P;;;AID=Fowler;;;NAME 0=xnp;;;CITED=7;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=1;;;UNITS=vols;;;NAME 1=A narrative of a Journey across the unesplored portion of British Honduras, with a short sketch of the History and Resources of the Colony;;;NAME 2np;;;PLACE 0np;;;PLACE 1=np;;;DESC 0=Government Press;;;PLACE 2=Belize;;;PLACE 3=Belize;;;START 1=1879;;;STOP 1=np;;;NAME 3=H. Fowler;;;NAME 4=xnp;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=Burdon 3 xxx / Bolland F 227;;;FAID=http://gw.worldcat.org.proxygw.wrlc.org/oclc/19351121;;;DESC 1=58, 6 pages : portrait, 2 folded maps ; 28 cm;;;NOTE=xnp;;;LINK=xnp;;;END=###"							
