21 Jan 1958	Assault	Guatemala	Hon	Benque Viejo	Belize Liberation Army (Guatemalan) affair		Troops and extra police sent west										"Manchester Guardian 34773 Manchester 18 Apr 1958 p 9
New York Herald Tribune ? NYC 19 Apr 1958 p 2"		
? ? 1958	Outbreak			?	Gastroenteritis	69 deaths	"2,906 cases"									Cmnd. 780 p 139			
13 Nov 1960	Crisis				Guatemalan Civil War												?		
17 Oct 1973	Crisis			Hon	1973 Oil crisis												?		
6 Nov 1975	Crisis	Guatemala	Hon	Western Border	Chewing Gum / Watermelon War												Document nyta000020011127d7b906tpn		
8 Jul 1977	Crisis	Guatemala	Hon	Western Border	Chewing Gum / Watermelon War		Hon costing UK US $ 10 to 12 m a yr in 77	third threatened mil confrontation [by Guat] 72-77	most shops and stores closed or had shutters halfway opened [Benque 8 Jul]	some residents of border areas fled … there was panic buying of food							"AP GALE|DPDIFJ372324255
Document nyta000020011127d97802cj6"		
15 Oct 1979	Crisis				Salvadoran Civil War		"Valley of Peace set up for c 650 refugees, c 2,000 refugees total"										Document NYTF000020050511df79017hz		
3 Apr 1981	Crisis				Heads of Agreement Crisis	5 killed [Corozal]	dozen bldgs destroyed	several stores looted									"vars, AP GALE|DPDIFJ372324255
Document NYTF000020050517dd4300xj5
Document NYTF000020050517dd4400xp1"		
? ? 1980				Fall in sugar prices													"?, Document FTFT000020070505dgci03077"		
? ? 1982				Mexico financial collapse													"?, Document FTFT000020070505dgci03077"		
11 Feb 1983	Crisis		Residents		Crime wage	7 in Jan 83	2 special police units formed Jan 83										AP GALE|CAHMGZ576566268		
31 Dec 1986	Outbreak				HIV / AIDS		?										vars		
21 Jul 1987	Crisis			Hon	Refugee wave		"25,000 unauthorised refugees ≤ 21 Jul 1987"	Refugee camps mentioned 85									"AP GALE|JDGOIU443080636
Document asp0000020011125dhal00osa
Financial Times Survey of Belize 16 Oct 1985
Document lba0000020011204dj850126w"		
30 Aug 1994	Crisis			Haiti	Op Uphold Democracy		< 112 troops										Document lba0000020030220dq8u00imi		
8 Sep 1998	Crisis			Belize T.	Belize Ripper murder-rapes		?										vars		
8 Aug 1981	Outbreak				Pink eye		"12,000 cases reported to CDC"	?									"GALE|DWOYQP766088042
https://iris.paho.org/bitstream/handle/10665.2/27367/ev17n3p275.pdf?sequence=1&isAllowed=y"		
15 Sep 2008	Crisis			Hon	Financial crisis of 2007-2008		?										?		
7 Jul 2009	Outbreak				Swine flu		?										vars		
23 Mar 2019	Outbreak				COVID-19		?										vars		


Sheet 1-1: Table 1
						
						


Sheet 1-1-1: Table 1
						
						
