Fin 1	Jun 1765	0	 	 	Tragedy of Commons	21 Jun 1766											Prov esp bread so very scarce / many vessels ready to sail could not for want thereof
Fin 1	Jun 1765	0	 	 	Tragedy of Commons	21 Jun 1766											Prov scarce [likely] to min 1 Nov 66
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	1 Aug 1765		New		sev Neg	sev Crafs w armed men	"Cook, 3 seamen killed"				min 1 fam robbed [likely]	held New R
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	22 Aug 1765	Siege of New R	New		c 70 revolters		killed sev seamen [New]		many bay men deserted works [in New?]			
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	1 Sep 1765	Jamaica Reinforcements Sail for Bay				3 Sloops of War						
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	1 Sep 1765						1 Sp killed					
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	1 Sep 1765	Falling Out Breaks Revolt					sev slaves hanged [of 70?] / the ringleaders hanged	some Neg taken prisoners				
Crs 2	Jan 1766	0	Sp	 	Sp Seduction	12 Jun 1771								"near 10,000L sterling loss fm deserting slaves fm start [1768?] to 12 Jun 71 / 47 Neg delivered by Gov Yucatan to Capt. Lockyer c Dec 66"			
Crs 1	Feb 1767	Dec 1770	 	Du Fr	Alien Logging	1 Feb 1767								Fr Dutch Log cutters extremely numerous in bay			
Crs 1	Feb 1767	Dec 1770	 	Du Fr	Alien Logging	15 Jun 1768											Eng wool has hardly any sale in Bay / Fr bring manufactures 30 pc cheaper
Crs 1	Feb 1767	Dec 1770	 	Du Fr	Alien Logging	15 Dec 1770										very dangerous dispute broke out w Fr Log cutters	
Hos 8	Mar 1767	Apr 1767	Sp	 	 	1 Mar 1767	Hondo R Disturbances	Hondo					Neg of oldest settlers carried off fm Hondo			"houses, cattle burnt at Hondo"	
Hos 8	Mar 1767	Apr 1767	Sp	 	 	1 Apr 1767						murdered some Bay Men	seized sev Neg			seized Properties of inhabitants	
Hos 12	Jul 1767	Jul 1767	0	Ma	Naismith Raid	25 Jul 1767				party of Indians	Capt. Naismith	1 Neg killed				house sacked [likely?]	
Hos 9	Jul 1770	Mar 1772	Sp	 	 	1 Jul 1770	Sharp Dispute					sev bay men killed in dispute					
Hos 9	Jul 1770	Mar 1772	Sp	 	 	1 Jul 1770									min 2 ships driven off wo loading	destroyed all mahogany lying in some bays	
Hos 9	Jul 1770	Mar 1772	Sp	 	 	1 Nov 1770	Sacking of Ambergris Caye	Ambergris	PA 4 swivel guns c 18 men				carried of a Neg fm Ambergris			burnt sev houses at Ambergris	
Hos 9	Jul 1770	Mar 1772	Sp	 	 	1 Dec 1770									min 2 ships driven off wo loading		
Hos 9	Jul 1770	Mar 1772	Sp	 	 	1 Jan 1771	Gov. of Jam Reassures Baymen of Safety on Mainland							for some time past baymen had moved their families to St. George’s Caye … apprehensive of rupture bw GB and Sp to [likely] Jun 1771		"productive of great loss to baymen, little or no Log having been cut"	
Hos 9	Jul 1770	Mar 1772	Sp	 	 	6 Mar 1772		Glover’s		Capt. [or master] Theremin			Jacob’s Well crew taken		Jacob’s Well craft taken		
Nat 1	Jun 1771	Nov 1771	 	 	Great Famine	1 Jun 1771	Maya Refugees							Maya … continue daily to desert from Yucatan to the Eng settlers / receive hospitality			
Nat 1	Jun 1771	Nov 1771	 	 	Great Famine	1 Oct 1771						"17,000 have died in Ambergris, upwards of 80,000 total [Yuc, or Hon only?] / or c 40,000 total [Yuc, or Hon?]"					
Nat 1	Jun 1771	Nov 1771	 	 	Great Famine	1 Nov 1771											Prov so scarce / the like not remembered by oldest settlers
Hos 10	Jan 1773	Sep 1773	 	Ma	Arms Raids	1 Sep 1773						massacred numbers of Eng				always taken what iron [arms] they could find / set fire to some houses	
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	28 May 1773		Old				2 white men killed / Hill killed later / one family feared shot dead later / 1 steersman killed later				min 4 families robbed	will be very little wood of any kind shipped in 1773
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	4 Jun 1773	Escape Killings	Hondo	Guards	"3 Neg of John Fullon, Hugh Wilson / [prev] other slaves"	"Capt. McDugall / [prev] Capt. Wooldrige, Capt. McCarthy"	min 3 Captains killed by slaves < Jun 73		min 3 slaves escape to Yuc with help of Guards < Jun 73		min 1 craft ransacked by Guards	
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	7 Jun 1773	Marshmen’s Engagement			"c 50 slaves w 16 muskets, cutlasses etc."	"Capt. Thomas Davey, Baymen / 3 parties of 30 or 40 men ea. [later]"	6 white men prev killed / lead revolter likely fatally wounded	14 slaves had [possibly] been impressed prev / returned 8 Jun 73	revolters retire to woods		taken five settlements [houses likely] prev	
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	1 Aug 1773				c 70 revolters ?	parties led by Magistrates	taken or destroyed about 40 revolters	taken or destroyed about 40 revolters				
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	29 Aug 1773								c 70 revolters in woods / w Sp			
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution	12 Sep 1777	Washington Affair		Commander Hezekiah Anthony				1 pilot fm St. George’s to Sherboon		"2 ships, 1 brig taken"	"supply of rum, sugar demanded for"	
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution	2 Jun 1779	Capture of St. George’s Caye					2 killed [13 Sep 79]	F George garrison imprisoned	driven fm Rio Tinto / entirely driven fm all Hon [later or same time?]		Fort George taken [so houses destroyed?] / deprived Eng of wood [so laid wood destroyed?]	
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution	16 Oct 1779	Siege of Omoa		365 men	"150 Eng soldiers, Baymen"		"6 killed, ? died of disease"					
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution		Siege of San Pedro Sula					"1 scout killed, loss of 2 men in sacking / burning St. Pedro"					
Nat 2	Dec 1784	Nov 1785	 	 	 	1 Dec 1784						epidemic distemper at New proved fatal to many					severest weather ever remember fm Dec 84 to Nov 85 … esp New
Crs 3	Feb 1785	0	Sp	 	 	1 Feb 1785								"settlers in New, Hondo lost part of their Neg / evac to St. George’s, Belize"		left their stock in jeopardy / their habitations = inexpressible losses	were in want of bread Prov
Rev 3	Jun 1786	Jun 1786	 	 	Old R	1 Jun 1786						killed a number of people		slaves mustered = 70 or 80 by Nov 86			
Crs 4	Jun 1787	Apr 1791	 	 	 	1 Jun 1787											"riots very frequent c Jun 87 / jealousy bw old, new settlers wrt lands"
Crs 4	Jun 1787	Apr 1791	 	 	 	1 Aug 1787											Flour and some Prof very scarce and dear
Crs 4	Jun 1787	Apr 1791	 	 	 	1 Aug 1787											settler much in want of shipping for their products
Crs 4	Jun 1787	Apr 1791	 	 	 	1 Apr 1789											annulled and extinguished Magistracy so courts are shut up = anarchy and confusion
Crs 4	Jun 1787	Apr 1791	 	 	 	1 Apr 1789											"such great quant of timber [Log, Mah likely] cut down fm Apr 87 to 89 / scarcely know what to do w it"
Crs 4	Jun 1787	Apr 1791	 	 	 	1 Apr 1789										Sp commissary destroyed all cultivated spots [plantain walks]	
Crs 4	Jun 1787	Apr 1791	 	 	 	2 Jun 1789											8 ships arrived at Eng [Lon and Out ports?] all w Mah by 2 Jun 89 / there seldom was known to be > 3 or 4 ships in one yr
Crs 4	Jun 1787	Apr 1791	 	 	 	1 Aug 1789											compromise reached
Crs 4	Jun 1787	Apr 1791	 	 	 	1 Aug 1790											"Hunter orders Prov for c 2,000 inhabitants for 6 weeks"
Crs 4	Jun 1787	Apr 1791	 	 	 	1 Apr 1791										Sp commissary destroyed all cultivated spots [plantain walks] / arrested all turtle fishers / [likely seized all turtles]	
Ill 4	Feb 1788	0	 	 	Measles ?	1 Feb 1788						"upwards of 50 white, much greater numb of Neg fm Sep 87 to Jan or Feb 88"					
Nat 3	Nov 1792	Oct 1792	 	 	 	1 Nov 1792						many Neg perished				nearly all stock destroyed / Mah loss = c 2 million ft	river [Old likely] rising > 70 ft / inhabitants quit houses / reside on flats sev days
Hos 11	Nov 1793	Nov 1793	 	Ma	 	1 Nov 1793						1 inhabitant shot / later 3 Maya killed					
War 7	Aug 1796	Mar 1802	Sp	Fr	Fr Revolution	10 Sep 1798	Battle of St. George’s Caye									houses burnt by Baymen to preclude attack [source?]	
Ill 5	Sep 1797	0	 	 	Yellow Fever	29 Sep 1797						23 men die within weeks of arrival					
War 8	May 1804	Jul 1808	Sp	Fr	Napoleonic	1 May 1804											
War 9	Jun 1812	Feb 1815	 	Am	 	18 Jun 1812											
Rev 5	Apr 1820	0	 	 	Will & Sharper	1 Jul 1638		Tipu						Mass evac of Tipu to escape Sp influence			
Rev 5	Apr 1820	0	 	 	Will & Sharper	1 Sep 1638								"Tipu threatens Manan, Holpatin, Lamanai [possibly], Soitee, Xibun residents to abandon their towns"		"houses burnt by residents on fleeing town eg at Lamanai, Holpatin, Zaczuz in 1639"	
Rev 5	Apr 1820	0	 	 	Will & Sharper	24 Apr 1820		Old		considerable numb slaves well armed	Lt. McPherson 2nd WIR Mjr. Noel					[revolters] committed various depredations	
Rev 5	Apr 1820	0	 	 	Will & Sharper	26 Apr 1820	Parlay	Old		c 20 [remaining 16 May 20]	Lt. Col. Arthur						numb of revolters induced to peaceably return

< 1700: Table 1
						
						


< Pres: Table 1
						
						
