Introduction: Loss of life or property in Belize from 1630 to present.
						


Clusters: Table 1
ALT ID	ID	NO	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
E 		1	0	xxx	1 Jan 1767	30 Dec 1772	Logwood market crash	London market prices for logwood crash							"Bowett 156
McJunkin 145
Joseph 74 35"								
E 325	325	1	0	Crs 1	1 Feb 1767	30 Apr 1767		French and Dutch loggers grow numerous in Settlement	xxx				London Chronicle 1604 p8	BL Add MS 12404 bk 1 ch 12	Burdon 1 p125	"Assume three month period

1774. Edward Long urges strongly the necessity for recognising Honduras as a British Colony in order that the Navigation Acts might be strictly enforced to stop shipment of wood in Dutch vessels. /via Burdon 1 p125 /BL Add MS 12404 book 1 ch 12

LONDON, Jan 9 [1766]. They write from Jamaica that the Baymen at Hon have transmitted great complaints against the irregular proceedings of the French, who are said to have upwards of 40 sail from Martinico employed in the logwood trade. /Virginia Gazette [Williamsburg] 775 p1 = 28 Mar 1766"			Fr Dutch Log cutters extremely numerous in bay				
E 326	326	1	0	Hos 8	1 Mar 1767		Hondo R Disturbances	Sp engage Baymen or vice versa	Hondo				"London Evening Post 6165 p6
New-York Gazette 422 p2
London Chronicle 1632 p6
New-York Mercury 813 p2"			"Kingston, Jamaica, April 18. Wednesday afternoon arrived at Port-Royal, in 17 days passage, an open express-boat from the Bay of Honduras, with an account that the Spaniards have revolted there, seized several Negroes, the properties of the inhabitants, as also murdered some of the Bay-men. /LEP 6165 /Pennsylvania Gazette 2005 p2 = 28 May 1767

Charles-Town, April 17. ... The master of a vessel, arrived here fromt he bay of Honduras, says, that the Spaniards had committed some irregularities against the logwood cutters settled on the Rio Honde. /LC 1632

CHARLESTOWN, SC, April 13 [1767]. Capt Dawson, who arrived here last Friday last from the Bay of Hon, informs, that he left 70 Sail of Eng Vessels in that Bay, and 18 more were daily expected from Jam; that the Sp had lately begun to disturb the Logwood Cutters, by burning the Houses, killing the Cattle, and carrying off hte Negroes of the oldest Settlers in the Rio Honda, which, as no Man of War was there, might possibly produce some further Disturbances, the Eng Sailors being extremely exasperated at these Proceedings. /New-York Gazette 422 p2 = 11 May 1767 /Pennsylvania Chronicle I 16 p62 = 11 May 1767

New-York, Jun 1 [1767]. Thursday also arrived Capt Lawrence, in a Sloop in 42 Days from the Bay of Hon, but brings no Account of any Mischief being lately done there by the Sp, as mentioned under the Jamaica Head : He left 55 sail of Vessels at that Place, about 16 of which belonged to this Port, and most of the Rest to Philadelphia, Boston, RI, &c. He sailed in Company with Capt Stevenson for this Port, Capt Benson for Holland, and Capt Wood for Boston; ... /New-York Mercury 813 p3 = 1 Jun 1767

Possibly see, Extract of a Letter from Bay of Hon, March 2, 1767. ""The Commandant and Priest of Bacalar are both suspended, and ordered to Merida for examination; their places are already supplied by others, but the reasons for this change are not publicly known. It is reported that the Sp town and settlemen at Port Maho is cut off by the Neg and Indians, and all the Sp put to the sword. /Pennsylvania Chronicle I 29 p114 = 10 Aug 1767"	some Baymen murdered	Neg of oldest settlers carried off fm Hondo			"houses, cattle burnt at Hondo"		
E 327	327	1	0	Hos 12	25 Jul 1767	26 Jul 1767		One Indian raid on Capt. Naismith of Settlement	xxx		party of Indians	Capt. Naismith		xxx		"PHILADELPHIA, Oct 1 [1767]. Capt James Rogers, from the Bay of Hon, informs that on the 25th of July, in hte night, the house of Capt Nasmith was beset by a party of Indians, who killed one of his Negroes, but were beat of before morning, when there were found 26 arrows round the house. ... /Providence Gazette [RI] IV 195 p4 = 3 Oct 1767"	1 Neg killed				house sacked [likely?]		
E 		1	0	xxx	1 Jan 1768	30 Dec 1771		Civil unrest in Hon / xxx															
E 328	328	1	0	Crs 22	1 Feb 1768	30 Apr 1768		"Riots or civil unrest break out, which Magistrates nor HMS Earl of Egmont are able to restrain"	St. George’s		HMS Earl of Egmont			"CO 137/63 [Admiralty to Hillsborough 27 Jul, 23 Aug, 12 Oct 1768 / Parry to Stephens 27 Mar 1768]
ADM 1/238 [Parry to Stephens 27 Mar, 28 Jun, 12 Dec 1768]"	"Bolland 75 78
Burdon 1 114"	"27 Mar 1768 Parry to Stephens. The Earl of Egmont armed schooner returned lately from the Bay of Honduras to which place I informed their Lordships in my last I had sent her to establish regularity and enforce Obedience amongst the Baymen to acts of Justice and Equity, and to which all the Inhabitants had subscribed their names, being a code of Laws calculated for their general good, but I am very sorry to be obliged to say thet her Commander has not been able to put into execution those salutary measures; for the Major part of them have resisted the power that had been usually invested in the Magistrates, protesting against any authority I had over them, and have shook off all sort of Subordination so that those Magistrates who had managed matters with a kind of regularity, and who, by their authority kept the most licentious in awe, and curbing them from treating the Spaniards with that Cruelty which they are thoroughly inclidned ot do and have done on so many occasions, are now divested of their power, and are now themselves subjected to riot, insult and confusion ... /v Burdon 1 114 /ADM 1/238"							
E 329	329	1	0	Crs 1	1 Jun 1768	30 Sep 1768		French merchants outcompete English in Fleet	xxx				Westminster Journal and London Political Miscellany 1234 p2			"LONDON, Aug 1 [1769]. They write from Jamaica, that the Sp Gov of Bacalar, in the Bay of Hon,  has been ordered home, on account, as it is said, of his having connived at a clandestine trade being crried on with the French and Dutch, highly to the prejudice of HCM revenues. /Pennsylvania Chronicle III 35 p289 = 25 Sep 1769"						Eng wool has hardly any sale in Bay / Fr bring manufactures 30 pc cheaper	
E 332	332	1	0	Hos 8	1 Jul 1770		Sharp Dispute	Sp engage Baymen or vice versa	xxx				London Evening Post 6678 p4			"LONDON [4 Sep 1770] ... Private letters form the Bay of Honduras say, that a sharp dispute had happened between the Bay-men and the Spaniards, in which several fo the former were killed. /LEP 6678 /Connecticut Courant 307 p2 = 6 Nov 1770

Possibly see, PHILADELPHIA, Nov. 15 [1770]. Friday last arrived here the Ship Hope, Capt John Robinson, from the Bay of Hon, which he left the 25th of Sepbember, by whom we learn, that a Number of Sp having been detected in enticing the Negroes to run away, were seized, by Way of Reprizal, and put to Work on board an Eng Vessel. ... /Pennsylvania Gazette 2186 p3 = 15 Nov 1770

Possibly see, LONDON, Sept. 26 [1770]. Extract of a Letter from Jamaica. ""A vessel arrived here form Hon brings a confirmation of a report before current that the Sp, by an order from Old Sp, had destroyed all the mahogany lying on the small bays, to prevent our traders coming on that coast; and that two vessels have returned, since the above transaction, without any wood on board."" /Virginia Gazette 1018 Supplement p1 = 22 Nov 1770

Possibly cf proposal to capture Bacalar by Thomas Southwell Bib Real, DIG/II/2831, Misceláneos, Tomo XVII [Propuestas por D. Thomas Southwell el año de 1770] /v Barke 16 133 "	sev bay men killed in dispute						
E 333	333	1	0	Hos 8	1 Jul 1770			Sp surprise Fleet	xxx				"Gazetteer and New Daily Advertiser 12 971 p2
Middlesex Journal 250 p2
New-York Journal 1456 p208"							min 2 ships driven off wo loading	destroyed all mahogany lying in some bays		
E 335	335	1	1	Hos 8	1 Nov 1770		Sacking of Ambergris Caye	One Sp campaign against Settlement	Ambergris	PA 4 swivel guns c 18 men			"Boston News-Letter 3507 p2
General Evening Post 5824 p4"	"MEXICO,3099 -- a 22 mar 1771"	Calderon 214 no 60	"OFICIO DE ARRIAGA A GRIMALDI, EN MADRID A 22-3-771. ""Paso a V. E de orden del Rey la adjunta carta del Gobernador de Yucatán, su fecha 3-9-770, en que participa que habiéndose establecido unos rancheros negros cortando palo de tinta en Punta de Piedra, a 25 leguas del Presidio de Bacalar, se les hizo retirar en los términos que manifiesta el documento que acompaña, ..."" /via Calderon 214 no 60 /MEXICO,3099 -- a 22 mar 1771

PHILADELPHIA, Dec 6 [1770]. Capt Eve, from the Bay of Hon, informs, that about six Weeks ago, a Sp PA, with 4 Swivel Guns, and about 18 Men, from Bacalar, went to an Island in the Bay, called Ambergris, burnt several small Houses, and carried off a Negroe, under Pretence that the Eng had no Right to cut Wood there. /Pennsylvania Gazette 2189 p3 = 6 Dec 1770"		carried of a Neg fm Ambergris			burnt sev houses at Ambergris		
E 336	336	1	0	Crs 1	1 Dec 1770	30 Dec 1770		Fr loggers or merchants or sailors engage Baymen or vice versa	xxx				Middlesex Journal 285 p4			"LONDON ... Letters received form Honduras mention, that a very dangerous dispute has broke out between the logwood cutter in that bay, and the French, who daily interrupt the British trade in those parts. /MJ 285"					very dangerous dispute broke out w Fr Log cutters		
E 338	338	1	0	Hos 8	1 Jan 1771		Gov. of Jam Reassures Baymen of Safety on Mainland	"Baymen panic in fear of Sp attack, and retreat to St. George’s, after which Gov of Jam reassures them of safety"	"St. George’s, Spanish Town"				"Boston News-Letter 3535 Supplement p1
Middlesex Journal 368 p3
General Evening Post 5923 p3"			"NEW-YORK, Jul 1 [1771]. By the brig Polly, Capt John Walsh, in 29 days from the Bay of Hon, we learn that the logwood cutters had, for some time past, removed with their families from the different rivers to St. George's Quay, apprehensive of a rupture betwixt GB and Sp, but in consequence of dispatches from the Gov of Jam, received by a vessel hich was hired to go express thither, they were happily enabled to return to thier occupations; this alarm has notwithstanding been productive of great loss to them, little or no logwood having been cut during that time. ... /New-York Gazette, and Weekly Mercury 1027 p3 = 1 Jul 1771"			for some time past baymen had moved their families to St. George’s Caye … apprehensive of rupture bw GB and Sp to [likely] Jun 1771		"productive of great loss to baymen, little or no Log having been cut"		
E 339	339	1	0	Crs 22	1 May 1771	30 May 1771		"Riots or civil unrest break out, inc at least one house looted, unknown number of persons assaulted, and interruption of annual election of Magistrates by a mob"	St. George’s					"CO 137/67 [Inhabitants to Rodney 12 Sep 1771]
ADM 1/238 [Inhabitants to Mackensie 20 Jun 1771 / Botham to Mackensie 8 Jul 1771]"	"Bolland 75 78
Burdon 1 117"	"c Nov 1769 Mags request a Royal Navy ship remain stationed at Hon /v Burdon 1 117 /SPF Spain 182 [Forrest to Stephens 29 Nov 1769]

20 Jun 1771 Inhabitants to Commodore Mackensie, 22 signatures. Request vessel of war be permanently stationed at Hon since ""notwithstanding our ardent endeavours of the contrary we are in a state of anarchy.” /v Burdon 1 117 /ADM 1/238"					1 house looted		
E 340	340	1	0	Nat 1	1 Jun 1771		Maya refugee arrivals	"Mayas seek refuge in Settlement during Yuc famine, and Baymen aid them"	xxx				"Boston News-Letter 3535 Supplement p1
General Evening Post 5923 p3
Ann Reg [1771] 163"			"NEW-YORK, Jul 1 [1771]. By the brig Polly, Capt John Walsh, in 29 days from the Bay of Hon, we learn ... That the Indians, from the great want of corn (which has been destroyed by the caterpillars) and the ill-treatment of the Sp, continue daliy to desert form the different parts of the province of Jucatan, to the Eng settlers, from whom they receive such hospitality as endears them to the latter, and must in tmie prove a noble barrier agains tthe depredations of the Sp, who have of late behaved with great insolence, affording a secure asylum to such negroes as desert to them, and in many instances habe been principle abettors of such desertion. ... /New-York Gazette, and Weekly Mercury 1027 p3 = 1 Jul 1771

See account in New-York Gazette, and Weekly Mercury 1044 p3 = 28 Oct 1771 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEBC4F3862B98%40EANX-10DF78A303990540%402368205-10DF78A3B84A7620%404-10DF78A5AE2BA420%40Philadelphia%252C%2BOctober%2B24"			Maya … continue daily to desert from Yucatan to the Eng settlers / receive hospitality				
E 341	341	1	0	Nat 1	1 Nov 1771	30 Apr 1772		Scarcity of provisions	St. George’s				"Boston Evening-Post 1884 p2
Boston Evening-Post 1891 p2"									Prov so scarce / the like not remembered by oldest settlers	
E 		1	0	xxx	1 Mar 1772			Sp surprise Fleet	xxx		2 Vessels		Pennsylvania Packet 49 p4 = 28 Sep 1772			"LONDON Jul 21 [1772]. A vessel from New Providence brings advice, that two Dutch vessels under Eng colours, from Curacoa, had been seized in the Bay of Hon, and condemned by the Gov of Bac as lawful prizes. /Pennsylvania Packet 49 p4 = 28 Sep 1772"							
E 342	342	1	0	Hos 8	6 Mar 1772			Sp surprise Fleet	Glover’s	1 GC	Capt Thermin		London Evening Post 6915 p4			"LONDON, May 2 [1772]. Advice is received that the Jacob's Well, Thermin, after an obstinate fight of four hours, was taken by a small Sp GC in Glover's reef, near the Bay of Hon, and carried into Campeachy, where the crew are imprisoned; the Capt died by ill usage. /New-York Journal 1541 p674 = 16 Jul 1772"		Jacob’s Well crew taken		Jacob’s Well craft taken			
		1	0	xxx	8 Jun 1772		Fin crisis 1772		London														
E 343	343	1	0	Hos 8	6 Dec 1772	31 Dec 1773	Thetis affair	"Baymen steal cargo of Sp register ship Thetis, wrecked off Northern Triangles"	"Northern Triangles, St. George’s"	Diego Britto of Thetis / Gov of Yuc or Alcalde of Bacalar	James Farrell / John Lockhart Smith	"Sir George Bridges Rodney, Admiral of or at Jam"	"Boston Post-Boy 820 p2
Middlesex Journal 641 p4
New-York Gazette and Weekly Mercury 1130 p3
Pennsylvania Journal or Weekly Advertiser 1593 p3 = 16 Jun 1773"	"ADM 1/239 [1, 4, 6, 26 May 1773]
CO 5/120 ff 231-63"	Burdon 1 p119	"Cadiz, April 2. We have recieved the bad news, tha the Thetis frigate, bound from Honduras to the Havanna, with a cargo of (amongst other articles) 1800 serons of indigo, was wrecked on the 6th of December, near Cape Atocha. The crew and what specie was on board were saved, but the cargo was totally lost. /MJ 641

1773, May 1st. Adm. Rodney, Jamaica, to Sec. Stephens. ... Encloses Affadavit by James Ferrals of St. George's Kay ... ""Thetis"" carring ""1800 screens of indigo, a large quantity of sarsaparilla, 29 chests of registered Money, and private property to a great amount"" was wrecked on the Northern Triangles. Towards the end of January two of her officers came to St. George's Key and after several attempts managed to reach the Triangles with a party of Baymen who agreed to help in getting off the cargo in return for proper salvage money. The Spaniards then removed the crew and register mone first to St. George's Key and thence to Bacalar, leaving Mr. John Lockhart Smith (a naval Lieutenant and a Bayman) in charge of the frigate and cargo. After the Spaniards had gone, several Bay vessels full of indigo arrived at the Key from the wreck, and letters from the Commandant at Bacalar inquiring about the cargo were not attended to. The Baymen proposed to confiscate the whole of it and when Ferrals remonstrated they threatened his life. The Frigate [Thetis], which lay high and dry was unnecessarily burnt. ""Sworn before me ..."" Gilbert Mathison. /via Burdon 1 p119 /Adm 1/239

See Kingston account in New-York Gazette, and Weekly Mercury 1130 p3 = 21 Jun 1773 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEBC4F3862B98%40EANX-10DF7CB318ED8BC8%402368807-10DF7CB3E03C4DD8%404-10DF7CB70EC38E68%40Kingston%252C%2B%2528In%2BJamaica%2529%2BMay%2B1 / Hon 6 Sep 1773 letter in New-York Journal 1626 p2 = 3 Mar 1774 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DC31E31E090A88%40EANX-10DE99E8C9719E28%402369062-10DE99E94A0B9C08%403-10DE99EA8A8C3200%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BSt.%2BGeorge%2527s%2BKey%252C%2BHonduras%252C%2BSeptember%2B6"							
E 344	344	1	0	Hos 8	1 Mar 1773	30 Jul 1773		Sp surprise Fleet	xxx				Middlesex Journal 696 p4			"A letter from Jamaica mentions, that a vessel from the bay of Honduras had arrived there, and brings an account tha thte Spaniards, by an order from Old Spain, had once more destroyed all the mahogany, logwood and fustick, lying in the small bays, to prevent our traders comin gon that coast; and that they were obliged to come away without a load. /MJ 696 p4"					destoyed all mahogany logwood fustick lying in small bays / some to many maerchants forced to leave without cargo		
E 346	346	1	0	Rev 2	28 May 1773			Mr. Walters Davidson’s slaves start a general revolt	Old			Capt Davis HMS Diligence	"Boston Post-Boy 830 p2
Rivington’s New York Gazetteer 16 p3
New-York Gazette and Weekly Mercury 1140 p3
New-York Journal 1600 p3
Boston Post-Boy 838 p3
General Evening Post 6225 p3
Rivington’s New York Gazetteer 29 p3"	"ADM 1/239 [29 May, 21 Jun, 8 Aug 1773]"	Burdon I p121	"Letter from New-York, dated July 12, say, ""Advice is received from Honduras Bay, dated the 29 of May last [1773], that the day before the inhabitants at St. George's Key were alarmed with an account of an insurrection having happened among the negroes in the Old River, which broke out amongst the slaves belonging to Walter Davidson, who, when the accounts came away, had murdered two white men, and being powerful in number, were proceeding to the next mahogany works, to invite or force the slaves to join them. A number of inhabitants, joined to a detachment of sailors from the Diligence man of war, properly victualled and armed, are just now preparing to set off in quest of the revolters; every person possessed of families and property in the different rivers, are obliged to quit the key and proceed thither : such negroes as are suspected on this key, were last night taken up and confined on board the man of war; every precaution in taken to prevent any further disorder, and it is hoped the insurrection will, with the blessing of God, be subdued in a short time. /GEP 6225 /New-York Gazette, and Weekly Mercury 1133 p3 = 12 Jul 1773

NEW-YORK, Jul 8 [1773]. We hear from the Bay of Hon that an insurrection of the Negroes had broke out in Old R, amongst the slaves of Walter Davidson, who had killed two white men, the inhabitants joined by the sailors of the Diligence man of war, are preparing to set out in quest of the revolters. /Rivington's New York Gazetter 12 p2 = 8 Jul 1773

See Hon letter, 4 Jun 1773, in Rivington's New York Gazetteer 16 p3 = 5 Aug 1773 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CCE0AF8F6658%40EANX-1043EB5AEB237C0F%402368852-1043EB5B69B9944B%402-1043EB5CA50855F0%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BSt.%2BGeorge%2527s%2BKey%252C%2BBay%2Bof%2BHonduras%252C%2BJune%2B4%252C%2B1773 / Hon letter, 1 Jul 1773, in Maryland Journal I 3 p10 = 28 Aug 1773 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108D68C94D87BEC0%40EANX-126C571312EDAC30%402368875-126C57132A7AA628%401-126C57136CD11D30%40Philadelphia%2BSept.%2B1 / Hone letter, 19 Jun 1773, in New-York Journal 1600 p3 = 2 Sep 1773 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DC31E31E090A88%40EANX-10DE9C105DC51FD0%402368880-10DE9C10EF9EA4B0%404-10DE9C126C7DADD0%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2Bthe%2BBay%2Bof%2BHonduras%252C%2BJune%2B19 / Hon letter, 23 Aug 1773, in New-York Gazette, and Weekly Mercury 1145 p3 = 4 Oct 1773 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEBC4F3862B98%40EANX-10DF7CE615202848%402368912-10DF7CE68BAECC88-10DF7CE7F56FE6B0

THURS., Sep 9 [1773]. BOSTON. By a letter from Hon, we learn, that the negro insurrection rather increases than diminishes; the white inhabitants are quitting the country; all is in confusion. /Massachusetts Spy III 136 p3 = 9 Sep 1773

See Capt Denn account in Rivington's New York Gazetteer 22 p3 = 16 Sep 1773 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CCE0AF8F6658%40EANX-1043EB6858DA852E%402368894-1043EB6934B80123%404-1043EB6B1606326E%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BAlbany%252C%2BDated%2BSept.%2B11%252C%2B1773"	2 white men killed / Hill killed later / one family feared shot dead later / 1 steersman killed later	some to many slaves on St. George’s imprisoned in Diligence [to prevent their joining revolt]			min 4 families robbed	will be very little wood of any kind shipped in 1773	
E 347	347	1	0	Rev 2	4 Jun 1773		Escape Killings	"Yuc or Sp vecinos offer asylum to slaves or revolting slaves, and allegedly encourage them to kill and rob master before escaping to Yuc"	"Hondo, New"	Guards	"3 Neg of John Fullon, Hugh Wilson / [prev] other slaves"	"Capt. McDugall / [prev] Capt. Wooldrige, Capt. McCarthy"	Rivington’s New York Gazetteer 16 p3	"ADM 1/239 [8, 10 Aug, 11 Oct 1773]"	Burdon 1 p122		min 3 Captains killed by slaves < Jun 73		min 3 slaves escape to Yuc with help of Guards < Jun 73		min 1 craft ransacked by Guards		
E 348	348	1	0	Rev 2	7 Jun 1773		Marshmen’s Engagement	Baymen engage revolters	xxx		"c 50 slaves w 16 muskets, cutlasses etc."	"Capt Thomas Davey, Baymen / 3 parties of 30 or 40 men ea. [later]"		ADM 1/239	Burdon I p121—5	"PROVIDENCE, Aug 14 [1773]. A dangerous Insurrction has broke out among the Neg at Hon. Some white Men and Neg have been killed by the insurgents, who are supposed to be 70 or 80 strong; and when the last Account came away, a Company of 100 armed Men had been sent against them. /Providence Gazette [RI] X 501 p3 = 14 Aug 1773"	6 white men prev killed / lead revolter likely fatally wounded	14 slaves had [possibly] been impressed prev / returned 8 Jun 73	revolters retire to woods		taken five settlements [houses likely] prev		
E 349	349	1	0	Hos 8	1 Aug 1773	23 Aug 1773		"Sp demand cargo from Thetis, causing panic amongst Baymen"	St. George’s				Daily Advertiser 13388 p1	ADM 1/239 [6 Nov 1773]	Burdon 1 p124	"New-York. Oct. 4. By a Letter from the Bay of Honduras, of the 23rd of August, we learn, ... that a small Spanish Vessel lately arrived there to demand the Cargo of a Register Ship cast away some Time since on the Northern Triangles; which alamred the Settlers so much that most of the principal ones there intended soon to embark for the Musqueto Shore, Georgia, &c. with all their Property. /DA 13388

1773, November 6th. Adm. Rodney, Jamaica, to Sec. Stephens. ... Capt. Judd could get no satisfaction out of the Inhabitants about the ""Thetis."" Those who converted the effects [salvaged from Thetis] to their own uses are leaving the Bay for fear of punishment. /via Burdon 1 p124 /Adm 1/239"							
E 350	350	1	0	Rev 2	1 Aug 1773			Magistrates lead party in search of revolters	xxx		c 70 revolters ?	parties led by Magistrates		xxx			taken or destroyed about 40 revolters	taken or destroyed about 40 revolters					
E 351	351	1	0	Rev 2	27 Aug 1773	30 Sep 1773		"Magistrates’ expedition against revolters returns unsuccessful, and man of war Garland arrives to help quell revolt"	St. George’s			Capt W. Judd HMS Garland	"Daily Advertiser 13388 p1
Rinvington's New York Gazetteer 29 p3"			"NEW-YORK, Sep 2 [1773]. On Tuesday evening arrived the brig Jamaica, Capt James Farquhar, from Savanna Le Marr, in Jamaica, which he left the 10th of August: Just before Capt Farquhar's departure from Jamaica, an express arrived there on the way to Kingston, to sollicit assistance againt the rebellious negroes at Hon, who were murdering and destroying every person and thing in their way. /Boston Post-Boy 838 p2 = 6 Sep 1773

BOSTON, Oct 11. 1773. By late Accounts fm Hon, we learn, that about 20 of the most desperate Negroes are still in Arms; that several had been taken, and executed; that since the Beginning of the Insurrection they had murdered about 20 white people; that the Inabitants were in great want of Provisions, and none to be had, the Trade being entirely at an End; and that no Logwood or Mahogany had been cut this Year. 

See Capt Eve account in Pennsylvania Packet II 103 p3 = 11 Oct 1773 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10CEB9BDCC081400%40EANX-10E0D2B1ED074C48%402368919-10E0D2B2954D9148%404-10E0D2B4D89653A8%40Philadelphia%252C%2BOctober%2B11 / See Capt Wilson account in Pennsylvania Journal, or, Weekly Advertiser 1612 p3 = 27 Oct 1773 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A13B4F281CD7D9866%40EANX-13BA326E13417180%402368935-13B7327E2107F690%402-13BF7AC1F66511F2%40%255BLower%253B%2BAppointed%253B%2BHouse%253B%2BRepresentatives%253B%2BParticular%253B%2BCrawford%253B%2BCapt.%2BSmith%255D

See Hon, 29 Aug 1773, letter in Pennsylvania Packet III 107 p3 = 8 Nov 1773 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10CEB9BDCC081400%40EANX-10E0D2BCB4574AC0%402368947-10E0D2BD041132E0%402-10E0D2BE521B9EC0%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BSt.%2BGeorge%2527s%2BKey%252C%2BDated%2BHonduras%2BBay%252C%2BAugust%2B29%252C%2B1773

NEW-YORK, Mar 21 [1774]. Wednesday last Capt Rose arrived here fm Hon in 30 Days, by whom we learn, that the late Insurrection of the Negroes at that Place was entirely subsided, that 14 of them had got among the Sp, the others being taken and put to Death; the last of the Party, named Cato, belonging to Capt Davidson, being burnt a few Days before Capt Rose sailed. /New-York Gazette, and Weekly Mercury 1169 p3 = 21 Mar 1774"			c 70 revolters in woods / w Sp				
E 352	352	1	0	Hos 10	1 Sep 1773	30 Nov 1773		Indians raid Settlement	xxx				Middlesex Journal 730 p4				massacred numbers of Eng				always taken what iron [arms] they could find / set fire to some houses		
		1	0	xxx	1 Sep 1773	30 Nov 1773	Arms raids	Amerindians assault or raid Settlement for arms and ammunitions															
		1	0	xxx	1 Jan 1775	28 Feb 1775		Sp surprise Fleet	Glover’s	1 GC	"Capt Ward SC, Capt Stamer"		London Evening Post 8279 p5			"LONDON [20 Apr 1775]. Advice is received, that the Swallow, Captain Ward, belonging to South Carolina, after an obstinate fight of three hours, has been taken by a small Spanish guarda costa in Glover's Reef, near the Bay of Honduras, and carried into Campeachy, where the crew are imprisoned; the Captain was inhumanly tortured to death, by beginning with drawing his teeth, finger and toe nails, &c. ... /LEP 8279 /Dunlap's Maryland Gazette, or, Baltimore General Advertiser I 9 p1 = 27 Jun 1775

LONDON, Jan 10 [1775]. Advice is received, that the Faircloth, Capt Stamer, belonging to America, after an obstinate fight of three hours, wherein the Capt was killed, is taken by a small Spanish GC in Glover's Reef, near Hon, and carried into Campeachy, where the crew are imprisoned. /Virginia Gazette 463 p2 = 23 Mar 1775"	1 captain killed	1 crew held					
E 		1	0	xxx	1 Jan 1775			Sp engage Baymen or vice versa	xxx				Virginia Gazette [Williamsburg] [sn] p2 = 28 Apr 1775			"LONDON, Mar 3 [1775]. A ship lately arrived fm SC, brings advice that a very sharp dispute had happened between the baymen and the Sp, in Hon, in which many of the baymen were killed. /VG [sn]

Possibly see, LONDON, Dec. 21 [1776]. Complaints are renewed by the Brit Log Cutters in Hon, of the oppression of the Sp Govs and their Agents. /Pennsylvania Journal, or, Weekly Advertiser 2769 p2 = 2 Apr 1777"							
E 		1	0	xxx	19 Apr 1775	3 Sep 1783	American Revolution	Anglo–American war															
E 353	353	1	0	War 6	1 Mar 1776	30 Dec 1784	Am Refugees	"American families take refuge in Settlement for duration of American Revolution, and Baymen aid at least with housing"	xxx				"St. James's Chronicle or the British Evening Post 2374 p4
St. James's Chronicle or the British Evening Post 2684 p5
Morning Herald 1355 p2"	CO 137/88 [9 Aug 1789]	Burdon 1 p176	"Despard to Clarke, May 27th, 1789. ... The poor settlers including many American Loyalists are anxious to remove to the Bahamas or the Mosquito Shore [from Hon], since provision-growing is not permitted. /via Burdon 1 p176 /CO 137/88 [9 Aug 1789]

[BOSTON, 23 Dec 1773]. For the Massachusetts SPY. Mr. THOMAS, IT is said the Tea Consigners having sold their country, are about purchasing a number of negroes, and preparing to embark for Hon, as they fear no toher part of the world will receive them, the British Court having found no dependance can be placed in trafficking merchants. SCARRON. /Massachusetts Spy III 151 p3 = 23 Dec 1773

LONDON, May 22 [1776]. Letters fm Hon, dated the 4th of April, mention, that several families fm different parts of America had lately arrived there, and that several others were expected, in order to settle in that part, on account of the disturbances in all parts of America. /Virginia Gazette 1310 p1 = 14 Sep 1776"			sev families from various parts of Am				
