Metadata: Table 1
Sheet	Column	Source	Notes
Storms	Name	US NOAA National Hurricane Centre. US NOAA National Centres for Environmental Information.	U = “unnamed” or “not named”
	Start		
	150 mi		
	50 mi		
	0 mi		
	Max wind		
	Min press		-1 = missing data
	Max cat w/in		
Storms	Parliament	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	Public Meeting counted as first Parliament. Legislative Council counted as one Parliament.
Storms	EM-DAT	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters 	1 = yes
	EM-DAT Loss		Figures in current currency
	EM-DAT Deaths		
Storms	Loss	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters. Belize NEMO. World Bank “Advancing Disaster Risk Finance in Belize” 2018 by Ishizawa & Gunasekera et al. US NOAA National Hurricane Centre.	Figures in current currency
	Deaths		
Trade + GDP	Imports	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. British Honduras / Belize Government Gazette.	Figures in current currency
	Import units		
	Exports		Figures in current currency
	Export units		
	GDP	World Bank.	Figures in current currency
CPI	US	US Bureau of Labour Statistics.	1967 = 100
	UK	UK Office for National Statistics.	1974 = 100. CPI for 2020 excludes December.
	Belize	Belize Statistical Institute of Belize.	2011 = 100. CPI for 2020 excludes November and December.
FX	S$ to Lsd	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	S$ = Spanish dollar
	G$ to Lsd		G$ = US gold dollar
	USD to GBP	"EU European Central Bank. US Federal Reserve. UK Bank of England. via FXTOP sarl, France."	
	Lsd to BHD	"GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade; Sir J.A. Burdon, Archives v 3, p. 318"	BHD = British Honduras dollar
	USD to BHD		BHD = British Honduras dollar
Population	Censuses	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. 	
	Estimates	"Author’s estimates from census data prior to 1960. World Bank beginning in 1960. Prior to 1841 = “The Growth and Development of Belize City” J.C. Everitt 2009; “British Honduras: The invention of a colonial territory” Odile Hoffmann 2014; The Diplomatic history of British Honduras, 1638-1901 by Robert Arthur Humphreys ; Belize SIB; Savanna-la-Mar Gazette (Jamaica) 15 Jul 1788 p. 3"	

Disasterssdsdf: Table 1
Start	Type	Deaths	Damage	unit	Multiplier	Damage	unit	year	Damage 2020	Description	Source for non-storm disasters	Source for multiplier	
1932	Technological	Fire	0	"51,872"	"51,872"				0		
1939	Anthropological	Engagement	10	"55,546"	"55,546"				10		
1950	Anthropological	Riot	0	"68,915"	"68,915"				0		
1953	Technological	Fire	1	"75,778"	"75,778"				1		
1955	Natural	Storm	16	"80,888"	"80,888"				16		
1961	Natural	Storm	307	"93,586"	"93,586"				307		
1974	Natural	Storm	1	"131,305"	"131,305"				1		
1978	Natural	Storm	4	"138,975"	"138,975"				4		
1981	Anthropological	Riot	5	"147,572"	"147,572"				5		
1986	Biological	Outbreak	1753	"169,569"	"169,569"				"1,753"		
1998	Natural	Storm	9	"230,248"	"230,248"				9		
2000	Natural	Storm	19	"247,310"	"247,310"				19		
2001	Natural	Storm	24	"255,068"	"255,068"				24		
2005	Natural	Storm	3	"283,798"	"283,798"				3		
2008	Natural	Flooding	5	"306,822"	"306,822"				5		
2008	Natural	Storm	5	"306,822"	"306,822"				5		
2009	Biological	Outbreak	1	"314,655"	"314,655"				1		
2010	Natural	Storm	1	"322,465"	"322,465"				1		
2017	Anthropological	Wreck	0	"375,775"	"375,775"				0		
2019	Biological	Outbreak	277	"390,351"	"390,351"				277		


Disaster Deaths /: Table 1
Start	Type	Subtype	R Deaths	Multiplier	Multiplier	Multiplier	Adder	E Deaths	
1701	Anthropological	Raid		0	0	0		0	
1715	Natural	Famine		180	0.7	0.03		4	
1716	Anthropological	Raid		0	0	0		0	
1717	Anthropological	Raid		0	0	0		0	
1723	Anthropological	Raid		0	0	0		0	
1723	Technological	Wreck		0	0	0		0	
1725	Anthropological	Engagement		0	0	0		0	
1725	Technological	Wreck		0	0	0		0	
1725	Anthropological	Engagement		3	13	0.8		31	
1726	Anthropological	Engagement		0	0	0		0	
1728	Anthropological	Engagement		0	0	0		0	
1729	Anthropological	Raid		0	0	0		0	
1730	Anthropological	Engagement		0	0	0		0	
1731	Anthropological	Engagement	2					2	
1732	Technological	Wreck		0	0	0		0	
1733	Technological	Wreck		0	0	0		0	
1737	Biological	Outbreak		372	0.4	0.03	7.8	12	
1737	Anthropological	Engagement		0	0	0		0	
1739	Anthropological	Raid		0	0	0		0	
1747	Anthropological	Raid		0	0	0		0	
1751	Anthropological	Raid		0	0	0		0	
1754	Anthropological	Raid		0	0	0		0	
1755	Anthropological	Resettlement		0	0	0		0	
1765	Anthropological	Riot	4				4	8	
1770	Anthropological	Riot		"1,646"	0.1	0.1		16	
1771	Natural	Famine	80000					80000	
1772	Anthropological	Engagement	1					1	
1773	Anthropological	Engagement		"1,773"	0.7	0.03		37	
1773	Anthropological	Riot	4					4	
1775	Anthropological	Engagement		"1,858"	0.7	0.03		39	
1779	Anthropological	Engagement	2					2	
1779	Anthropological	Engagement	4					4	
1780	Anthropological	Engagement		0	0	0		0	
1784	Natural	Storm		0	0	0		0	
1785	Biological	Outbreak		"2,123"	0.3	0.03		19	
1785	Natural	Storm	7					7	
1787	Anthropological	Riot		0	0	0		0	
1787	Natural	Storm	143					143	
1788	Biological	Outbreak	50				100	150	
1789	Technological	Wreck		13	1	1		13	
1792	Natural	Flooding			0.7	0.03			
1794	Anthropological	Engagement	5					5	
1798	Hostile	Engagement		0	0	0		0	
1812	Natural	Storm		0	0	0		0	
1813	Natural	Storm		0	0	0		0	
1823	Biological	Outbreak	155					155	
1824		Engagement		15	1	1		15	
1830	Biological	Outbreak	4					4	
1831	Natural	Storm	1					1	
1835	Technological	Wreck	13					13	
1842	Technological	Wreck	1					1	
1852	Natural	Flooding	9				3	12	
1854	Biological	Outbreak	230					230	
1854	Technological	Fire		0	0	0		0	
1856	Technological	Fire		0	0	0		0	
1857	Biological	Outbreak			0.4	0.005			
1860	Biological	Outbreak			0.8	0.003			
1863	Anthropological	Riot	2					2	
1863	Technological	Fire	2					2	
1864	Natural	Gales		0	0	0		0	
1864	Natural	Flooding		0	0	0		0	
1866	Anthropological	Raid	0					0	
1866	Anthropological	Engagement	5					5	
1866	Anthropological	Raid	2					2	
1867	Anthropological	Raid	0					0	
1867	Anthropological	Raid	0					0	
1867	Anthropological	Raid	3					3	
1867	Biological	Outbreak	580					580	
1868	Anthropological	Raid	0					0	
1872	Anthropological	Raid	1					1	
1872	Anthropological	Raid	2					2	
1886	Biological	Outbreak	68					68	
1892	Technological	Wreck	9					9	
1892	Technological	Wreck	21					21	
1894	Anthropological	Riot	0					0	
1905	Biological	Outbreak	8					8	
1914	Anthropological	Engagement	53					53	
1918	Biological	Outbreak	1014					1014	
1918	Technological	Fire	1					1	
1921	Biological	Outbreak	4					4	
1923	Technological	Wreck	20					20	
1931	Technological	Fire	0					0	
1931	Natural	Storm	2500					2500	
1932	Technological	Fire	0					0	
1939	Anthropological	Engagement	10					10	
1950	Anthropological	Riot	0					0	
1953	Technological	Fire	1					1	
1955	Natural	Storm	16					16	
1961	Natural	Storm	307					307	
1970	Technological	Wreck	4					4	
1974	Natural	Storm	1					1	
1978	Natural	Storm	4					4	
1981	Anthropological	Riot	5					5	
1986	Biological	Outbreak	1753					1753	
1997	Technological	Wreck	22					22	
1998	Natural	Storm	9					9	
2000	Natural	Storm	19					19	
2001	Natural	Storm	24					24	
2005	Natural	Storm	3					3	
2008	Natural	Flooding	5					5	
2008	Natural	Storm	5					5	
2009	Biological	Outbreak	1					1	
2010	Natural	Storm	1					1	
2017	Anthropological	Wreck	0					0	
2017	Technological	Wreck	1					1	
2019	Technological	Wreck	2					2	
2019	Biological	Outbreak	277					277	


Disasters: Table 1
Start	Type	Subtype	R Deaths	E Deaths	R Damage	E Damage	Description	Source for non-storm disasters	Source for multiplier	
1701	Anthropological	Raid		0			"Raid on Belize River by the Spanish; “have burnt Houses, and drove away the People”"	"Flying Post, 24 to 27 May 1701 p. 1 issue 944"	"Houses est. at 15; cost at 100L; Account of logwood sold at 4/10/0 Jamaica 1712 currency per tonne, in Nathaniel Uring A history of the voyages and travels of Capt. Nathaniel Uring 1726 p. 246; later average given as 5/0/0 Jamaica 1719 currency per tonne, in ibid. p. 355; 1000 tonne, under 15L, in 1690, per M. A. Camille & R. Espejo-Saavedra Historical Geography of the Belizean Logwood Trade 1996 p 78"	
1715	Natural	Famine		38			Famine from unknown causes; “several Negroes dyed”	The Boston News-Letter 19 Sep 1715 p. 2		
1716	Anthropological	Raid		0			"Raid in Feb on Belize River by the Spanish; “captivated 150 Men Whites and Blacks, burnt all the Logwood, destroy’d the Craft, took a Pink and Sloop … burnt the Hulks and a Snow … took also a Vessel of Marooners that belonged to the Bay”"	The Boston News-Letter 7 May 1716 p. 2 issue 629; Mercurius Politicus for May 1716 v 1 p 132		
1716	Anthropological	Raid		0			"Raid in Nov. on Belize River by the Spanish; “took upwards of 20 Sail … drove the People … from their Settlements” (date given 1718 in AB); “Log-Wood Bay was cut off, Anno 1717”"	"The state of the island of Jamaica by A. B. 1726 p. 15; A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88; The Boston News-Letter 8 Apr 1717 p 2 issue 677"	"5863 tonnes logwood imported into Port London, at 5L per tonne; per A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88"	
1723	Anthropological	Raid		0			Raid in Feb Belize River by the Spanish; “seized 7 or 8 English Sloops … the Men were taken … as slaves”; “took upwards of 20 Sail … drove the People … from their Settlements” (date given 1724 in AB)	Parker’s London News / Impartial Intelligencer issue 883; Daily Post 27 Jun 1723 issue 1169; Weekly Journal / Saturday’s Post 27 Jul 1723 issue 248; New England Courant 13 to 20 May 1723 94; The state of the island of Jamaica by A. B. 1726 p. 15; The BOSTON News-Letter 16 May 1723 p. 4 issue 1007		
1723	Technological	Wreck		0			Shipwreck “Elizabeth” of Liverpool	Daily Courant 27 Jul 1723 6791		
1725	Anthropological	Engagement		0			Raid & confrontation with pirates; “took 10 or 12 English Ships” 	Weekly Journal / Saturday’s Post 30 Jan 1725 issue 327		
1726	Anthropological	Engagement		13			Confrontation with Spanish; “had taken several small Craft … murdered their [Crafts’] People”	British Journal 12 Feb 1726 179		
1725	Technological	Wreck		0			Shipwreck off Glover’s Reef	Daily Post 12 Jul 1725 1808		
1726	Anthropological	Engagement		0			"Confrontation with Spanish, losses recovered"	Daily Courant 22 Jun 1726 7701	"price of logwood given as 9L per tonne 1726 currency, 12000 tonnes export upper bound or average from settlement at Belize River, 108,000L in trade, in The state of the island of Jamaica by A. B. 1726 p. 16"	
1728	Anthropological	Engagement		0			Raid on Belize River by the Spanish; “sharp Engagement”	Daily Journal issue 28 Feb 1728 2224		
1728	Anthropological	Raid					Raid by Spanish; “taken six English Ships and Sloops”	Daily Journal issue 16 Jan 1729 2504		
1729	Anthropological	Raid		0			"Raid on New River & Hondo & in 1730 on Belize by Spanish; “taken all Vessels … burnt … about 12 to 16,000 Tons of Wood”; “they carried off about 30 White Men” from New River; “made a great many of the English and their Negroes Prisoners”; “several … ships and sloops … taken”; at least 1 ship, 2 brigantines, 2 sloops; expulsion of Baymen remaining in woods in Jun 1730 by 31 Jan 1731; by 23 May 1731 “all the Bay Men were gone except eight or nine”; “remains … 30 Persons”; in 8 Oct 1733 “two Families left in the Bay”; by 20 Oct 1735 “the Fleet was there [Belize River] … [and] had met no Disturbance from the Spaniards”; by 7 Sep 1736, letter signed by 7 settlers at “Rivers Mouth of Beleeze” re. counterfeit money used by William Bunn "	London Journal 11 Oct 1729 532 p. 5; Read’s Weekly Journal / British Gazetteer 375;  Grub Street Journal 70; London Evening Post 11 to 13 May 1731 p. 1 539; New England Weekly Journal 26 Jul 1731 issue CCXXVII p. 2; The Weekly Rehearsal 4 Oct 1731 p 2 issue 2; Universal Spectator / Weekly Journal 198; Read’s Weekly Journal / British Gazetteer 27 May 1732 375; The Boston Weekly News-Letter 21 Sep 1732 p 1 issue 1495; 5 Oct 1732 p 1 issue 1497; The Weekly Rehearsal 8 Oct 1733 p 2 issue 106; The Boston Gazette 20 Oct 1735 p 3 issue 824; The Boston Evening Post 22 Sep 1736 p 2 issue 67		
1730	Anthropological	Engagement		0			Confrontation in Feb with Spanish at Belize River; losses recovered	Daily Journal 13 Aug 1730 p. 2 2996	"English Ships taken at Bay between Feb 1715 to Jun 1730 = 74 vessels = c. 1,239,000L 1730 currency, plus same amount in cargo; in Galfridus Gray to the Council of Trade and Plantations in UK NA CO 388/89, ff. 182-185"	
1731	Anthropological	Engagement	2	2			Attack in March by Glover’s Reef on John & Jane ship by Spanish; “several were killed” of “about 30 Men … [and] some Women”	Daily Journal 24 Sep 1731 3345; London Evening Post 607		
1732	Technological	Wreck		0			Shipwreck	Daily Journal 11 Jul 1733 3910		
1733	Technological	Wreck		0			Shipwreck	Daily Journal 24 Nov 1733 4011		
1736	Biological	Outbreak		58			"Outbreak of illness (possibly); “It has been very sickly in the Bay, and abundance of Bay-Men have died (especially the chief of them) as well as those belonging to the vessels”"	New-York Weekly Journal 26 Sep 1737 p 3 issue 203		
1737	Anthropological	Engagement		0			Attack in April by Spanish in Belize River; “long and smart Fight”; “burnt abundance of Logwood”	"New England Weekly Journal 14 Jun 1737 p 2 issue 532; New York Weekly Journal 26 Sep 1737 p 3 issue 203, 10 Oct 1737 p 2 issue 205"		
1739	Anthropological	Raid		0			Ship seizures during War of Jenkins’ Ear; 6 “small Brigantines” seized; loss est. 3000L 1742 currency per ship	"The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated … by Philalethes 1742 p. 7; The Champion: containing a series of papers, humorous, moral, political and critical: volume 2 1740 p 290"	"7L 1739 currency per tonne, small ships being < 150 tonnes, est. by George Lyttleton 1739 in “Farther considerations on the present state of affairs, at home and abroad, as affected by the late convention, in a letter to the minister” p. 47; “chip’d Wood Eight Pounds per Ton” 1743 currency in Boston Evening-Post 9 Jan 1744 p 4 issue 440"	
1747	Anthropological	Raid		0			Raid on Belize River by the Spanish; “taken several Ships”; population = 400; no prisoners nor expulsion	"“The Anglo-Guatemalan Dispute over British Honduras” by Donald Grunewald p. 23; The Diplomatic history of British Honduras, 1638-1901” by Robert Arthur Humphreys p. 2; General Evening Post 11 to 13 Aug 1747 2159; London Evening Post 4248; Pennsylvania Gazette 21 Apr 1748 p 5 issue 1010"		
1749	Natural	Storm					"Landfall or passing of unnamed Aug hurricane; “much Damage” to all vessels on shore, except 2; no deaths mentioned"	Boston Gazette 21 Nov 1749 issue 1550		
1751	Anthropological	Raid		0			"Raid on New River in July by Spanish & subsequent raids on Belize River; “took 18 Flatts” & 7 sloops; “English taken by them are 129” (but prisoners may have been returned); “most of the Bay-men” at Mosquito Shore (at least 40), driven away by “being daily routed by the Spaniards”; “about five Families left in the Bay”; 19 slaves of one of these made prisoners by “Bracall Men” in Aug / Sep 1752"	Boston Gazette 10 Sep 1751 p 2 issue 1643l; New-York Mercury 27 Nov 1752 p 2 issue 16		
1752	Biological	Outbreak					Outbreak of “great Sickness and Mortality”; “left several Vessels without Hands … two [women] left in the whole Bay”	The Covent Garden Journal issue 31 18 Apr 1752 		
1754	Anthropological	Raid		0			Raid on & sacking of Belize River by the Spanish (Marqués de la Ensenada); settlement occupied by Spanish settlers; population = 100 (WSS) or 250 (DG) or 500 (LEP); 210 (AWR)	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 84;“The Anglo-Guatemalan Dispute over British Honduras” by Donald Grunewald; London Evening Post 14 to 17 Dec 1754 4228; 28 to 31 Dec 1754 4234; Antigua Weekly Register 11 Nov 1818 p 4"	"5L per tonne logwood 1755 currency given in William Douglass 1755 “A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America” v 1 p. 89"	
1755	Anthropological	Resettlement		0			Resettlement by Baymen	Public Advertiser 6 Oct 1755 6543; Read’s Weekly Journal / British Gazetteer 2339; The Antigua Gazette 12 Apr 1955 p. 3; New-York Mercury 11 Aug 1755 p 3 issue 157		
1765	Anthropological	Riot	4	4			Revolt (?) on New River by slaves; “Mr. Cook … three English seamen” killed; “several of the mutineers hanged”	Gazetteer & New Daily Advertiser 31 Oct 1765 11431; 10 Feb 1766 11518; Boston Evening-Post 9 Sep 1765 p 2 issue 1565; Newport Mercury 23 Sep 1765  3 issue 368		
1770	Anthropological	Riot		16			"Dispute with Spanish, “several” baymen killed; “destroyed all the mahogany”; “burnt several small Houses” on Ambergris Caye"	General Evening Post 1 to 4 Sep 1770 5757; ew-York Journal / General Advertiser 29 Nov 1770 p 208 issue 1456; The Pennsylvania Gazette 6 Dec 1770  3 issue 2189		
1771	Natural	Famine	80000	80000			"Locust outbreak leading to famine; “At Ambergris … 17,000 Indians had died for want … and in other parts of the country … [in total] upwards of 80,000”"	London Evening Post 10 to 12 Dec 1771 issue 6854; General Evening Post 12 to 14 Sep 1771 issue 5916		
1772	Anthropological	Engagement	1	1			Confrontation with Spanish by Glover’s Reef	London Evening Post issue 2 May 1772 6915		
1773	Anthropological	Engagement		53			Attack on Belize River by “Indians”; “massacred numbers”	Middlesex Journal 30 Nov to 2 Dec 773 issue 730		
1773	Anthropological	Riot	4	4			"Revolt by slaves; 4 killed; “22 or 23 insurgents” at first, then “70 or 80 strong”"	"Morning Chronicle 7 Sep 1773 1339; Rivington’s New York Gazetteer 5 Aug. 1773 issue 16, 4 Nov 1773 issue 29"		
1775	Anthropological	Engagement		56			"Dispute with Spanish, “many” baymen killed"	London Evening Post issue 2 Mar 1775 8258		
1779	Anthropological	Engagement	2	2			"Attack on St. George’s Caye & “river of Tinto” by the Spanish (Roberto de Rivas Betancourt); 95 to 100 imprisoned inCollege of St. Peter, Merida; they “deliver[ed] up our negroes, our money and our plate”; at least 100 escaped imprisonment; Treaty in 1783; settlers return by 16 Sept 1782; settlers released July 1782"	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040; Royal Gazette (Jamaica) 30 Jun 1781 p. 5; Lloyd’s Evening Post 5 to 7 Mar. 1781 issue 3699; Whitehall Evening Post 20 to 23 Jul 1783 issue 5668; London Chronicle 10 to 13 Aug 1782 p. 9 issue 4010; English Chronicle 8 to 10 Aug 1782 p. 3 issue 566; Morning Herald 26 Dec 1783 p 2 issue 987; The Gazette of Saint Jago de le Vega (Jamaica) 17 Oct 1782 p. 3; Antigua Weekly Register 11 Nov 1818 p 4"		
1779	Anthropological	Engagement	4	4			Siege of Omoa by the English (Lt. Col. John Dalrymple & Capt. John Luttrell)	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040"		
1780	Anthropological	Engagement		0			Parlay at Black River by the Baymen on behalf of shoremen refuged in Roatan (Major Richard Hoare and 84 volunteers from the colony); may have turned hostile	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 272"	"11L per tonne logwood; 0/8/10L 1786 currency per foot mahogany, in Aug. 1786, in Bristol; in “Prices Current” / Gale GALE|Z2001063977 (date 1781 on database)"	
1784	Biological	Outbreak		21			Outbreak of “distemper”; “proved fatal to many” in New River	London Chronicle 5 to 8 Feb 1785 p. 7		
1784	Natural	Storm		0			Hurricane of August	“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; London Chronicle 14 to 16 Oct 1784 issue 4362; Morning Chronicle / London Advertiser xxx 1785 xxx		
1784	Natural	Storm	7	7			"Hurricane of August; Caused “immense damage”, not less than 1500L; St. George’s Caye wrecked “In many places it has lost upwards of twenty feet; the sea rolled free over it in almost every direction”"	Times 21 Mar 1786 p. 3; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; Essex Journal 8 Mar 1786 p 3 issue 88		
1787	Anthropological	Riot		0			Riots by new settlers from Mosquito Shore	Morning Chronicle 25 Jul 1787 issue 5680	"29153L exports to, 1647L imports from GB to settlement 1785 currency; Royal Gazette (Jamaica) 26 May 1787 p. 3"	
1787	Natural	Storm	143	143			"Hurricane of early September; “not less than 500 houses … blown down”; 30,000L damage; 11 ships destroyed; some recently arrived immigrants from Mosquito Shore given “four months provision” by Superintendent; “143 lives lost: seven ships not recoverable”; 300,000 feet of mahogany “carried out to sea, and totally lost”; “one hundred and upwards” lives lost"	London Chronicle 4865; The World 325; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; General Evening Post xxx 1788 issue xxx; Public Advertiser xxx 1788 issue xxx; Pennsylvania Mercury / Universal Advertiser 5 Jan 1788 issue 179; Daily Advertiser 14 Jan 1788 v IV issue 902		
1788	Biological	Outbreak	50	50			"Outbreak of “a dreadful mortality”; 50 white people dead, “and a much greater number of negroes”"	New-York Morning Post 6 Feb 1788 1215		
1789	Technological	Wreck		13			“Jane” runs ashore off Wales en route to Bristol; captain and crew die	"Times, 25 Nov 1789, p. 3"		
1792	Natural	Flooding					Flooding July to October in Belize town; 2 m ft. mahogany lost; “many ne***es perished”	Times 11 Feb 1793 p. 3		
1793	Anthropological	Engagement	5	5			“Indian” raid; one bayman shot; four raiders killed	Whitehall Evening Post 13 to 15 Mar 1794 issue 7135		
1798	Hostile	Engagement		0			Battle of St. George’s Caye	London Gazette No. 15100. p. 69		
1812	Natural	Storm		0			Hurricane of June	“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97		
1813	Natural	Storm		0			Hurricane of January; no. 237 on Chenoweth list (there given as August); “did much mischief”; “broke down all the south side”; deaths mentioned but not from hurricane	Morning Post 11 Apr 1814 issue 13484;Hampshire Chronicle XL 2083; Chenoweth 2016 p. 224	"A millenium of microeconomic data, Bank of England. price = 1/2 of 1930 house price estimate; houses est. at 25"	
1823	Biological	Outbreak	180	180			"Outbreak; “many persons have died”; cared for in “hospitals”; on saving of sickly Poyais emigrants (scheme by Gregor MacGregor); “£4,290 … spent in rescuing, nursing, feeding and clothing”"	Hampshire Chronicle 9 Jan 1815 v XLII issue 2122; Times 18 Oct 1823 issue 12006; The Land that Never Was by Sinclair David 2004		
1824		Engagement		15			"Pirates “burnt one schooner belonging to Mr. Jeykill, after murdering the crew”"	Jamaica Journal 15 May 1824		
1831	Natural	Storm	1	1			Hurricane of Jun; no. 129 in Chenoweth list; 28th of June; 1 schooner Duke of Manchester lost near Ambergris; 1 death	"Chenoweth “A Reassessment of Historical Atlantic Basin Tropical Cyclone Activity, 1700—1855” 2016 p. 186; Jamaica Watchman 24 Aug 1831 p 1"		
1835	Technological	Wreck	13	13			Shipwreck HMS Firefly schooner	Belfast News-Letter 2 Jun 1835 10222		
1842	Technological	Wreck	1	1			Shipwreck HMS Spitfire	North Devon Journal XIX 958		
1852	Natural	Flooding	9	9			"Flooding in Belize (town?) in Oct.; “thousands of cattle have been drowned”; “immense amount of property destroyed”; “nine lives lost, and a great many missing”"	"Weekly Herald (NY, NY) 4 Dec 1852 XVI 49"		
1854	Technological	Fire		0			"Fire; 90,000 to 100,000L damage, 100 houses and stores destroyed, with $100,000 (USD or BHD) in merchandise lost"	"NYT “Fire in Honduras” 28 Sep 1854, p. 3;Morning Chronicle 18 Sep 1854 27374; Times-Picayune (New Orleans) 1 Sep 1854 ed. Eve.; Weekly Herald NY, NY 21 Oct 1854"		
1854	Biological	Outbreak	230	230			Outbreak of cholera; “about 300 natives have died”	"Sir J.A. Burdon, Archives v 3, p. 174; Morning Chronicle 22 Mar 1854 27220; Philadelphia Inquirer 13 Mar 1854; Sun (Baltimore, MD) 19 May 1854 XXXV 2"		
1856	Technological	Fire		0			"Fire; 50 houses destroyed; $500,000 loss estimated (USD BHD?); 100,000L loss"	"NYT “Large Fire at Belize, Honduras” 18 Aug 1865 p. 4; Daily News 3199; Sir J.A. Burdon, Archives v 3, p. 190; NY Herald 26 Aug 1856 7301"		
1857	Biological	Outbreak					Outbreak of smallpox; “is very bad … confined to the lowest classes … only a few coloured persons having had it”	NY Herald 13 Jun 1857 issue 7591		
1860	Biological	Outbreak					"Outbreak of yellow fever; “for the first time in twenty years … for two months now it has been very bad, and, with only a few exceptions, all who have had it have died”"	Times-Picayune 12 Sep 1860		
1863	Technological	Fire	2	2			Fire; 400 houses destroyed; 500 houses destroyed (JAB); in south side only	"The Growth and Development of Belize City by Everitt, J.C.; Daily News 5281; Sir J.A. Burdon, Archives v 3, p. 249"	"A millenium of microeconomic data, Bank of England. price = 1/2 of 1930 house price estimate; houses est. at 25"	
1863	Anthropological	Riot	2	2			Riot on 13 Aug at bayonetting of constable Mr. Burke & several others by BWIR soldiers; at least 2 dead	"NY Herald 9 Sep 1863, 17 Sep 1863"		
1864	Natural	Flooding		0			"Flooding in Belize River in mid Sep; 300 cattle, worth $40 each, destroyed, “very severe damage to plantations northward”; houses swept and carried away"	NY Herald 5 Nov 1864		
1864	Natural	Gales		0			"Strong, sustained gales; 1 brig, 3 barks, 1 drugger lost"	Times-Picayune 15 Oct 1864		
1865	Biological	Outbreak	68	68			Outbreak of yellow fever among Chinese immigrants	"Sir J.A. Burdon, Archives v 3, p. 313; Report to the Government of British Honduras … by Sir R.W. Boyce p. 2"		
1866	Anthropological	Engagement	0	0			Capture of San Pedro on New River by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 30"		
1866	Anthropological	Engagement	5	5			Confrontation with Mr. Canul to retake San Pedro on New River	"Sir J.A. Burdon, Archives v 3, p. 30"		
1866	Anthropological	Raid	2	2			Raid on Qualm Hill on Rio Bravo by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 29"		
1867	Biological	Outbreak	580	580			Outbreak of cholera	"Sir J.A. Burdon, Archives v 3, p. 299"		
1867	Anthropological	Raid	0	0			Recapture of San Pedro by settlers	"Sir J.A. Burdon, Archives v 3, p. 32"		
1867	Anthropological	Raid	0	0			Raid on Indian Church & Mt. Hope	"Sir J.A. Burdon, Archives v 3, p. 32"		
1867	Anthropological	Raid	3	3			Burning of San Jose by settlers; capture of Naranhal and Chorro by Corozal militia	"Sir J.A. Burdon, Archives v 3, p. 32"		
1870	Anthropological	Raid	0	0			Raid on Corozal by Mr. Marcus Canul; damage = compensation requested by Corozal; no deaths mentioned	"Sir J.A. Burdon, Archives v 3, p. 38"		
1872	Anthropological	Raid	1	1			Raid on Water Bank by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 328"		
1872	Anthropological	Raid	2	2			Raid on Orange Walk by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 41"		
1892	Technological	Wreck	9	9			Shipwreck of schooner Ringdove	"NYT 23 June 1892, p. 10"		
1892	Technological	Wreck	21	21			Shipwreck of schooner Stranger during hurricane in Oct	Essex Standard v 62 issue 3228		
1894	Anthropological	Riot	0	0			Riots by police force & forestry workmen	NYT “Police Revolt in Honduras” 12 Dec 1894 p. 5		
1905	Biological	Outbreak	8	8			Outbreak of yellow fever	Report to the Government of British Honduras … by Sir R.W. Boyce p. 5		
