Primary P: C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
		P	Philalethes	xxx		1	"The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated : by laying before the publick, as perfect and regular a list, as can be hand, of all the ships taken from either nation, since the beginning of the war, to this time : with proper remarks upon the list of British ships, in a pamphlet, intitled, Hireling artifice detected : in a letter to the author"	London	UK	1742	1742		"Printed for T. Cooper, ..."	https://link.gale.com/apps/doc/CY0102392266/SABN?u=camb55135&sid=SABN&xid=1cb00ab5	
		P	Speer	xxx		1	West-India Pilot	London	UK	1771	1771	Finamore 211	"By Joseph Smith Speer, printer S. Hooper"	xxx	
		P	"Squier, Waikna"	xxx		1	"Waikna, or, Adventures on the Mosquito shore"	London	UK	1855	1855	Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0103178029/SABN?u=camb55135&sid=SABN&xid=f8bae517	
		P	Uring	xxx		1	"A history of the voyages and travels of Capt. Nathaniel Uring. With new draughts of the Bay of Honduras and the Caribbee Islands; and particularly of St. Lucia, and the harbour of Petite Carenage; into which ships may run in bad weather, and be safe from all winds and storms. Very useful for masters of ships that use the Leeward Island trade, or Jamaica."	London	UK	1726	1726			"Gale/ECCO: https://link.gale.com/apps/doc/CW0100827679/ECCO?u=camb55135&sid=ECCO&xid=93c13f09
Readex/Afro-Americana: https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=147E02BAC83A1C10&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340"	
		P	Verus	xxx		1	Letters lately published in The diary on the subject of the present dispute with Spain	London	UK	1790	1790		Printed for G. Kearsley ...	https://link.gale.com/apps/doc/CW0104376499/ECCO?u=camb55135&sid=ECCO&xid=1dd17635	
		P	White 1 Hon	xxx		1	"The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain : who were, in the month of September 1779, robbed and despoiled of their property, and captivated in their persons by the King of Spain's forces and subjects, in violation of the seventeenth article of the treaty of Paris, concluded in February 1763, and in breach of other prior articles and treaties, then in force between His Majesty and the said King of Spain"	London	UK	1789	1789			https://link.gale.com/apps/doc/CY0102760133/SABN?u=camb55135&sid=SABN&xid=50d0d710	
		P	White 1 Mos	xxx		1	"The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America : most humbly submitted to the King's Most Excellent Majesty in Council, the Lords and Commons in Parliament, and the nation of Great-Britain at large, 1789"	London	UK	1789	1789			https://link.gale.com/apps/doc/CY0102270362/SABN?u=camb55135&sid=SABN&xid=b8095f09	
		P	White 2	xxx		1	"The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore : stating the whole of his conduct, in soliciting compensation for the losses, sustained by each of those classes of His Majesty's injured and distressed subjects"	London	UK	1793	1793			https://link.gale.com/apps/doc/CY0101574822/SABN?u=camb55135&sid=SABN&xid=a6dcd8a3	
		S	Lon G	1665	2021		London Gazette	London	UK				"Titles = The Oxford Gazette / The London Gazette
Published in Oxford 1665–xxx"		
		S	CP d	1833	2021	xxx	Command Papers	London	UK	1833	2021	ProQuest / UK Parliamentary Papers	"Also cited C. / Cd. / Cmd. / Cmnd. / Cm.
Unnumbered papers excluded
Place of publication assumed"	https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/search/basic/hcppbasicsearch?accountid=11311	
		S	HC d	1715	2021	xxx	House of Commons Papers	London	UK	1715	2021	ProQuest / UK Parliamentary Papers	Place of publication assumed	https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/search/basic/hcppbasicsearch?accountid=11311	
		S	Hansard	1803	2021	693	Hansard’s Parliamentary Debates	London	UK	1803	2021	UK Parliament		https://hansard.parliament.uk	
		S	Ann Reg	1758	2021	263	The Annual Register	London	UK	1758	2021			"To 1799: https://access-newspaperarchive-com.ezp-prod1.hul.harvard.edu/browse/uk/middlesex/london/london-annual-register/
To 1830: http://nrs.harvard.edu/urn-3:HUL.FIG:000796411"	
		P		1789	1838	38	American State Papers	Washington	USA	1831	1861			https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA512222786880003941&context=L&vid=HVD2&search_scope=everything&tab=everything&lang=en_US	
		P	NDAR	1774	1778	13	Naval Documents of the American Revolution	Washington	USA	1964	2019			https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html	
		P	Kemble	1775	1781	2	The Kemble papers	New York	USA	1884	1885		Could not locate vol 1	Google v2: https://www.google.com/books/edition/Journals_of_Kemble_brigadier_general_in/0LwTAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
		P	Winthrop d	1630	1649	2	History of New England from 1630 to 1649	Boston	USA	1825	1826			"Google v1: https://www.google.com/books/edition/The_History_of_New_England_from_1630_to/GMMSAAAAYAAJ?hl=en&gbpv=0
Google v2: https://www.google.com/books/edition/The_History_of_New_England_from_1630_to/ycISAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover"	
		P	Jameson	1638	1772	1	Privateering and Piracy in the Colonial Period	New York	USA	1923	1923		Edited by J. F. Jameson	http://www.gutenberg.org/files/24882/24882-h/24882-h.htm	
		P	Jones 3	1654	1656	1	"Anthropology and History in Yucatán, cap 2, The Francisco Pérez Probanza and the Matrícula of Tipu"	Austin	USA	1977	1977	Jones 1	Edited by Grant D. Jones	https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03643	
		P	Maya R	1621	1624	1	"Maya Research, vol 3, Documents relating to the Mirones Expedition to the interior of Yucatan, 1621-1624"	New York	USA	1936	1937	Jones 1	"Also available as Documents relating to the Mirones Expedition to the interior of Yucatan, 1621-1624 [Culver City, Calif. : Labyrinthos, 1991]"		
		P	AHA 1898	xxx		1	Annual report of the American Historical Association for the year 1898	Washington	USA	1899	1899	Readex / US Congressional Serial Set		https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:SERIAL&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=113940A2F120EB68&svc_dat=Digital:ssetdoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
		P	Bristow Rep	xxx		1	Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War	Washington	USA	1905	1905	Gale / World Scholar		https://worldscholar.gale.com/region/latin-america/MonographsDetailsPage/MonographsDetailsWindow?disableHighlighting=false&displayGroupName=DVI-Monographs&docIndex=1&prodId=LAC&mode=view&limiter=&display-query=TX+Report+Of+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+To+The+Secretary+Of+War.+1905&contentModules=&action=e&sortBy=&windowstate=normal&currPage=1&dviSelectedPage=&scanId=&query=TX+Report+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+Secretary+War.+1905&search_within_results=&p=LACD&catId=&displayGroups=&documentId=GALE%7CSA5299194852&activityType=BasicSearch&failOverType=&commentary=&source=Bookmark&u=camb55135&jsid=ae0cdd8d308047d5a8955c6b8b44f227# 	
		P	Clayton	xxx		1	"Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853 : in vindication of the Central American treaty concluded with Great Britain on the 19th of April, 1850"	Washington	USA	1853	1853	Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0104293458/SABN?u=camb55135&sid=SABN&xid=1d289d88&pg=14 	
		P	Jarves	xxx		1	"Scenes and Scenery in the Sandwich Islands, and a Trip Through Central America Being Observations from My Note-book During the Years 1837-1842"	Boston	USA	1843	1843			https://www.google.com/books/edition/Scenes_and_Scenery_in_the_Sandwich_Islan/dawbaX-jbt4C?hl=en&gbpv=0	
		P	Pargellis	xxx		1	"William and Mary Quarterly, 3 series, vol 1, Daniel Ellffryth's Guide to the Caribbean, 1631"	Williamsburg	USA	1944	1944		Edited by Stanley Pargellis and Ruth Lapham Butler	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1923731	
		P	US State 1856	xxx		1	Documents relative to Central American affairs and the enlistment question	Washington	USA	1856	1856	Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0102905680/SABN?u=camb55135&sid=SABN&xid=e04c57fa	
		S		1817	2021	xxx	United States Congressional Serial Set	Washington	USA	1817	2021			http://id.lib.harvard.edu/alma/990098609660203941/catalog	
		P	Statutes R	1101	1714	11	Statutes of the Realm			1810	1828	Gale / Making of the Modern World	No place of publication given / edited by John Raithby	Gale/Making Modern World v1: https://link.gale.com/apps/doc/U0107812236/MOME?u=camb55135&sid=MOME&xid=98d14cfb	
		P	Dampier	1669	1691	2	Voyages			1697	1699	Oxford DNB	"= A new voyage around the world [London : Printed for James Knapton ..., 1697], Voyages and Discoveries [1699]
First edition of Voyages and Discoveries 1699 not located"	"ProQuest/EEBO v1: http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/new-voyage-around-world-describing-particularly/docview/2240952603/se-2?accountid=11311
ProQuest/EEBO v2: http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/voyages-descriptions-three-parts-which-is-added/docview/2264207852/se-2?accountid=11311
Harvard v2: https://nrs.harvard.edu/urn-3:DOAK.RESLIB:24900314"	
		P	Laws 1881	xxx	1881	1	Laws of British Honduras in force on 31 Dec. 1881	xxx		1882	1882	Bolland 75 269			


Primary MS: C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	NO.	UNITS	ITEM	REPOSITORY	CITY	COUNTRY					VIA	NOTE	
		P		1690	1922	18000	titles	Newspapers & Periodicals	American Antiquarian Society	Worcester	USA						Guide: https://www.americanantiquarian.org/newspapers-periodicals	
		MS		1885	1985	8.3	feet	"Records, United Bible Societies, Latin America Regional Center"	American Bible Society	Philadelphia	USA						Assume ABS records moved from NY to PA in 2015 / Guide not found	
		MS		1778	1778	1	items	"Account for repairs done at Honduras to sloop ""Cupid"", (captain Wm. Carlyon), and stores taken on board"	Archives and Cornish Studies Service	Redruth	UK						"Ref CN/3389
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/9d6e7f1b-4243-47e8-8086-07a8b583b0de"	
		MS	Civil List	1786	1896	1	vols	"British Honduras Civil List, 1895–1896"	Archives and Records Service	Belmopan	Belize					Burdon 2		
		MS	GC a	1790	1843	13	vols	Grand Court of Assize	Archives and Records Service	Belmopan	Belize					Burdon 1	Inc Summary Courts in earlier vols /Burdon 1	
		MS		1829	1829	1	vols	Indian Papers	Archives and Records Service	Belmopan	Belize					Burdon 2	"Inc uncompleted, unsigned, undated questionnaire with answers, on the subject of the constitution of the Law Courts, the law, and the Judiciary procedure of the Settlement /Burdon 2"	
		MS	Laws 1765–1810	1765	1810	1	vols	"Laws of Honduras, 1806–1810"	Archives and Records Service	Belmopan	Belize					Burdon 1		
		MS	LM a	1830	1843	2	vols	Legislative Assembly	Archives and Records Service	Belmopan	Belize					Burdon 2		
		MS	R d	1805	1853	32	vols	Letters and Despatches	Archives and Records Service	Belmopan	Belize					Burdon 2	"Inc Mr. Miller’s Mission, Records 11 /Burdon 2 / Inc Proceedings of Public Meeting, Records 20 /Burdon 2"	
		MS	ML a	1791	1812	4	vols	Magistrates’ Letters	Archives and Records Service	Belmopan	Belize					Burdon 1		
		MS	MM a	1793	1844	13	vols	Magistrates’ Meetings	Archives and Records Service	Belmopan	Belize					Burdon 2		
		MS	MSR	1771	1787	xxx	vols	Mosquito Shore Records	Archives and Records Service	Belmopan	Belize					Burdon 1		
		MS	PCR	1789	1798	1	vols	Police Court Records and Magistrates' Meetings	Archives and Records Service	Belmopan	Belize					Burdon 1	"Numbered 13 on fly leaf / includes Police Court Records 1789, Magistrates' Meetings 1793, Bonds 1797–1798 /Burdon 1 p292"	
		MS	PR a	1774	1849	22	vols	Private Records	Archives and Records Service	Belmopan	Belize					Burdon 1	"Where PR 1 = typed copies of eight Record Books 1774–1818, bulk 1784–1793 /Burdon 1 p291, and so counted as 8 vols"	
		MS	SC d	1817	1850	4	vols	Summary Courts	Archives and Records Service	Belmopan	Belize					Burdon 2		
		MS	Sup Ct a	1820	1848	4	vols	Supreme Court	Archives and Records Service	Belmopan	Belize					Burdon 2	Inc Summary Courts in some vols /Burdon 2	
		MS	ANOM	xxx		xxx			Archives Nationales d'Outre-Mer	Aix-en-Provence	France							
		MS		1776	1815	70	boxes	Vice-Admiralty Court records	Archives Unit	Spanish Town	Jamaica						Records = c 60 to 80 boxes / median used /Claudette Thomas 2011 Link: https://www.ifla.org/past-wlic/2011/141-thomas-en.pdf	
		MS	"AGCA, a"	1544	1821	xxx			Archivo General de Centro América	Guatemala	Guatemala						"Microfilm copy by Ross Publishing LLC, New York, NY, USA Link: https://www.rosspub.com/guatemalaenglishbrochure.htm "	
		MS	"GUATEMALA,a"	1525	1837	971	legajos	Audiencia de Guatemala	Archivo General de Indias	Seville	Spain					PARES	PARES Link: http://pares.mcu.es/ParesBusquedas20/catalogo/search 	
		MS	"MEXICO,a"	1519	1856	3196	legajos	Audiencia de México	Archivo General de Indias	Seville	Spain					PARES		
		MS	"SANTA_FE,a"	1527	1831	1263	legajos	Audiencia de Santa Fe	Archivo General de Indias	Seville	Spain					PARES		
		MS	"CONTRATACION,a"	1492	1795	6337	legajos	Casa de la Contratación	Archivo General de Indias	Seville	Spain					PARES		
		MS	"ESCRIBANIA,a"	1525	1778	2864	legajos	Escribanía de Cámara de Justicia	Archivo General de Indias	Seville	Spain					PARES		
		MS	"ESTADO,d"	1683	1860	105	legajos	Estado	Archivo General de Indias	Seville	Spain					PARES		
		MS	"INDIFERENTE,a"	1492	1870	3169	legajos	Indiferente General	Archivo General de Indias	Seville	Spain					PARES		
		MS	"MP-GUATEMALA,d"	1571	1892	418	items	"Mapas, planos, dibujos, etc.: Guatemala"	Archivo General de Indias	Seville	Spain					PARES		
		MS	"MP-MEXICO,d"	1519	1823	947	items	"Mapas, planos, dibujos, etc.: México"	Archivo General de Indias	Seville	Spain					PARES		
		MS	"PATRONATO,a"	1480	1801	307	legajos	Patronato Real	Archivo General de Indias	Seville	Spain					PARES		
		MS	"CUBA,a"	1712	1872	2971	legajos	Papeles de Cuba	Archivo General de Indias	Seville	Spain							
		MS	"AGN Mex, Historia, d"	1616	1880	597	vols	"V Colecciones y documentos, 257 Historia"	Archivo General de la Nación	Mexico	Mexico					AGN Mexico Guía	AGN Mexico Guía Link: https://archivos.gob.mx/GuiaGeneral/GuiaGeneral.html 	
		MS	"AGN Mex, Reales Cédulas, d"	1520	1820	447	vols	"I Documentación de las instituciones coloniales, 100 Reales Cédulas"	Archivo General de la Nación	Mexico	Mexico					AGN Mexico Guía		
		MS	"MPD, d"	1503	1962	7816	items	"Mapas, planos y dibujos"	Archivo General de Simancas	Valladolid	Spain					AGS Guía del Investigador		
		MS	"EST, d"	1509	1789	8343	legajos	Secretaría de Estado	Archivo General de Simancas	Valladolid	Spain					AGS Guía del Investigador	AGS Guía del Investigador Link: file:///Users/angelnavidad/Downloads/guia-del-investigador.pdf	
		MS		xxx		xxx		Special Collections	Baker Library	Cambridge	USA							
		MS		xxx		xxx		Latin Americana	Bancroft Library	Berkeley	USA						Guide Link: https://www.lib.berkeley.edu/libraries/bancroft-library/latin-americana	
		MS		1657	1853	xxx		Wrest Park (Lucas) Manuscripts	Bedfordshire Archives & Records Service	Bedford	UK						TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/2b8f4b12-252e-49d8-b1ae-3cace3bf6145	
		MS	Bib N Esp MSS/d	xxx		xxx		Manuscritos	Biblioteca Nacional de España	Madrid	Spain							
		MS		xxx		159	boxes	Archivo Franciscano	Biblioteca Nacional de México	Mexico	Mexico						Catalogue Link: https://bnm.iib.unam.mx/index.php/biblioteca-nacional-de-mexico/colecciones/fondo-reservado/archivos-y-manuscritos	
		MS		xxx		77	mss	Département des Manuscrits Amérique	Bibliothèque nationale de France	Paris	France					BnF Catalogue général		
		MS		xxx		429	mss	Département des Manuscrits Mexicain	Bibliothèque nationale de France	Paris	France					BnF Catalogue général	BnF Catalogue général Link: https://archivesetmanuscrits.bnf.fr 	
		MS	Rawl MSS A. d	xxx		xxx	mss	"Rawlinson Manuscripts, Series A: English History, 12th-18th century"	Bodleian Library	Oxford	UK					Bod Lib Catalogue	Link: https://archives.bodleian.ox.ac.uk/repositories/2/archival_objects/90884 	
		P		1672	1737	300	titles	17th and 18th Century Nichols Newspapers Collection	Bodleian Library	Oxford	UK					Bod Lib Catalogue		
		MS		1701	1989	1063	feet	Papers of the United Society for the Propagation of the Gospel	Bodleian Library	Oxford	UK					Bod Lib Catalogue		
		MS		1894	1960	1	boxes	Papers of George Croker Bayly	Bodleian Library	Oxford	UK					Bod Lib Catalogue		
		MS		1762	1762	1	items	"Letter of attorney: Peter Ainsworth (1) and Peter Ainsworth (2) to Daniel Wilcox of Liverpool, master of the vessel ""King of Prussia"" and Peter Higson of Bolton, gentleman"	Bolton Archives and Local Studies Service	Bolton	UK						TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/d98d024b-a3f9-47e7-8ba0-4cc60ecd11e3	
		MS		1654	1937	28	boxes	"Joseph J. Williams, SJ ethnological collection"	Boston College	Boston	USA							
		MS	Add MS	1	2019	157097	mss	Additional Manuscripts	British Library	London	UK					BL Catalogue	"PERIOD = 1 set arbitrarily / couple Add MS dated BCE /BL Catalogue, Link: http://searcharchives.bl.uk/primo_library/libweb/action/search.do?vid=IAMS_VU2"	
		MS	Egerton MS	701	1999	3942	mss	Egerton Manuscripts	British Library	London	UK					BL Catalogue		
		MS	Sloane MS	1	1964	3885	mss	Sloane Manuscripts	British Library	London	UK					BL Catalogue		
		P	BL Thomason Tracts E. d	1640	1661	2008	vols	Thomason Tracts	British Library	London	UK					"G. K. Fortescue, Catalogue, London : 1908, Link: https://www.bl.uk/collection-guides/thomason-tracts "		
		P		1604	1804	1271	titles	Burney Collection	British Library	London	UK							
		MS		1738	1809	xxx		Navy Board: Bound Out-letters	Caird Library and Archive	London	UK						"Ref ADM 354
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/C16344"	
		MS		xxx		xxx		Royal Commonwealth Society	Cambridge University	Cambridge	UK						Catalogue Link: https://www.lib.cam.ac.uk/rcs	
		MS		1631	1722	2564	items	William Blathwayt Papers	Colonial Williamsburg Foundation	Williamsburg	USA							
		MS		1803	1805	2	items	Asa Hosmer letters to his daughter Nancy	Connecticut Historical Society	Hartford	USA					WorldCat	Not found in CHS Catalogue Link: https://chs.waldo.kohalibrary.com	
		MS		1884	1957	6	feet	James G. Needham papers	Cornell University	Ithaca	USA							
		MS		1201	1955	129	boxes	Wilmot-Horton of Osmaston and Catton	Derbyshire Record Office	Matlock	UK						TNA: http://discovery.nationalarchives.gov.uk/details/r/cfe1d343-4149-4a53-b4b9-fa8a3dd173ba	
		MS		1803	1803	1	items	Memorandum on Bay of Honduras	Devon Archives and Local Studies Archive	Exeter	UK						TNA: http://discovery.nationalarchives.gov.uk/details/r/b741fca3-84f6-4b82-b935-3882ada856bc	
		MS		1666	1825	1	vols	Hotchkin Family Plantation record book	Duke University	Durham	USA							
		MS		1768	1794	10	feet	"James Rogers papers, 1768-1794 and undated"	Duke University	Durham	USA							
		MS		1536	1996	50	feet	"Frank Baker collection of Wesleyana and British Methodism, 1536-1996 and undated"	Duke University	Durham	USA							
		MS		1862	1863	1	item	William Howard Hooker Collection: H.M.S. Desperate Logbook	East Carolina University	Greenville	USA						Link: http://digital.lib.ecu.edu/1905	
		MS		1750	1850	10	feet	Collection of Philadelphia merchants records	Hagley Museum and Library	Wilmington	USA						Guide Link: https://findingaids.hagley.org/repositories/3/resources/830	
		P		xxx		5736	items	Latin American Pamphlet Collection	Harvard University	Cambridge	USA						https://library.harvard.edu/collections/latin-american-pamphlet-digital-collection	
		MS		1776	1985	272.76	feet	"Records of the Lydia E. Pinkham Medicine Company, 1776-ca.1985 (inclusive), 1859-1968 (bulk)"	Harvard University	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/8/resources/7693	
		MS		1743	1797	17	vols	Papeles varios de America	Harvard University	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/24/resources/3938	
		MS		1762	1829	10	boxes	"John Coffin Jones business records, 1762-1829 (inclusive)"	Harvard University	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/11/resources/7250	
		MS		1664	1854	44	feet	"Hancock family papers, 1664-1854 (inclusive)"	Harvard University	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/11/resources/7584	
		P		1722	1917	xxx		"Fondo Reservado, Publicaciones periódicas mexicanas 1722-1917"	Hemeroteca Nacional de México	Mexico	Mexico						Guide Link: https://hnm.iib.unam.mx/index.php/hemeroteca-nacional-de-mexico/colecciones/fondo-reservado/publicaciones-periodicas-mexicanas-1722-1917	
		MS		1681	1938	385	vols	Powel family papers	Historical Society of Pennsylvania	Philadelphia	USA						Catalogue Link: https://discover.hsp.org	
		MS		1793	1836	129	items	Pile family papers	Historical Society of Pennsylvania	Philadelphia	USA							
		MS		xxx		xxx		"Manuscripts for the Study of Iberian, Latin American, and Latino History"	Huntington Library	San Marino	USA						Guide Link: https://hdl.huntington.org/digital/collection/p15150coll1/id/7620/ 	
		MS		1175	1919	350000	items	Stowe Papers	Huntington Library	San Marino	USA						"Guide Link: https://hdl.handle.net/2027/mdp.39015017633713?urlappend=%3Bseq=165
OAC Link: https://oac.cdlib.org/findaid/ark:/13030/c8ht2qq9/"	
		MS		1849	1859	45	items	George Mifflin Dallas papers	Huntington Library	San Marino	USA					Huntington Catalogue	HC Link: https://catalog.huntington.org/record=b1591201	
		MS		1150	1803	13000	items	Egerton family papers	Huntington Library	San Marino	USA					Huntington Catalogue	"HC Link: https://catalog.huntington.org/record=b1526229
OAC Link: https://oac.cdlib.org/findaid/ark:/13030/c8mw2nvw/"	
		MS		1661	1671	1	vols	"A compilation of ""Instructions to Governors, Commissions, and other Papers respecting the Colonies,"" chiefly relating to Jamaica and Barbados"	Huntington Library	San Marino	USA						HC Link: https://catalog.huntington.org/record=b1071225	
		MS		1668	1734	195	items	William Blathwayt Papers (Addenda)	Huntington Library	San Marino	USA						OAC Link: https://oac.cdlib.org/findaid/ark:/13030/kt1199n4mx/	
		MS		1671	1712	34	items	Correspondence and documents from the office of William Blathwayt	Huntington Library	San Marino	USA							
		MS		1657	1770	500	items	William Blathwayt Papers	Huntington Library	San Marino	USA					Online Archive of California	OAC Link: https://oac.cdlib.org/findaid/ark:/13030/tf9b69p05t/	
		MS		1808	1964	15.75	feet	"Hugh Hammond Bennett papers, 1808-1964, undated"	Iowa State University	Ames	USA						ISU Aid: https://isuarchives.cuadra.com/star/findingaids/ms-0164.xml	
		MS		1847	2011	35	feet	Belize Mission Collection	Jesuit Archives & Research Center	Saint Louis	USA						Guide Link: http://jesuitarchives.org/collections/missouri-province-archive/belize-mission-collection/	
		MS		1784	1832	50	items	"Bennett, John & Sons of London"	Kent History and Library Centre	Maidstone	UK						TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/5da28075-2a5b-4959-812c-14afbbe4c0ef	
		MS		1804	1804	1	items	Memo. relating to Mr. Anderson and Honduras.	Kent History and Library Centre	Maidstone	UK						TNA: http://discovery.nationalarchives.gov.uk/details/r/b9e3d4f3-a83e-40c0-8fae-93a8b6a7c8eb	
		P	Kon Bib PK d	1486	1853	30000	items	Pamphlets	Koninklijke Bibliotheek	Hague	Netherlands					Goslinga	Kon Bib Catalogue Link: https://www.kb.nl/en/resources-research-guides/kb-collections/early-printed-books-until-1801/pamphlets	
		MS		1626	1822	40	vols	Fulham Papers Colonial	Lambeth Palace	London	UK						https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=FP%2f1-40	
		MS		1869	1884	1	items	Correspondence and papers on churches outside the diocese of London	Lambeth Palace	London	UK						https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=FP%2fJackson%2fF%2f54	
		MS		1802	1891	448	vols	"Tait, Archibald Campbell (1811-1882)"	Lambeth Palace	London	UK						https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=Tait	
		MS		1642	1972	7	series	Christian Faith Society	Lambeth Palace	London	UK						https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=CFS	
		MS		1809	1888	2500	items	Ephraim George Squier Papers	Library of Congress	Washington	USA						https://lccn.loc.gov/mm79041087	
		MS		1763	1763	1	items	Leverpool	Liverpool Record Office	Liverpool	UK						"Ref 920 NIC/5/5/74
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/65573d34-8ceb-4e7d-83ce-1859b0d115be"	
		MS		1832	1890	104	items	Samuel McCutchon papers	Louisiana State University	Baton Rouge	USA						https://www.lib.lsu.edu/sites/default/files/sc/findaid/1049m.pdf	
		MS		1700	1721	1	vols	"Council of Trade and Plantations letter book, Mss. 680"	Louisiana State University	Baton Rouge	USA						https://lsu.ent.sirsi.net/client/en_US/lsu/search/detailnonmodal/ent:$002f$002fSD_LSU$002f0$002fSD_LSU:1254833/one	
		MS		xxx		xxx		Manuscripts	Massachusetts Historical Society	Boston	USA						https://www.masshist.org/collection-guides/browse/manuscript-guides	
		MS	"Mus Nav, Col Nav, d"	1492	1773	32	vols	Colección Navarrete	Museo Naval	Madrid	Spain					D. Higueras Rodriguez Link: https://armada.defensa.gob.es/archivo/mardigitalrevistas/cuadernosihcn/24cuaderno/04cap.pdf 	"Some volumes or items possibly deposited in Archivo General de la Marina ""Álvaro de Bazán,” Ciudad Real, Spain /Higueras Rodriguez p35"	
		MS	"Old WIC, 1.05.01.01, d"	1621	1711	99	items	"Inventaris van het archief van de Oude West-Indische Compagnie (Oude WIC), 1621-1674 (1711)"	Nationaal Archief	Hague	Netherlands					NA Hague Inventories	"“Inventarisnummers” rendered as “items”
NA Hague Inventories Link: https://www.nationaalarchief.nl/onderzoeken/zoeken?activeTab=archives "	
		MS	"States-General, 1.01.02, d"	1431	1796	17734	items	"Inventaris van het archief van de Staten-Generaal, (1431) 1576-1796"	Nationaal Archief	Hague	Netherlands					NA Hague Inventories		
		MS	C 110/152	1681	1812	1	series	Commercial correspondence and accounts	National Archives	Kew	UK						Particularly Brailsford v Peers records [1681–94]	
		MS	SP d/d	1231	1888	127	series	"Records assembled by the State Paper Office, including papers of the Secretaries of State up to 1782"	National Archives	Kew	UK					TNA Kew Catalogue	Cited as SPF Archives / SPF Spain in Burdon 1–3	
		MS	FO d/d	1567	2004	1113	series	Records created or inherited by the Foreign Office	National Archives	Kew	UK					TNA Kew Catalogue		
		MS	ADM d/d	1205	1998	363	series	"Records of the Admiralty, Naval Forces, Royal Marines, Coastguard, and related bodies"	National Archives	Kew	UK					TNA Kew Catalogue		
		MS	CUST d/d	1554	2019	208	series	"Records of the Boards of Customs, Excise, and Customs and Excise, and HM Revenue and Customs"	National Archives	Kew	UK					TNA Kew Catalogue		
		MS	CO d/d	1570	1990	1073	series	"Records of the Colonial Office, Commonwealth and Foreign and Commonwealth Offices, Empire Marketing Board, and related bodies"	National Archives	Kew	UK					TNA Kew Catalogue	"TNA Kew Catalogue, Link: https://discovery.nationalarchives.gov.uk/ "	
		MS	FCO d/d	1878	2019	188	series	Records of the Foreign and Commonwealth Office and predecessors	National Archives	Kew	UK					TNA Kew Catalogue		
		MS		1788	1990	xxx		"Record Group 84, Records of the Foreign Service Posts of the Department of State"	National Archives and Records Administration	Washington	USA							
