Calendar: Table 1
Date		Sp	Ot I	Ot II	War	Siege	Expulsion	Restriction	Trade	Sp	Ot I	Ot II
May Jun	1697	1697 Sp 343	1697 Ot I 343	1697 Ot II 343								
Jul Aug	1697	1697 Sp 344	1697 Ot I 344	1697 Ot II 344								
Sep Oct	1697	1697 Sp 345	1697 Ot I 345	1697 Ot II 345								
Nov Dec	1697	1697 Sp 346	1697 Ot I 346	1697 Ot II 346								
Jan Feb	1698	1698 Sp 347	1698 Ot I 347	1698 Ot II 347								
Mar Apr	1698	1698 Sp 348	1698 Ot I 348	1698 Ot II 348								
May Jun	1698	1698 Sp 349	1698 Ot I 349	1698 Ot II 349								
Jul Aug	1698	1698 Sp 350	1698 Ot I 350	1698 Ot II 350								
Sep Oct	1698	1698 Sp 351	1698 Ot I 351	1698 Ot II 351								
Nov Dec	1698	1698 Sp 352	1698 Ot I 352	1698 Ot II 352								
Jan Feb	1699	1699 Sp 353	1699 Ot I 353	1699 Ot II 353								
Mar Apr	1699	1699 Sp 354	1699 Ot I 354	1699 Ot II 354								
May Jun	1699	1699 Sp 355	1699 Ot I 355	1699 Ot II 355								
Jul Aug	1699	1699 Sp 356	1699 Ot I 356	1699 Ot II 356								
Sep Oct	1699	1699 Sp 357	1699 Ot I 357	1699 Ot II 357								
Nov Dec	1699	1699 Sp 358	1699 Ot I 358	1699 Ot II 358								
Jan Feb	1700	1700 Sp 359	1700 Ot I 359	1700 Ot II 359								
Mar Apr	1700	1700 Sp 360	1700 Ot I 360	1700 Ot II 360								
May Jun	1700	1700 Sp 361	1700 Ot I 361	1700 Ot II 361								
Jul Aug	1700	1700 Sp 362	1700 Ot I 362	1700 Ot II 362								
Sep Oct	1700	1700 Sp 363	1700 Ot I 363	1700 Ot II 363								
Nov Dec	1700	1700 Sp 364	1700 Ot I 364	1700 Ot II 364								
Jan Feb	1701	1701 Sp 365	1701 Ot I 365	1701 Ot II 365								
Mar Apr	1701	1701 Sp 366	1701 Ot I 366	1701 Ot II 366						Raid		
May Jun	1701	1701 Sp 367	1701 Ot I 367	1701 Ot II 367								
Jul Aug	1701	1701 Sp 368	1701 Ot I 368	1701 Ot II 368	Fr Sp							
Sep Oct	1701	1701 Sp 369	1701 Ot I 369	1701 Ot II 369	Fr Sp							
Nov Dec	1701	1701 Sp 370	1701 Ot I 370	1701 Ot II 370	Fr Sp							
Jan Feb	1702	1702 Sp 371	1702 Ot I 371	1702 Ot II 371	Fr Sp							
Mar Apr	1702	1702 Sp 372	1702 Ot I 372	1702 Ot II 372	Fr Sp							
May Jun	1702	1702 Sp 373	1702 Ot I 373	1702 Ot II 373	Fr Sp							
Jul Aug	1702	1702 Sp 374	1702 Ot I 374	1702 Ot II 374	Fr Sp							
Sep Oct	1702	1702 Sp 375	1702 Ot I 375	1702 Ot II 375	Fr Sp							
Nov Dec	1702	1702 Sp 376	1702 Ot I 376	1702 Ot II 376	Fr Sp							
Jan Feb	1703	1703 Sp 377	1703 Ot I 377	1703 Ot II 377	Fr Sp							
Mar Apr	1703	1703 Sp 378	1703 Ot I 378	1703 Ot II 378	Fr Sp							
May Jun	1703	1703 Sp 379	1703 Ot I 379	1703 Ot II 379	Fr Sp							
Jul Aug	1703	1703 Sp 380	1703 Ot I 380	1703 Ot II 380	Fr Sp							
Sep Oct	1703	1703 Sp 381	1703 Ot I 381	1703 Ot II 381	Fr Sp							
Nov Dec	1703	1703 Sp 382	1703 Ot I 382	1703 Ot II 382	Fr Sp							
Jan Feb	1704	1704 Sp 383	1704 Ot I 383	1704 Ot II 383	Fr Sp							
Mar Apr	1704	1704 Sp 384	1704 Ot I 384	1704 Ot II 384	Fr Sp							
May Jun	1704	1704 Sp 385	1704 Ot I 385	1704 Ot II 385	Fr Sp							
Jul Aug	1704	1704 Sp 386	1704 Ot I 386	1704 Ot II 386	Fr Sp							
Sep Oct	1704	1704 Sp 387	1704 Ot I 387	1704 Ot II 387	Fr Sp							
Nov Dec	1704	1704 Sp 388	1704 Ot I 388	1704 Ot II 388	Fr Sp							
Jan Feb	1705	1705 Sp 389	1705 Ot I 389	1705 Ot II 389	Fr Sp							
Mar Apr	1705	1705 Sp 390	1705 Ot I 390	1705 Ot II 390	Fr Sp							
May Jun	1705	1705 Sp 391	1705 Ot I 391	1705 Ot II 391	Fr Sp							
Jul Aug	1705	1705 Sp 392	1705 Ot I 392	1705 Ot II 392	Fr Sp							
Sep Oct	1705	1705 Sp 393	1705 Ot I 393	1705 Ot II 393	Fr Sp							
Nov Dec	1705	1705 Sp 394	1705 Ot I 394	1705 Ot II 394	Fr Sp							
Jan Feb	1706	1706 Sp 395	1706 Ot I 395	1706 Ot II 395	Fr Sp							
Mar Apr	1706	1706 Sp 396	1706 Ot I 396	1706 Ot II 396	Fr Sp							
May Jun	1706	1706 Sp 397	1706 Ot I 397	1706 Ot II 397	Fr Sp							
Jul Aug	1706	1706 Sp 398	1706 Ot I 398	1706 Ot II 398	Fr Sp							
Sep Oct	1706	1706 Sp 399	1706 Ot I 399	1706 Ot II 399	Fr Sp							
Nov Dec	1706	1706 Sp 400	1706 Ot I 400	1706 Ot II 400	Fr Sp							
Jan Feb	1707	1707 Sp 401	1707 Ot I 401	1707 Ot II 401	Fr Sp							
Mar Apr	1707	1707 Sp 402	1707 Ot I 402	1707 Ot II 402	Fr Sp							
May Jun	1707	1707 Sp 403	1707 Ot I 403	1707 Ot II 403	Fr Sp							
Jul Aug	1707	1707 Sp 404	1707 Ot I 404	1707 Ot II 404	Fr Sp							
Sep Oct	1707	1707 Sp 405	1707 Ot I 405	1707 Ot II 405	Fr Sp							
Nov Dec	1707	1707 Sp 406	1707 Ot I 406	1707 Ot II 406	Fr Sp							
Jan Feb	1708	1708 Sp 407	1708 Ot I 407	1708 Ot II 407	Fr Sp							
Mar Apr	1708	1708 Sp 408	1708 Ot I 408	1708 Ot II 408	Fr Sp							
May Jun	1708	1708 Sp 409	1708 Ot I 409	1708 Ot II 409	Fr Sp							
Jul Aug	1708	1708 Sp 410	1708 Ot I 410	1708 Ot II 410	Fr Sp							
Sep Oct	1708	1708 Sp 411	1708 Ot I 411	1708 Ot II 411	Fr Sp							
Nov Dec	1708	1708 Sp 412	1708 Ot I 412	1708 Ot II 412	Fr Sp							
Jan Feb	1709	1709 Sp 413	1709 Ot I 413	1709 Ot II 413	Fr Sp							
Mar Apr	1709	1709 Sp 414	1709 Ot I 414	1709 Ot II 414	Fr Sp							
May Jun	1709	1709 Sp 415	1709 Ot I 415	1709 Ot II 415	Fr Sp							
Jul Aug	1709	1709 Sp 416	1709 Ot I 416	1709 Ot II 416	Fr Sp							
Sep Oct	1709	1709 Sp 417	1709 Ot I 417	1709 Ot II 417	Fr Sp							
Nov Dec	1709	1709 Sp 418	1709 Ot I 418	1709 Ot II 418	Fr Sp							
Jan Feb	1710	1710 Sp 419	1710 Ot I 419	1710 Ot II 419	Fr Sp							
Mar Apr	1710	1710 Sp 420	1710 Ot I 420	1710 Ot II 420	Fr Sp							
May Jun	1710	1710 Sp 421	1710 Ot I 421	1710 Ot II 421	Fr Sp							
Jul Aug	1710	1710 Sp 422	1710 Ot I 422	1710 Ot II 422	Fr Sp							
Sep Oct	1710	1710 Sp 423	1710 Ot I 423	1710 Ot II 423	Fr Sp							
Nov Dec	1710	1710 Sp 424	1710 Ot I 424	1710 Ot II 424	Fr Sp							
Jan Feb	1711	1711 Sp 425	1711 Ot I 425	1711 Ot II 425	Fr Sp							
Mar Apr	1711	1711 Sp 426	1711 Ot I 426	1711 Ot II 426	Fr Sp							
May Jun	1711	1711 Sp 427	1711 Ot I 427	1711 Ot II 427	Fr Sp							
Jul Aug	1711	1711 Sp 428	1711 Ot I 428	1711 Ot II 428	Fr Sp							
Sep Oct	1711	1711 Sp 429	1711 Ot I 429	1711 Ot II 429	Fr Sp							
Nov Dec	1711	1711 Sp 430	1711 Ot I 430	1711 Ot II 430	Fr Sp							
Jan Feb	1712	1712 Sp 431	1712 Ot I 431	1712 Ot II 431	Fr Sp							
Mar Apr	1712	1712 Sp 432	1712 Ot I 432	1712 Ot II 432	Fr Sp							
May Jun	1712	1712 Sp 433	1712 Ot I 433	1712 Ot II 433	Fr Sp							
Jul Aug	1712	1712 Sp 434	1712 Ot I 434	1712 Ot II 434	Fr Sp							
Sep Oct	1712	1712 Sp 435	1712 Ot I 435	1712 Ot II 435	Fr Sp							
Nov Dec	1712	1712 Sp 436	1712 Ot I 436	1712 Ot II 436	Fr Sp							
Jan Feb	1713	1713 Sp 437	1713 Ot I 437	1713 Ot II 437	Fr Sp							
Mar Apr	1713	1713 Sp 438	1713 Ot I 438	1713 Ot II 438	Fr Sp							
May Jun	1713	1713 Sp 439	1713 Ot I 439	1713 Ot II 439	Fr Sp							
Jul Aug	1713	1713 Sp 440	1713 Ot I 440	1713 Ot II 440	Fr Sp							
Sep Oct	1713	1713 Sp 441	1713 Ot I 441	1713 Ot II 441	Fr Sp							
Nov Dec	1713	1713 Sp 442	1713 Ot I 442	1713 Ot II 442	Fr Sp							
Jan Feb	1714	1714 Sp 443	1714 Ot I 443	1714 Ot II 443	Fr Sp							
Mar Apr	1714	1714 Sp 444	1714 Ot I 444	1714 Ot II 444	Fr Sp							
May Jun	1714	1714 Sp 445	1714 Ot I 445	1714 Ot II 445	Fr Sp							
Jul Aug	1714	1714 Sp 446	1714 Ot I 446	1714 Ot II 446	Fr Sp							
Sep Oct	1714	1714 Sp 447	1714 Ot I 447	1714 Ot II 447								
Nov Dec	1714	1714 Sp 448	1714 Ot I 448	1714 Ot II 448								
Jan Feb	1715	1715 Sp 449	1715 Ot I 449	1715 Ot II 449								
Mar Apr	1715	1715 Sp 450	1715 Ot I 450	1715 Ot II 450								
May Jun	1715	1715 Sp 451	1715 Ot I 451	1715 Ot II 451								
Jul Aug	1715	1715 Sp 452	1715 Ot I 452	1715 Ot II 452								
Sep Oct	1715	1715 Sp 453	1715 Ot I 453	1715 Ot II 453								
Nov Dec	1715	1715 Sp 454	1715 Ot I 454	1715 Ot II 454								
Jan Feb	1716	1716 Sp 455	1716 Ot I 455	1716 Ot II 455								
Mar Apr	1716	1716 Sp 456	1716 Ot I 456	1716 Ot II 456								
May Jun	1716	1716 Sp 457	1716 Ot I 457	1716 Ot II 457								
Jul Aug	1716	1716 Sp 458	1716 Ot I 458	1716 Ot II 458								
Sep Oct	1716	1716 Sp 459	1716 Ot I 459	1716 Ot II 459								
Nov Dec	1716	1716 Sp 460	1716 Ot I 460	1716 Ot II 460								
Jan Feb	1717	1717 Sp 461	1717 Ot I 461	1717 Ot II 461								
Mar Apr	1717	1717 Sp 462	1717 Ot I 462	1717 Ot II 462								
May Jun	1717	1717 Sp 463	1717 Ot I 463	1717 Ot II 463								
Jul Aug	1717	1717 Sp 464	1717 Ot I 464	1717 Ot II 464								
Sep Oct	1717	1717 Sp 465	1717 Ot I 465	1717 Ot II 465								
Nov Dec	1717	1717 Sp 466	1717 Ot I 466	1717 Ot II 466								
Jan Feb	1718	1718 Sp 467	1718 Ot I 467	1718 Ot II 467								
Mar Apr	1718	1718 Sp 468	1718 Ot I 468	1718 Ot II 468								
May Jun	1718	1718 Sp 469	1718 Ot I 469	1718 Ot II 469							Blackbeard assault	
Jul Aug	1718	1718 Sp 470	1718 Ot I 470	1718 Ot II 470	Sp							
Sep Oct	1718	1718 Sp 471	1718 Ot I 471	1718 Ot II 471	Sp							
Nov Dec	1718	1718 Sp 472	1718 Ot I 472	1718 Ot II 472	Sp							
Jan Feb	1719	1719 Sp 473	1719 Ot I 473	1719 Ot II 473	Sp							
Mar Apr	1719	1719 Sp 474	1719 Ot I 474	1719 Ot II 474	Sp							
May Jun	1719	1719 Sp 475	1719 Ot I 475	1719 Ot II 475	Sp							
Jul Aug	1719	1719 Sp 476	1719 Ot I 476	1719 Ot II 476	Sp							
Sep Oct	1719	1719 Sp 477	1719 Ot I 477	1719 Ot II 477	Sp							
Nov Dec	1719	1719 Sp 478	1719 Ot I 478	1719 Ot II 478	Sp							
Jan Feb	1720	1720 Sp 479	1720 Ot I 479	1720 Ot II 479	Sp							
Mar Apr	1720	1720 Sp 480	1720 Ot I 480	1720 Ot II 480								
May Jun	1720	1720 Sp 481	1720 Ot I 481	1720 Ot II 481								
Jul Aug	1720	1720 Sp 482	1720 Ot I 482	1720 Ot II 482								
Sep Oct	1720	1720 Sp 483	1720 Ot I 483	1720 Ot II 483								
Nov Dec	1720	1720 Sp 484	1720 Ot I 484	1720 Ot II 484								
Jan Feb	1721	1721 Sp 485	1721 Ot I 485	1721 Ot II 485								
Mar Apr	1721	1721 Sp 486	1721 Ot I 486	1721 Ot II 486								
May Jun	1721	1721 Sp 487	1721 Ot I 487	1721 Ot II 487								
Jul Aug	1721	1721 Sp 488	1721 Ot I 488	1721 Ot II 488								
Sep Oct	1721	1721 Sp 489	1721 Ot I 489	1721 Ot II 489								
Nov Dec	1721	1721 Sp 490	1721 Ot I 490	1721 Ot II 490								
Jan Feb	1722	1722 Sp 491	1722 Ot I 491	1722 Ot II 491							Lowder assault	
Mar Apr	1722	1722 Sp 492	1722 Ot I 492	1722 Ot II 492								
May Jun	1722	1722 Sp 493	1722 Ot I 493	1722 Ot II 493								
Jul Aug	1722	1722 Sp 494	1722 Ot I 494	1722 Ot II 494								
Sep Oct	1722	1722 Sp 495	1722 Ot I 495	1722 Ot II 495								
Nov Dec	1722	1722 Sp 496	1722 Ot I 496	1722 Ot II 496								
Jan Feb	1723	1723 Sp 497	1723 Ot I 497	1723 Ot II 497								
Mar Apr	1723	1723 Sp 498	1723 Ot I 498	1723 Ot II 498		Pir Sp					Low Lowder massacre	
May Jun	1723	1723 Sp 499	1723 Ot I 499	1723 Ot II 499								
Jul Aug	1723	1723 Sp 500	1723 Ot I 500	1723 Ot II 500		Pir Sp						
Sep Oct	1723	1723 Sp 501	1723 Ot I 501	1723 Ot II 501		Pir						
Nov Dec	1723	1723 Sp 502	1723 Ot I 502	1723 Ot II 502								
Jan Feb	1724	1724 Sp 503	1724 Ot I 503	1724 Ot II 503								
Mar Apr	1724	1724 Sp 504	1724 Ot I 504	1724 Ot II 504								
May Jun	1724	1724 Sp 505	1724 Ot I 505	1724 Ot II 505		Sp						
Jul Aug	1724	1724 Sp 506	1724 Ot I 506	1724 Ot II 506		Pir Sp						
Sep Oct	1724	1724 Sp 507	1724 Ot I 507	1724 Ot II 507							Spriggs assault	
Nov Dec	1724	1724 Sp 508	1724 Ot I 508	1724 Ot II 508							Shipton assault	
Jan Feb	1725	1725 Sp 509	1725 Ot I 509	1725 Ot II 509								
Mar Apr	1725	1725 Sp 510	1725 Ot I 510	1725 Ot II 510							"Spriggs, Shipton assault"	
May Jun	1725	1725 Sp 511	1725 Ot I 511	1725 Ot II 511								
Jul Aug	1725	1725 Sp 512	1725 Ot I 512	1725 Ot II 512								
Sep Oct	1725	1725 Sp 513	1725 Ot I 513	1725 Ot II 513								
Nov Dec	1725	1725 Sp 514	1725 Ot I 514	1725 Ot II 514		Pir						
Jan Feb	1726	1726 Sp 515	1726 Ot I 515	1726 Ot II 515								
Mar Apr	1726	1726 Sp 516	1726 Ot I 516	1726 Ot II 516	Sp							
May Jun	1726	1726 Sp 517	1726 Ot I 517	1726 Ot II 517	Sp							
Jul Aug	1726	1726 Sp 518	1726 Ot I 518	1726 Ot II 518	Sp							
Sep Oct	1726	1726 Sp 519	1726 Ot I 519	1726 Ot II 519	Sp							
Nov Dec	1726	1726 Sp 520	1726 Ot I 520	1726 Ot II 520	Sp							
Jan Feb	1727	1727 Sp 521	1727 Ot I 521	1727 Ot II 521	Sp							
Mar Apr	1727	1727 Sp 522	1727 Ot I 522	1727 Ot II 522	Sp							
May Jun	1727	1727 Sp 523	1727 Ot I 523	1727 Ot II 523	Sp							
Jul Aug	1727	1727 Sp 524	1727 Ot I 524	1727 Ot II 524	Sp							
Sep Oct	1727	1727 Sp 525	1727 Ot I 525	1727 Ot II 525	Sp							
Nov Dec	1727	1727 Sp 526	1727 Ot I 526	1727 Ot II 526	Sp							
Jan Feb	1728	1728 Sp 527	1728 Ot I 527	1728 Ot II 527	Sp							
Mar Apr	1728	1728 Sp 528	1728 Ot I 528	1728 Ot II 528								
May Jun	1728	1728 Sp 529	1728 Ot I 529	1728 Ot II 529								
Jul Aug	1728	1728 Sp 530	1728 Ot I 530	1728 Ot II 530								
Sep Oct	1728	1728 Sp 531	1728 Ot I 531	1728 Ot II 531								
Nov Dec	1728	1728 Sp 532	1728 Ot I 532	1728 Ot II 532		Sp				Assault		
Jan Feb	1729	1729 Sp 533	1729 Ot I 533	1729 Ot II 533								
Mar Apr	1729	1729 Sp 534	1729 Ot I 534	1729 Ot II 534		Pir Sp						
May Jun	1729	1729 Sp 535	1729 Ot I 535	1729 Ot II 535								
Jul Aug	1729	1729 Sp 536	1729 Ot I 536	1729 Ot II 536		Sp						
Sep Oct	1729	1729 Sp 537	1729 Ot I 537	1729 Ot II 537								
Nov Dec	1729	1729 Sp 538	1729 Ot I 538	1729 Ot II 538								
Jan Feb	1730	1730 Sp 539	1730 Ot I 539	1730 Ot II 539								
Mar Apr	1730	1730 Sp 540	1730 Ot I 540	1730 Ot II 540								
May Jun	1730	1730 Sp 541	1730 Ot I 541	1730 Ot II 541		Sp						
Jul Aug	1730	1730 Sp 542	1730 Ot I 542	1730 Ot II 542								
Sep Oct	1730	1730 Sp 543	1730 Ot I 543	1730 Ot II 543								
Nov Dec	1730	1730 Sp 544	1730 Ot I 544	1730 Ot II 544								
Jan Feb	1731	1731 Sp 545	1731 Ot I 545	1731 Ot II 545								
Mar Apr	1731	1731 Sp 546	1731 Ot I 546	1731 Ot II 546		Sp				Assault		
May Jun	1731	1731 Sp 547	1731 Ot I 547	1731 Ot II 547		Sp						
Jul Aug	1731	1731 Sp 548	1731 Ot I 548	1731 Ot II 548		Sp						
Sep Oct	1731	1731 Sp 549	1731 Ot I 549	1731 Ot II 549		Sp						
Nov Dec	1731	1731 Sp 550	1731 Ot I 550	1731 Ot II 550			Sp					
Jan Feb	1732	1732 Sp 551	1732 Ot I 551	1732 Ot II 551			Sp					
Mar Apr	1732	1732 Sp 552	1732 Ot I 552	1732 Ot II 552		Sp	Sp					
May Jun	1732	1732 Sp 553	1732 Ot I 553	1732 Ot II 553		Sp						
Jul Aug	1732	1732 Sp 554	1732 Ot I 554	1732 Ot II 554						Assault ?		
Sep Oct	1732	1732 Sp 555	1732 Ot I 555	1732 Ot II 555								
Nov Dec	1732	1732 Sp 556	1732 Ot I 556	1732 Ot II 556								
Jan Feb	1733	1733 Sp 557	1733 Ot I 557	1733 Ot II 557								
Mar Apr	1733	1733 Sp 558	1733 Ot I 558	1733 Ot II 558								
May Jun	1733	1733 Sp 559	1733 Ot I 559	1733 Ot II 559								
Jul Aug	1733	1733 Sp 560	1733 Ot I 560	1733 Ot II 560								
Sep Oct	1733	1733 Sp 561	1733 Ot I 561	1733 Ot II 561								
Nov Dec	1733	1733 Sp 562	1733 Ot I 562	1733 Ot II 562		Sp						
Jan Feb	1734	1734 Sp 563	1734 Ot I 563	1734 Ot II 563						Assault		
Mar Apr	1734	1734 Sp 564	1734 Ot I 564	1734 Ot II 564								
May Jun	1734	1734 Sp 565	1734 Ot I 565	1734 Ot II 565								
Jul Aug	1734	1734 Sp 566	1734 Ot I 566	1734 Ot II 566								
Sep Oct	1734	1734 Sp 567	1734 Ot I 567	1734 Ot II 567		Sp						
Nov Dec	1734	1734 Sp 568	1734 Ot I 568	1734 Ot II 568		Sp ?						
Jan Feb	1735	1735 Sp 569	1735 Ot I 569	1735 Ot II 569								
Mar Apr	1735	1735 Sp 570	1735 Ot I 570	1735 Ot II 570								
May Jun	1735	1735 Sp 571	1735 Ot I 571	1735 Ot II 571								
Jul Aug	1735	1735 Sp 572	1735 Ot I 572	1735 Ot II 572								
Sep Oct	1735	1735 Sp 573	1735 Ot I 573	1735 Ot II 573		Sp				Raid		
Nov Dec	1735	1735 Sp 574	1735 Ot I 574	1735 Ot II 574								
Jan Feb	1736	1736 Sp 575	1736 Ot I 575	1736 Ot II 575								
Mar Apr	1736	1736 Sp 576	1736 Ot I 576	1736 Ot II 576		Sp				Assault ?		
May Jun	1736	1736 Sp 577	1736 Ot I 577	1736 Ot II 577								
Jul Aug	1736	1736 Sp 578	1736 Ot I 578	1736 Ot II 578								
Sep Oct	1736	1736 Sp 579	1736 Ot I 579	1736 Ot II 579								
Nov Dec	1736	1736 Sp 580	1736 Ot I 580	1736 Ot II 580		Sp						
Jan Feb	1737	1737 Sp 581	1737 Ot I 581	1737 Ot II 581								
Mar Apr	1737	1737 Sp 582	1737 Ot I 582	1737 Ot II 582						Assault	Diphtheria ?	
May Jun	1737	1737 Sp 583	1737 Ot I 583	1737 Ot II 583								
Jul Aug	1737	1737 Sp 584	1737 Ot I 584	1737 Ot II 584		Sp				Assault		
Sep Oct	1737	1737 Sp 585	1737 Ot I 585	1737 Ot II 585								
Nov Dec	1737	1737 Sp 586	1737 Ot I 586	1737 Ot II 586		Sp						
Jan Feb	1738	1738 Sp 587	1738 Ot I 587	1738 Ot II 587		Sp						
Mar Apr	1738	1738 Sp 588	1738 Ot I 588	1738 Ot II 588		Sp						
May Jun	1738	1738 Sp 589	1738 Ot I 589	1738 Ot II 589								
Jul Aug	1738	1738 Sp 590	1738 Ot I 590	1738 Ot II 590		Sp						
Sep Oct	1738	1738 Sp 591	1738 Ot I 591	1738 Ot II 591								
Nov Dec	1738	1738 Sp 592	1738 Ot I 592	1738 Ot II 592								
Jan Feb	1739	1739 Sp 593	1739 Ot I 593	1739 Ot II 593		Sp						
Mar Apr	1739	1739 Sp 594	1739 Ot I 594	1739 Ot II 594		Sp				Assault		
May Jun	1739	1739 Sp 595	1739 Ot I 595	1739 Ot II 595		Sp						
Jul Aug	1739	1739 Sp 596	1739 Ot I 596	1739 Ot II 596								
Sep Oct	1739	1739 Sp 597	1739 Ot I 597	1739 Ot II 597	Sp	Sp						
Nov Dec	1739	1739 Sp 598	1739 Ot I 598	1739 Ot II 598	Sp							
Jan Feb	1740	1740 Sp 599	1740 Ot I 599	1740 Ot II 599	Sp	Sp					Depression ?	
Mar Apr	1740	1740 Sp 600	1740 Ot I 600	1740 Ot II 600	Sp	Sp						
May Jun	1740	1740 Sp 601	1740 Ot I 601	1740 Ot II 601	Sp							
Jul Aug	1740	1740 Sp 602	1740 Ot I 602	1740 Ot II 602	Sp	Sp						
Sep Oct	1740	1740 Sp 603	1740 Ot I 603	1740 Ot II 603	Sp	Sp						
Nov Dec	1740	1740 Sp 604	1740 Ot I 604	1740 Ot II 604	Sp							
Jan Feb	1741	1741 Sp 605	1741 Ot I 605	1741 Ot II 605	Sp	Sp				Assault		
Mar Apr	1741	1741 Sp 606	1741 Ot I 606	1741 Ot II 606	Sp							
May Jun	1741	1741 Sp 607	1741 Ot I 607	1741 Ot II 607	Sp							
Jul Aug	1741	1741 Sp 608	1741 Ot I 608	1741 Ot II 608	Sp	Sp						
Sep Oct	1741	1741 Sp 609	1741 Ot I 609	1741 Ot II 609	Sp							
Nov Dec	1741	1741 Sp 610	1741 Ot I 610	1741 Ot II 610	Sp							
Jan Feb	1742	1742 Sp 611	1742 Ot I 611	1742 Ot II 611	Sp	Sp					Bay charge Panama	
Mar Apr	1742	1742 Sp 612	1742 Ot I 612	1742 Ot II 612	Sp							
May Jun	1742	1742 Sp 613	1742 Ot I 613	1742 Ot II 613	Sp							
Jul Aug	1742	1742 Sp 614	1742 Ot I 614	1742 Ot II 614	Sp							
Sep Oct	1742	1742 Sp 615	1742 Ot I 615	1742 Ot II 615	Sp							
Nov Dec	1742	1742 Sp 616	1742 Ot I 616	1742 Ot II 616	Sp							
Jan Feb	1743	1743 Sp 617	1743 Ot I 617	1743 Ot II 617	Sp							
Mar Apr	1743	1743 Sp 618	1743 Ot I 618	1743 Ot II 618	Sp							
May Jun	1743	1743 Sp 619	1743 Ot I 619	1743 Ot II 619	Sp	Sp						
Jul Aug	1743	1743 Sp 620	1743 Ot I 620	1743 Ot II 620	Sp							
Sep Oct	1743	1743 Sp 621	1743 Ot I 621	1743 Ot II 621	Sp						Bay Hope scheme	
Nov Dec	1743	1743 Sp 622	1743 Ot I 622	1743 Ot II 622	Sp							
Jan Feb	1744	1744 Sp 623	1744 Ot I 623	1744 Ot II 623	Sp							
Mar Apr	1744	1744 Sp 624	1744 Ot I 624	1744 Ot II 624	Sp							
May Jun	1744	1744 Sp 625	1744 Ot I 625	1744 Ot II 625	Sp	Sp						
Jul Aug	1744	1744 Sp 626	1744 Ot I 626	1744 Ot II 626	Sp							
Sep Oct	1744	1744 Sp 627	1744 Ot I 627	1744 Ot II 627	Sp							
Nov Dec	1744	1744 Sp 628	1744 Ot I 628	1744 Ot II 628	Sp							
Jan Feb	1745	1745 Sp 629	1745 Ot I 629	1745 Ot II 629	Sp							
Mar Apr	1745	1745 Sp 630	1745 Ot I 630	1745 Ot II 630	Sp							
May Jun	1745	1745 Sp 631	1745 Ot I 631	1745 Ot II 631	Sp							
Jul Aug	1745	1745 Sp 632	1745 Ot I 632	1745 Ot II 632	Sp							
Sep Oct	1745	1745 Sp 633	1745 Ot I 633	1745 Ot II 633	Sp	Fr				Assault		
Nov Dec	1745	1745 Sp 634	1745 Ot I 634	1745 Ot II 634	Sp							
Jan Feb	1746	1746 Sp 635	1746 Ot I 635	1746 Ot II 635	Sp	Sp						
Mar Apr	1746	1746 Sp 636	1746 Ot I 636	1746 Ot II 636	Sp							
May Jun	1746	1746 Sp 637	1746 Ot I 637	1746 Ot II 637	Sp							
Jul Aug	1746	1746 Sp 638	1746 Ot I 638	1746 Ot II 638	Sp							
Sep Oct	1746	1746 Sp 639	1746 Ot I 639	1746 Ot II 639	Sp							
Nov Dec	1746	1746 Sp 640	1746 Ot I 640	1746 Ot II 640	Sp							
Jan Feb	1747	1747 Sp 641	1747 Ot I 641	1747 Ot II 641	Sp							
Mar Apr	1747	1747 Sp 642	1747 Ot I 642	1747 Ot II 642	Sp							
May Jun	1747	1747 Sp 643	1747 Ot I 643	1747 Ot II 643	Sp	Sp						
Jul Aug	1747	1747 Sp 644	1747 Ot I 644	1747 Ot II 644	Sp							
Sep Oct	1747	1747 Sp 645	1747 Ot I 645	1747 Ot II 645	Sp							
Nov Dec	1747	1747 Sp 646	1747 Ot I 646	1747 Ot II 646	Sp							
Jan Feb	1748	1748 Sp 647	1748 Ot I 647	1748 Ot II 647	Sp							
Mar Apr	1748	1748 Sp 648	1748 Ot I 648	1748 Ot II 648	Sp							
May Jun	1748	1748 Sp 649	1748 Ot I 649	1748 Ot II 649								
Jul Aug	1748	1748 Sp 650	1748 Ot I 650	1748 Ot II 650								
Sep Oct	1748	1748 Sp 651	1748 Ot I 651	1748 Ot II 651		Sp						
Nov Dec	1748	1748 Sp 652	1748 Ot I 652	1748 Ot II 652								
Jan Feb	1749	1749 Sp 653	1749 Ot I 653	1749 Ot II 653								
Mar Apr	1749	1749 Sp 654	1749 Ot I 654	1749 Ot II 654								
May Jun	1749	1749 Sp 655	1749 Ot I 655	1749 Ot II 655								
Jul Aug	1749	1749 Sp 656	1749 Ot I 656	1749 Ot II 656								
Sep Oct	1749	1749 Sp 657	1749 Ot I 657	1749 Ot II 657								
Nov Dec	1749	1749 Sp 658	1749 Ot I 658	1749 Ot II 658								
Jan Feb	1750	1750 Sp 659	1750 Ot I 659	1750 Ot II 659								
Mar Apr	1750	1750 Sp 660	1750 Ot I 660	1750 Ot II 660							"Fever, ague"	
May Jun	1750	1750 Sp 661	1750 Ot I 661	1750 Ot II 661		Sp				Assault		
Jul Aug	1750	1750 Sp 662	1750 Ot I 662	1750 Ot II 662		Sp						
