Redwoods: R 1—8 / New World redwoods.
ID	NO	ORIGINAL	SUFFIX	DATE	HABITAT /Original	CF	STATUS	KEW	SUFFIX	DATE	CF	RANGE < 1950 DESCENDING /GBIF	NATIVE /RBG KEW	NATIVE ISLANDS? /RBG KEW	NATIVE ISLANDS? /MCJUNKIN	PRECURSOR	CHROMOPHORE	MUNSELL HUES	
		Caesalpinia crista	L.	1753	Zeylona	Species Plantarum 1 p380	Unp					"Asia, Mexico, USA, Belize, Panama, PR "	SE Asia			Brazilin	Brazilein	R – RP	
		Haematoxylum campechianum	L.	1753	Campeche Americes	Species Plantarum 1 p384	Acc					"Mexico, Jamaica, PR, Bahamas, USA, USVI, Cuba, AA, Belize, DR, Asia, Africa"	"SE Mexico, N NE Cen Am"	?	No	Haematoxylin	Haematein	P – PB	
		Caesalpinia sappan	L.	1753	Indiis	Species Plantarum 1 p381	Syn	Biancaea sappan	L.	1875	Hortus Botanicus Panormitanus 1(1) p3	"Asia, Cuba, Africa, USVI"	SE Asia			Brazilin	Brazilein	R – RP	
		Caesalpinia brasiliensis	L.	1753	"Jamaicae, Carolinae collibus"	Species Plantarum 1 p380	Acc						Hispaniola	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia vesicaria	L.	1753	America calidiore	Species Plantarum 1 p381	Syn	Tara vesicaria	L.	2016	Weberbauerella 1(8) p5	"Mexico, Cuba, Bahamas, Haiti, Jamaica, Nicaragua"	"SE Mexico, NE Cen Am, N NW WI"	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia echinata	Lam.	1785	"Brésil, dans les bois et parmi les rochers"	Encyclopédie Méthodique 1(2) p461	Syn	Paubrasilia echinata	Lam.	2016	Phytokeys 71 p39	"Brazil, TT"	NE SE Brazil			Brazilin	Brazilein	R – RP	
		Haematoxylum brasiletto	H. Karst.	1859	regiones calidas et aridas montanas ad pedes Andium Columbiae septentrionalis	Florae Columbiae 2 p27	Acc					"Mexico, Nicaragua, Venezuela, Curaçao, Belize, Guatemala"	"Mexico, Cen Am, NE Sth Am"	?	Yes	Brazilin	Brazilein	R – RP	
		Caesalpinia violacea	Standl.	1935		Carnegie Inst. Wash. 461 p61	Syn	Coulteria cubensis	Greenm.	2017	Phytotaxa 291(1) p35	"Mexico, Belize, Cuba, Jamaica"	"SE Mexico, N NE Cen Am, NW WI"	Yes		Brazilin	Brazilein	R – RP	


P estimates: P 1—50 / Pre-censal estimates of population or of proxies for population.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	PLACE	PLACES	FOR	CF	VIA	NOTE	
E 		1			1 Dec 1631	28 Feb 1632	Capt. Elfrith entertains Diego el Mulato	"Prov Co condemns Capt. Daniel Elfrith for entertaining Diego el Mulato at Prov, against Prov Co or War Council [of Prov] advice"	Prov		Diego el Mulato / Capt. Daniel Elfrith									CSPC 1 [May 1632 -- 10 May.]		"[Prov Co] Condemn his indiscretion in too freely entertaining ""a Mulletto, as you call him"" in the island, against advice of Council, and in taking a Spanish frigate; but in consideration of his good services, are content not to take notice of former errors. /CSPC 1

Releases his guide to the Caribbean /Pargellis /via Kupperman

Possibly Diego Martin = Diego de la Cruz = Diego de los Reyes = Dieguillo = Diego el Mulato = El Mulato = Capt Lucifer of Cornieles = first mate of the Hollanders /Wright/van Dam, v 2, 249

[Captain Domingo de] Tartas reports that when they conquered Campeche, the Dutch were led by a mulatto named Diego Martin, born in Havana. This man was a formidable pirate. He [Tartas] was told that he [Diego] had been brought up among the Dutch; so much is certain that he was already associated with them in this year 1633, later also in Curaçao ([Wright/van Dam, v 1,] page 128, note 2 and the beginning of Document No. 29) and in 1638, when he was said to have served under Jol in the battle at the height of Cabañas (cf. AGI 141-1-16, The Council for War Affairs in the Indies to His Majesty, May 16, 1638). In May of the year 1638, El Mulato asked forgiveness from the Spanish Crown, which was soon granted. But he did not appear in Havana, where he had offered to go; and in 1641 he was robbing and murdering in the name of the Prince of Orange. Cf. AGI 54-1-17, Riaño at the Crown, Havana, November 13, 1638; 147-5-22 The Council for War Affairs in the Indies to His Majesty, March 4, 1639; 78-2-3, Vol. 10, f. 131r, and f. 133, cédulas to Diego Martin, 15 March 1639; to Riaño of the same date; f. 183, cédula to the governor of Margarita, Saragossa, August 5, 1645, in which he is warned that Dieguillo was plotting with the Duke of Braganza for the purpose of taking possession of the island for Portugal; 54-2-11, 16 September 1639, Riaño hands over to his successor cédulas concerning Diego Martin; 54-1-18, 1 September 1641, Diego el Mulato takes possession of an advisory boat from Cartagena at the height of Havana, with a considerable loss of human life on the part of the Spaniards, to whom he orders to ""fly the flag for the Prince of Orange”. /Wright/van Dam, v 1, 297"	
E 		1			1 Jan 1632	30 Dec 1632	Tovilla entrada	"Audiencia of Guatemala send Capt Martín Alfonso Tovilla to Manche Chol territory to help Dominican fray Francisco Morán reduce recently revolted Manche Chol Mayas, during which they are attacked by Itza Mayas"	Manche	Pres of Aud of Guatemala Diego de Acuña / Capt Martín Alfonso Tovilla / Francisco Morán 20 soldiers										Ximenes lib 4 cap 68	Jones 2 p51		
E 		1			1 Apr 1632	4 Sep 1632	WIC Thijsz Expedition	WIC send Marten Thijsz against Sp	"Olinda, Barbados, Ile a Vache, Havana"		Marten Thijsz 22 Ships									"Old WIC, 1.05.01.01, 2 [29 Dec 1631] 
Old WIC, 1.05.01.01, 45 [Resolutions of Adm. M. Thijsz and his councils]
Laet/Naber, v 3, 89, 117–119"	Goslinga 224		
E 		1			14 Jun 1632	1 Sep 1632	WIC Stapels Survey	"WIC sends Galeyn von Stapels to survey Yuc coast on Gulf of Mexico, and he thereafter raids and burns Sisal"	"Bonaire, Île-à-Vache, Cayman, Cape Catoche, Sisal, Campeche, Havanah"		Galeyn von Stapels / 2 Yachts 1 Sloop									"Old WIC, 1.05.01.01, 45 [14 Jun 1632]
Old WIC, 1.05.01.01, 50, 51"	"Goslinga p225-228
Laet portugues 357-258"	"Reached Bonaire in Jul, Sacked Sisal after this
Remove? Does not survey Hon"	
E 		1			1 Oct 1632	30 Dec 1634	Hunter Expedition	"English privateers, under letters of marque from Prince of Orange against Sp, cruise Mona and Windward passages"	"Rotterdam, Dover, Canary Islands, Tortuga, Mona Passage, Windward Passage, Rotterdam"		Capt. Powell / Thomas Newman / Gov of Tortuga Anthony Hilton									"CSPD Car I vol 282 no 89, 90"	Newton 153-154		
E 		1			1 Jan 1633	31 Dec 1633	Eng logging at Tortuga	First export of “braziletto” [unknown dyewood] by Eng under Capt. Anthony Hilton from Tortuga = Association to France	Tortuga		Capt. Anthony Hilton / Neg slaves / Agent of Prov or Tort in France Abraham Chamberlain									"CO 124/1 [18 Feb, 10 Apr, 1 Jul 1633 / 14 Feb, 13, 19 Jun, 18 Jul 1634 / 5, 9 Mar 1635]"	"Offen 00 p122 = Kupperman 310, 167 / Newton 152, 289"	"Logwood introduced to Tortuga until 1929, whereas brazil wood not endemic to it, and likely not introduced [given 1990s distribution of brazil wood restricted to its endemic range] /McJunkin 217, 245

Exp to Canary Islands 1648–58? /LRS 21 Link: https://www.british-history.ac.uk/london-record-soc/vol21"	
E 		1			26 Apr 1633	18 Sep 1633	WIC Hoorn Expedition	"WIC send Jan Janszoon van Hoorn to sack Trujillo, though he finds the town abandoned, and thereafter proceeds to Campeche to raid San Francisco"	"Pernambuco, Barbados, Puerto Rico, île-à-Vache, Cayman, Trujillo, Cozumel, Campeche, Straits of Florida"		Jan Janszoon van Hoorn / CC Jol / Diego de los Reyes 4 Ships 3 Yachts 3 Sloops 518 sailors 420 soldiers									"Old WIC, 1.05.01.01, 2 [3 Nov 1632]
Laet/Naber, v 3, 187-96
Duro, v 4, 115-16
MEXICO,360 ff 1 [16 ago 1634]
SANTA_FE,223 [Juan de Nicolde a Corona, Londres a 7 abril 1634]"	"Goslinga p226
Laet portugues 407-413
Baudot p29 n15"	"Also raids San Francisco in Bay of Campeche, partly in order to make Maya allies per AGI item
“No dia 21, zarparam dalli [Trujillo] ... e tiveram tempo borrascoco. / No dia 25, avistaram a ilha Cozumel; é baixa e plana, de sorte que não pode ser vista de longe. / ... a corrente vae com força para o norte” /via Laet portugues 410"	
E 		1			1 Jul 1633	30 Dec 1635	Providence Trade Expedition	"Gov of Prov Sussex Camock, Capt. Samuel Axe, Nathaniel Goodman, Abraham Blauvelt and 50 men set out from Prov to mainland to secure trade, thereafter establishing alliance with Miskito"	"Prov, Cape Gracias a Dios"		Gov of Prov Sussex Camock / Capt. Samuel Axe / Nathaniel Goodman / Abraham Blauvelt / 50 men									"CO 124/1 [10 May 1632 / 10 Apr, 1 Jul 1633 / Prov Co to Gov and Council by the Long Robert Sep 1634 / Prov Co to Bell by the Expectation Feb or Mar 1635]
CO 124/2 [22 May 1633, 24 Dec 1634]
Egerton MS 2646 f 58"	"Kupperman p95-8 n45-51, p100-4
Offen 11"	"Records of survey notes of Expedition, which apparently split into separate groups, likely not extant /via Kupperman p100"	
E 		1			1 Feb 1634	30 Sep 1635	Bu cruise for prizes	"Buccaneers or privateers impress Sp pilot Baltasar Banegas, and cruise for prizes off Cuba, Hispaniola, and Main, where they engage with Sp armadilla fm Cartagena"	"Cuba, Tortuga, Cartagena, Cabo Tiburón, Cabo Francés, Honduras"	Baltasar Banegas / Maestre de Campo Francisco de Murga	1 Urca 1 Patache / 130 men									"Wright/van Dam, v 2, *11–*12
Laet/Naber, v 4, 190"	Goslinga 235	"Pieter Janszoon van Domburgh w 1 Ship 1 Yacht? eg meets CC Jol near Cartagena during WIC Jol Expedition /via Goslinga 235

Y por ella [testimonio tomado en 10 de agosto de 1635 a Baltasar Banegas, piloto platico y vezino de Havana, a quien el enemigo abra año y medio prendio en una canoa andando en la costa del sur de Cuba a pescar tortugas, y aora se avia uido de el enemigo] pareze aver andado con el en una urca y un patache desde dos de agosto de el año passado de seiscientos y treinta y quatro, y que avian echo algunas pressas en este tiempo, y allandose en la ysla de la Tortuga quando la ynfanteria de Santo Domingo echo los enemigos de ella. Y desques fue a la costa de Tierra Firme, adonde avian cojido una fregata de un beçino de la ciudad de Cartajena. Y que el Maese de Campo Francisco de Murga avia despachado una armadilla en busca de ellos. Peleando con ella, avian echado la almiranta a pique. Y que a 5 de julio deste año bieron entrar los galeones de la plata en Cartajena, y que el se fue la buelta de el cavo de Tiburon. Y a 14 de julio avia despachado el patache con el dicho Baltasar Banegas que fuese la buelta de cavo de Cruz, y por dentro de los bajos fuese corriendo la costa desta ysla, y la urca por fuera, hasta Puerto Franzes, donde a catorze de agosto se avian de junar, y quemar alli el patache, como lo hicieron. Y que el se uyo en esta ocasion, porque no lo avia podido hacer antes. Esta urca trae treinta piecas y ciento y treinta hombres. Tengo [Francisco Riaño y Gamboa, Havana] avisso cierto fue la buelta de Honduras en busca de los navios que an de benir de aquella provinzia, que aun [26 sep 1635] no an llegado a este puerto. /Wright/van Dam v 2 *11"	
E 		1			4 May 1634	30 Jul 1634	WIC Conquest of Curaçao	WIC send Joannes van Walbeeck and Pierre le Grand to establish settlement at Curaçao	"Netherlands, Barbados, St. Vincent, Bonaire, Curaçao"	Gov of Curaçao Lope López de Morla / Mayor Juan Mateo 32 Sp 500 Amerindians	Joannes van Walbeeck / Pierre le Grand / Jan Janszoon Otzen / Diego de los Reyes 6 Ships 400 men									"Old WIC, 1.05.01.01, 2 [6 Apr 1634]
Laet/Naber, v 4, 301–11
Wright/van Dam, v 1, *183–247"	Goslinga 265–9	"6 Ships = Groot Hoorn, Eenhoorn, Brack, Engel Gabriel, and 2 Biscayan sloops /via Goslinga 265"	
E 		1			1 Dec 1634	28 Feb 1635	Sp Capture of Tortuga	San Domingo military expedition against Tortuga	"San Domingo, Tortuga"	Ruiz Fernandez de Fuemayor / 250 soldiers	Gov of Tortuga Christopher Wormely / ship William and Anne									"Add MS 13977 ff 505-xxx
CPSC I p200-201"	"Newton 192
Haring 60
Duro V p35 [?]
Harlow x"	"According to the Sp acct some 600 men, women, and children had been found present [Jan 1635] in the settlement and in the ships in the harbour /Newton 193

according to the Spaniards' account, there were in Tortuga 600 men bearing arms, besides slaves, women and children /Haring 61
70 Eng prisoners taken /Haring 61"	
E 		1			25 Dec 1634	30 Sep 1635	WIC Jol Expedition	"Cornelis Corneliszoon Jol assaults Santiago de Cuba, and thereafter cruises off Cuba and Main in search of prizes, during which they engage with Sp armadilla from Cartagena"	"Netherlands, Curaçao, Santiago de Cuba, Havana, Cartagena, Cuba"	Gov of Cuba Juan de Amezqueta Quijano / Capt. Juan de Ynza / Gov of Cartagena xxx / Gov of Havana Francisco Riaño y Gamboa	Cornelis Corneliszoon Jol / Diego de los Reyes / Cornelis Janszoon van Uytgeest / 2 Yachts 120 men									"Wright/van Dam, v 2, *3–13
Laet/Naber, v 4, 187–93
Old WIC, 1.05.01.01, 14 [12, 19, 21 Nov 1635]
Old WIC, 1.05.01.01, 22 [17 Mar 1636]"	"Goslinga 234, 240 [Map]"	"2 Yachts = Otter, Bracht /via Goslinga 235

Jol captured by privateers from Dunkirk [Capt. Jacques Colaert] and imprisoned in Sp Netherlands Nov 1635 to May 1636 /via Goslinga 236

Dizen [Francisco Galindo, Cristobal de Cañete] les dijeron [los 60 corsarios olandeses en una hurca de 120 toneladas en punta de Hicacos] que havia tres meses [de 11 abr 1635] que avian salido de Olanda, de donde avian salido otros cinco navios para estas [Cuba] partes, y que no avian señalado para donde. ... Y que aguardavan otros dos navios, y se avian de estar en estas costas y sobre este puerto [Havana] hasta hazer buenas presas de plata, cochinilla y sedas para bolver a Olanda. /Wright/van Dam, v 2, *7

decian [la jente que el enemigo avia preso] avia quinze dias [= 1 ó 2 mar 1635] salieron [dos velas de Pie de Palo] de la isla de Curaçao, a donde llegaron de haviso de Olanda, y que quedavan en ella novecientos hombres fortificandose con yntençion de perpetuarse con los socorros que cada dia les bienen; y que trayn por piloto mayor a un mulato llamado Diego de los Reyes, natural de Sevilla, casado en Olanda, y que yvan aquel puerto de Cuba [Havana] a buscar el cobre, y haviendole dicho lo havian traydo dos naos que alli avian arrivado de la flota de Nueva España, se avia determinado a yrse, dejando amenazado de bolver al puerto con mas fuerça ... /Wright/van Dam, v 2, *9"	
E 		1			1 Jan 1635	30 Dec 1635	Eng Bu settled at Cape Samana	Eng buccaneers settle at Samana	Cape Samana											Add MS 13977 f 508	Haring fn 110	"A Spaniard, writing from S. Domingo in 1635, complains of an English buccaneer settlement at [Cape] Samana ... where they grew tobacco, and preyed on the ships sailing from Cartagena and S. Domingo for Spain. /via Haring /Add MS 13977"	
E 		1			1 Apr 1635	30 Jun 1635	Eng fail to resettle Tortuga	"Tortuga replanted under Capt. Nicholas Reskeimer as Governor, who thereafter dies"	Tortuga		Capt. Nicholas Reskeimer / Ship Expectation / 80 Eng men									"BL Add MS 13977 f 222-223, 226-227, 235"	"Newton 212
Haring 61"	"there were then [late 1635] some 80 English in the settlement [Tortuga], besides 150 negroes /via Haring 62 /Add MS 13977"	
E 		1			2 Jul 1635	9 Jul 1635	Capture of Providence	"Cartagena military expedition against Providence, shortly repulsed"	"Cartagena, Prov"	Gov of Cartagena Nicolas de Judice / 3 ships / 4 shallops / 1 boat / 300 soldiers	Gov of Prov Philip Bell / Samuel Axe									"81 CSPC 1
83 CSPC 1
CSPD Car I vol 307 no 19"	Newton 196	"Memorial in the handwriting of Secretary Sir John Coke, concerning the Isle of Providence ... [There are] About 500 able persons, and 30 or 40 women [late 1635 likely] /83 CSPC 1"	
E 		1			22 Jan 1636	22 Jan 1636	Armada de Barlovento established	"Sp Crown establishes permanent squadron, to be based in Veracruz, to defend against piracy, foreign settlements on mainland, and to escort Veracruz—Havana treasure fleets"	"Madrid, Veracruz [Mexico]"											"INDIFERENTE,451,L.A8 porción 1 ff 141v—144r (128v—131r) — a 26 jun 1624
DIVERSOS-COLECCIONES,32,N.5
MEXICO,35,N.2
MEXICO,360,R.5,N.31"	Lang 576	"Or rather 1598 /via Zahedieh 3 p166 no 86 /citing Hussey, 292, 293, 296, 297

These problems [eg being absent from the Caribbean during half the year] were very apparent during the first phase of deployment [of the Armada] in the 1640s and where to plague Barlovento during the remainder of its precarious existence /Lang 582"	
E 		1			29 Jan 1636	29 Jan 1636	Prov Co privateering	"King grants, by word of mouth before Judge of Admiralty, Prov Co freedom to undertake reprisals against Spanish"	London		King Charles I / Judge of Admiralty Sir Henry Martin / Treasurer of Prov Co John Pym									"CSPC 1 [January 1636 -- Janu. 29.]
CO 124/2 f 240
CO 1/8, No. 86, ff 222-223"	"Newton 207
Offen 11 p23"		
E 		1			19 Mar 1636	19 Mar 1636	Prov privateers impress Sp pilots	Prov Co orders Capt. Rous in craft Blessing to impress Sp pilot	"London, Prov"		Capt. Rous									"CO 124/2 ff 94v, 186-187, 262"	Offen 11 p32	"After 1636, when [Prov] company thoughts turned to privateering, they consistently ordered the capture of good Spanish pilots. For example, Captain Rous was given instructions to procure Spanish pilots for ""the Bay of Nicorago, or the Bay of Hondura, Terri fima or of ye Maine Continent."" /via Offen 11 p32"	
E 			1	Hos 13	1 Apr 1636	12 May 1636	Neckere March on Truxillo	"During a cruise along Sp Main, Capt Neckere leads Eng buccaneers or privateers and Miskito allies in march on Trujillo from Mosquito Shore, but the party fall ill and abandon the plan, after which Capt Neckere continues cruising about the Bay Islands for some time before moving to Cuba or returning to Netherlands"	"Mosquito Shore, Trujillo, Guanaja, Mosquito Islands"	Gov of Sp Hon Pedro Carrillo de Sayas / Alcalde ordinario of Tru Hernando Sarco / Capt. Andrés de Rodavallo	60 Eng 100 Mis allies / later Capt. “Nacre” 1 Frig 25 t 30 Eng men			2 Neg former slaves liberated then imprisoned by Sp / 1 Sp pilot impressed [possibly]		1 Sp craft / later escaped				"GUATEMALA,16,R.2,N.13 f 1r-10r"	"Cardona 111, 24-6"	"“ordeno y mando @ne atento en el puerto de dicha ciudad [Truxillo] se hallan de Pressente tres Ffragatas las quales no son ni pueden ser de provecho ninguno en dicho Puerto antes de Daño y estorvo, y por estar la una de ellas cargada de caxones mandava se hiziessen a la vela y se bayan al puerto de matique las dos dellas que estan de vassio luego de camino, y la cargada @ntebaya primero a poner en guarda sus caxones como se le esta mandado al puerto ante llaman ffrances en la ysla de Ruatan en el qual otras muchas besses se an guardado y amparado en semejantes ocaciones” /GUATEMALA,16,R.2,N.13 f 3v, and see also “la Real Audiencia tomaría [a 5 jul 1639] varias resoluciones para asegurar la defense de su distrito [Sp Hon] ... [eg] el retiro de las mercancías del Golfo Dulce 20 leguas tierra adentro para disuadir al enemigo a atacar” /via Cardona 64, 68

Sp pilot of frigate of Diego Sánchez de Rivera, vecino of Trujillo, maestre Simón Alemán, “se llebaron un piloto platico que trayan por ser conocido de ellos que abia sido otra bes su pricionero” /GUATEMALA,16,R.2,N.13 f 4r

Imprisoned former slaves = Tomás Verdugo, Francisco Carreño, of Cartagena, previously seized by Capt. Nacre on Oct 1635, en route to Villa de Monpor in frigate of Capt. Burón. Had been to Mosquito Islands, Santa Catalina, Isla de San Andrés

Nacre = Jonathan de Neckere? /via Goslinga p221, 224, 232, 290"	
E 		1			1 May 1636	30 May 1636	Providence Reprisals	Three privateering ships of Prov Co set sail from England to Prov	"London, Prov"		William Rous / John Leicester / Cornelius Billinger / Giles Mersh / William Woodcock									xxx	"Newton 224-226, 229, 230, 232"	"Ships = Blessing w Rous, Leicester [permitted to consort w any Eng or Du ship] / Expectation w Billinger, Mersh / Hopewell w Woodcock
if any good Spanish pilots were taken, well acquianted with the Bay of Nicaragua, the Bay of Honduras, or any part of the coast of Terra Firma, use might be made of them /Newton 226

W. Rous captures Sp pilot by Terra Firme [likely south of Cape Gracias a Dios, maybe near Cartagena] after May 1636 departure [but thereafter Rous and crew imprisoned on 20 Oct 1636 /Newton 232] /Newton 230"	
E 		1			1 May 1636	30 May 1636	Prov Co grants Capt. Newman commission	Prov Co grants Capt. Newman commission	London		John Pym / Capt. Thomas Newman / 3 Ships									xxx	Newton 234	"Ships = Hunter [Capt. Newman’s], Happy Return, Providence [hired by Prov Co] /Newton 234

Sailed in Aug 1636 /Newton 234"	
E 				Hos 13	1 May 1636	30 Jun 1636		"Buccaneers or privateers Diego el Mulato and Gen Letier cruise off Yucatan, to surprise Sp craft with logwood, during which they raid and burn Cozumel"	"Cuba, Cozumel, Cape Catoche, Sisal, Campeche"	Gov of Yuc Marqués de Santo Floro / Gen Andres Perez Franco / Sp vecino Luis Fernando de Cordova	Diego el Mulato / 1 Urca 35 men / Gen xxx Letier 2 Naos 2 Pataches 200 men					2 craft cargo / craft released	600 quintales Log / 1 Amerindian hamlet			"MEXICO,360,R.5,N.17"		"Los dhos dos baxeles que eran de olandeses fueron por la marina hazia canpeche y mas adelante hacia la nueba españa a una marina q llaman el baradero adonde cargaron cosa de seyscientos quintales de palo ... /MEXICO,360,R.5,N.17

en ella [Cozumel] avian dado fondo ocho o nuebe baxeles de franceses y quemado las casas de los yndios que son de paja y saqueado todo quanto pudierion de cosas de comer porque otras no las tienen y asta loss hornamentos de la yglesia se llevaron mas no la quemaron aunq maltrataron el rretablo y echo lo dho se avian ydo y como benian por la costa y unas beces se dividian y enmaravan algunos de diferentes partes me benian avisos cada ora de baxeles que se beyan y no pudiendo tener certeça si era de los mismos o otros prevenia con cuydado lo que se podia stando a punto con dos conpanias para yr a la parta adonde el enemigo saltase en tierra. ... /MEXICO,360,R.5,N.17

En La Billa y puerto de san francisco de campeche de la provincia y governacion de yucatan en veinte y cinco dias del mes de Junio de mil y sseiscientos y treinta y sseis años El seños general Don andres perez franco ... dixo que oy d.ho dia an entrado en el dos nabios que largo y dexo el enemigo olandez que esta a la vista de este d.ho puerto abiendo hecha pressa de ellos en la costa de esta provincia y que en el uno de los d.hos nabios a benido un mozo que dicen ser yrlandez que biniendo con los d.hos enemigos sse passo y bino en los d.hos nabios y para ssaber el digssinio del d.ho enemigo sus naos y fuerça y lo que mal conbenga para dar quenta al señor marquez de santo ffloro governador y capp.an general de estas provinz.as mando Recebir las declaraciones del d.ho yrlandez y de los dueños de los d.hos nabios ... en el d.ho dia veinte y cinco de junio del d.ho año el señor general don andres perez franco hiço pareçer Ante ssi a un mozo que mediante salbador perdomo Español que habla la lengua ynglessa ... fuele [al declarante] Preguntado como sse llama que hedad y officio tiene de donde es natural cuando y con quien passo a estas partes de las yndias = y con que sse a entretenido en ellas Dixo = que sse llama miguel talconi y es de hedad de diez y nuebe años poco mas o menos y que es labrador y de nacion yrlandez de un lugar de yrlanda llamada = yal = y que abra tres años que passo a estas partes de las yndias en serbicio del capitan guillermo xalez yngles en una nao del susso d.ho que ssalio de la d.ha ysla de yrlanda de un puerto que llaman =del Rey= que bino derecho a la ysla de San xystoval con ochenta hombres unos para quedarsse alli al trato de la tierra que es sembrar tavaco y algodon y otros a Resgatar estos generos atueque de agua ardiente, vino, biscoyo, zerbeça, carne de que bino cargada La d.ha nao y abiendo estado alli el d.ho capitan mes y medio cargado su nabio de tabaco y algodon que contrato con los ynglesses que en la d.ha ysla de san xystobal estando beados se bolbio a su tierra y este que ver lares [?] se quedo en la d.ha ysla con un capitan yngles llamado xari niber a serbirle en sembrar tabaco y algodon y abiendo estado alli tres años oar [?] pado en esto abra dos messes poco mas o menos que llego a la d.ha ysla de san xystoval una urca olandessa de que es dueño y capitan un mulato llamado Diego con treynta y cinco hombres olandeçes y la urca sera de quatrocientas toneladas que fue a la d.ha yssla a hacer aguada y abiendo este que declara ydo abordo de la d.ha urca a trocar tabaco por agua ardiente abiendo vendido bien se quedo en la d.ha urca Dormido y sarparon sus velas y sse traxeron a este declarante y see binieron haciendo viaje hasta el cabo de smanton donde tanbien dio ffondo el d.ho capitan diego con la dha urca y estando alli surto llegaron dos naos y dos patachez de françesses de que es general musiur Letier y abiendo passado el dho capitan Diego a las d.has naos de los ffrançessez en tendio este declarante por lo que oyo a la gente marineros y soldados que consertaron los ffrançeçez con el d.ho capitan diego de andar xuntos en consserba cinco messes por la trabiessa y costas de cuba y esta provincia y que seria todo lo qual dijo capitan diego quissiesse y de alli passaron a la costa de cuba y coxieron un barco que traya vino y huyo la gente y los ffrançezes le quitaron al barco todas las obras muertas para leña y de alli passaron a la ysla de cozumel Donde estubieron tres dias y ssaqueraron El pueblo coxiendo gallinas y platanos y se binieron por la costa de esta provincia y hicieron pressa los francezes de una ffragata que abia salido de esta puerto de campeche cargado de palo de tinta y gallinas y luego vinieron siguiendo la costa y sobre la desconoçida El d.ho capitan diego con su urca hiço pressa de otro nabio que tanbien abia ssalido de este puerto cargado de palo de tinta y atrabessaron para ssotavento de esta puerto y los ffrançezes Hicieron Pressa de una ffragata que ssalio del para el de la bera cruz cargada de ssal y prendieron la gente en la capitana del ffrançes y largaron las dos pressas que abian coxido primero cargados de palo y biendo este declarane que largaban estas pressas le dixo al d.ho capitan diego que si no le pagaba que el era catolico y se quiera benir a tierra y el subsso d.ho dixo =que no le abia de pagar ninguna cossa y que se viniesse y biendo que ya se queria venir a bista de toda la gente española de las dos pressas loz iço estropear y amarrar al arbol mayor y a costa y de esta manera se bino con los Robados de las d.has presas y llego a esta puerto ---- fuele preguntado que naos trae el d.ho enemigo de que porte que xente y artilleria y que es su diccignio dixo = que sson por todas cinco belas la urca olandeza del d.ho capitan diego sera de quatroçientas toneladas con treinta y cinco hombres olandeçez = diez y ocho pieças de artilleria de fiero diez y acho moxquetes cinco pistolas y doze picae = dos naos françezes dos pataques que la capitana sera de ciento y cinquenta toneladas con veinte y quatro pieças las veinte y dos de ffierro y las dos de bronce = y la almiranta ssera de setenta toneladas con quinze piecas de fierro = y los dos pataques de bela de gabia ambos y en cada uno dos picas y en todas quatro belas docientos hombres de mar y guerra y el dissignio del d.ho enemigo es a lo que pudo entender de andarsse por esta costa a coxer los nabios que entraren y ssaliren en este puerto desseando coxer palo de tinta hasta cargar sus naos e yrsse a su tierra ---- /MEXICO,360,R.5,N.17"	
E 		1			17 May 1636	30 May 1636	Yuc forbids laying logwood on beaches	"Gov of Yucatan forbids laying logwood on beaches, and orders that logs be brought down to beaches only to load"	Merida	Gov of Yuc Marqués de Santo Floro 										"MEXICO,360,R.5,N.17"		"aviendo yo [Gov of Yuc] tomado posesion a los 17 del dho mes de mayo [1636] y entendido todo esto [Bu assault of Sp merchant, and taking of logwood] hordene que por todas las marinas desta jurisdizion se rretirarce el palo a lo media legua a la montana sin que se vajase a la marina nunca hasta que estubiese el baxel que lo tubiese de carga y llevar en el = ... /MEXICO,360,R.5,N.17


= esta provincia esta tan sin defensa de nada y la costa tan larga que es ynposible que los enemigos sienpre que queren no echen y entren tierra. y en toda ella sola la dha vi.a [de Campeche] ay que sea algo Porque lo demas en los que llaman puertos solo se forman de quatro o seys casillas de paja para recibir los alcaldes y meter la rropa de las fragatas que llegan que con una lancha sola con beynte honbres lo pueden quemar sin Riesgo ninguno. Porque gente p.a tenerlo prevenido aun quando fueran muchos menos los dhos puertos lo la ay = /MEXICO,360,R.5,N.17"	
