no	standard	link	no	adoption	note	extract
153	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	B8	yes	`work-files` must be archived	"To prevent data losses, the user should back up working files at regular intervals. In addition, a copy of the whole dataset should be preserved in a disaster-proof environment, namely, a data archive such as the Interuniversity Consortium for Political and Social Research (ICPSR) or the UK Data Archive."
154	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C1	no	not relevant	"Rules laid by national and supranational data-protection acts must be respected and honored. The rules concerning the database in question should and can be made public, for example, if one publishes the constitution whereby the data were gathered and released."
155	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C2	no	not relevant	"Releases of all or part of the dataset should be accompanied by, at minimum, the release name and release date. If the release name is not unique, a serial number must be added as well. These features must be included in all tables and files the release comprises. The correct manner for citing the dataset in journals should also be made explicit. New versions of existing releases should highlight the changes that have been made since the previous one."
156	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C3	no	not relevant	"Provision should be made for broad public access to the data, either at no cost or limited to handling charges. To comply with confidentiality laws, it may be necessary to provide the data in an anonymized format, in which case the documentation should both state that information has been removed from the data release as well as describe which information has been removed. Anonymization of data is particularly important in the case of databases that include information about the causes of death or that cover the complete life course of individuals and families who span both historical and contemporary periods. In such instances, the recommendation is to anonymize all cases less than one hundred years old, even if there are no legal objections against full publication."
157	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C4	no	not relevant	"Data may be distributed freely or through specified contracts with individual users. When the database is not freely distributed, conditions on the use of data will be regulated by contract. If the released dataset is freely distributed by the institution, users are not allowed to (a) disseminate altered versions of the data or make additions without consulting the administrators of the database, or (b) charge fees for use or distribution; users should (c) cite the database according to the conditions of use and (d) send a copy of all publications, research reports, or educational material based on the dataset to the owners of the license."
158	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C5	yes	variables or properties or relations or edges within `v-1.5` must be standardised	"Variables should be standardized as much as possible without losing content. Standardization should be effected in such a way that original values are retained and new ones are kept in separate variables or tables. Wherever possible, releases should include, at the minimum, the internationally standardized versions of certain complex variables, such as occupation and birthplace."
159	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C6	yes	missing data values ie vertices within `v-1.5` must be explained	"The reasons for missing data should be explained. Numbers such as ""0"" and ""99,"" which are meaningful in certain contexts such as age, should not be used to indicate missing information. Instead, negative codes should be used. The following four codes are recommended as standard values for lacking information: -1 not available in the source, -2 not readable in the source, -3 not available for reasons of privacy, but existing in the database, -4 for reasons of privacy, not taken into the database. Other negative codes can be used for reasons specified in the documentation."
160	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C7	yes	geographic data values within `v-1.5` must be geo-referenced	All geographic information should be suitably georeferenced to make it possible to relate the data to Geographic Information Systems.
161	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C8	no	not relevant	"To assist researchers unfamiliar with research designs featuring statistical tests, releases should refer to model studies that employ the dataset or similar data."
162	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C9	yes	`v-1.5` must be *easily* human-readable	"To encourage researchers unfamiliar with large databases, ""easy-user versions"" of existing releases should also be produced."
163	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C10	no	DDI-specific	"The Data Documentation Initiative (DDI) developed by the ICPSR and participating institutions such as Networked Social Science Tools and Resources (NESSTAR) should be adopted to guide the development of metadata, or online documentation. The use of DDI will ensure that metadata have been produced ""in a uniform, highly structured format that is easily and precisely searchable on the Web, that lends itself well to simultaneous use of multiple datasets, and that will significantly improve the content and usability of metadata"" (DDI 2002)."
164	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C11	no	not relevant	"Besides the already-mentioned documentation in A3 and B3, the Web site of the database should include the elements a-o."
165	Mandakers & Dillon 2004	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/best-practices-with-large-databases-on-historical/docview/231968382/se-2?accountid=11311	C12	no	not relevant	"To stimulate interest among potential users, information about the progress of the database should be published on the Web site at regular intervals. Such reports can consist of updates on the number of cases entered into the database or the extent to which data have been coded and prepared for release. Beginning with the first release of the database, its documentation must be published on the Web site."
166	Hoekstra & Koolen 2019	https://doi-org.ezp-prod1.hul.harvard.edu/10.1080/01615440.2018.1484676	sec 1 para 4	yes	"`work-files` must inc *explicit descriptions* of data-transforming activities undertaking during `work`[^inc data source selection, modelling data, normalisation ie standardising data, classification ie grouping of data values or vertices, and linking ie establishing relations between data values or vertices]"	"Transparency of approach, whether digital or analogue, requires describing the activities that constitute that approach, and how they are combined in a process to generate new knowledge or ways of seeing. We argue that there is a relatively short list of activities that make up most digital research methods, and that to achieve transparency, it is important to understand the nature of these activities. The types of data transforming activities that should be brought to the surface in presenting historical research are: selection, modelling, normalization, classifying, and linking."
167	Hoekstra & Koolen 2019	https://doi-org.ezp-prod1.hul.harvard.edu/10.1080/01615440.2018.1484676	sec 1 para 6	yes	`work-files` must be archived	"Several digital historians deposit software and scripts used in their research on GitHub for others to scrutinize and reuse. While this is an important step, additional description and especially methodological argumentation is needed to arrive at a coherent and commonly understood set of methods for doing digital history."
168	Hoekstra & Koolen 2019	https://doi-org.ezp-prod1.hul.harvard.edu/10.1080/01615440.2018.1484676	sec 1 para 6	yes	as sec 1 para 4 adding *and reasoning or justification of data-transforming activities*	"Several digital historians deposit software and scripts used in their research on GitHub for others to scrutinize and reuse. While this is an important step, additional description and especially methodological argumentation is needed to arrive at a coherent and commonly understood set of methods for doing digital history."
169	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat management sec administration	yes	`work-files` must be archived	When starting a Data Science project you need to create a repository on a platform to host your project's code.
170	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat management sec administration	no	not relevant	"Using issues is a great way to keep track of feedbacks, bugs and improvements to do to your project. We encourage you to use them as much as possible."
171	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat management sec administration	no	not relevant	Code-hosting platforms enable to define different user access to your code repository.
172	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat management sec administration	no	not relevant	"Additionally, for some projects you might need a public chat channel."
173	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat management sec FAIR	yes	as cat management sec administration adding *archived in repositories which ensure data persistence*	"Data repositories, such as Figshare, Zenodo, DataDryad, Kaggle Datasets and many others, are a good way to ensure dataset persistence."
174	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat management sec FAIR	yes	`v-1.5` must in provenance details	"Provenance: with datasets often published in multiple repositories, it would be useful for repositories to describe the provenance information more explicitly in the metadata. The provenance information helps users understand who collected the data, where the primary source of the dataset is, or how it might have changed. The PROV ontology can be used."
175	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat management sec FAIR	yes	`v-1.5` must be licensed	"datasets should include licensing information, ideally in a machine-readable format."
176	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat management sec FAIR	yes	`v-1.5` must be citeable via URI	"Assigning persistent identifiers, such as DOIs (Digital Object Identifier), is critical for long-term tracking and useability."
177	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat management sec FAIR	yes	`v-1.5` must inc details re compliance with FAIR Guiding Principles	Assessing your data FAIRness
178	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec environment	yes	`work` should ie may use Docker to run programmes	"Using Docker comes with lot of advantages, one of the most prominent ones being the ability to run programs in an environment that is always the same (and thus, no more 'it works on my laptop' issues). Consider using Docker to run existing third party software on your laptop, to share your program with others, or to run your application on a remote server."
179	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec environment	yes	`work` should ie may use Homebrew to manage programming libraries	Consider using Conda environments to make managing libraries for different programming languages easier. Be wary of the difference between pip and Conda if you do.
180	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec environment	yes	`work` should ie may use Terminal ie line interface	The terminal is the interface with which you can execute text based commands. We recommend getting a basic familiarity to at least be able to navigate the folder structure and run shell commands.
181	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec code management	yes	`work` should ie may use Git for version control	The most important step to managing your code is to save it in a manner that will allow a version history as well as collaboration with others. The current standard for this is to use Git.
182	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec publishing code	no	not relevant	The best way to share your work is to use existing frameworks to publish your code in a manner that is easily run by other researchers.
183	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec repository	no	not relevant	Take some time to See how to define user access to your repository when created in the MaastrichtU-IDS GitHub organization.
184	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec repository	yes	`work-files` must be licensed	Adding a license file is mandatory as no one is allowed to legally use your code if no license is included. The default choice for software should be the MIT license
185	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec repository	no	DOAP-specific	"If you want your project listed on the IDS projects website, add a DOAP file to the root of the git repository."
186	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec integration	no	not relevant	"Continuous integration and continuous delivery/deployment involves automating all possible processes in your development cycle, such as testing or deploying. This should be considered when you are expecting to work on a codebase for an extended amount of time or with a group of people in order to save time in the long run. The choice of CI/CD technology depends on the platform you are using to store your code. We strongly recommend you to define Continuous Integration if you wrote tests for your application or regularly need to publish some packages."
187	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec documentation	yes	`work-files` must inc *well-written* readme file	"For most projects a simple well-written README.md is enough documentation, and it will greatly improve the exposure and re-usability of your code."
188	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec ontologies	yes	`work-files` must re-use existing ontologies ie vocabularies	"You will need to define the class and relations for the properties in your data. The easiest way is to find classes and properties in existing model (aka. ontologies). Some properties are standard like rdf:type and rdfs:label, but for more specific concepts the best is to find an existing data model matching your model."
189	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec ontologies	no	SHACL-specific	"In the case you are reusing existing ontologies the best is to define the schema your data will follow using SHACL shapes, or ShEx expressions. This will allow you to validate the generated data, and other users will be able to quickly understand your data."
190	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat development sec ontologies	yes	`work-files` must be citeable via persistent URIs	"Use pesistent identifier. We recommend to use the w3id.org system, as it allows any GitHub user to define and reserve your persistent namespace for free in a few minutes."
191	IDS at Maastricht Univ IDS Best Practices	https://maastrichtu-ids.github.io/best-practices/docs/	cat resources sec projects	no	not relevant	IDS projects that are stored at your personal Github can be also added to IDS Dashboard.
192	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	F1	yes	`v-1.5` and its sub-components must be citeable via *globally unique and persistent* URIs	(meta)data are assigned a globally unique and persistent identifier
193	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	F2	yes	`v-1.5` must inc *rich* metadata	data are described with rich metadata (defined by R1 below)
194	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	F3	yes	metadata files in `v-1.5` must identify the resource they describe via URIs	metadata clearly and explicitly include the identifier of the data it describes
195	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	F4	no	`v-1.5` must be findable ie indexable by search engine[^may not be possible as requires third-party]	(meta)data are registered or indexed in a searchable resource
196	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	A1	no	URIs of `v-1.5` and sub-components must use non-specialised and non-proprietary schemes[^eg http]	(meta)data are retrievable by their identifier using a standardized communications protocol
197	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	A1.1	no	as A1 adding *no-cost and open-sourced schemes*[^eg http]	"the protocol is open, free, and universally implementable"
198	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	A1.2	no	as A1 adding *inc schemes allowing for authentication or authorisation where needed*[^eg https]	"the protocol allows for an authentication and authorization procedure, where necessary"
199	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	A2	no	may not be possible as requires third-party	"metadata are accessible, even when the data are no longer available"
200	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	I1	yes	`v-1.5` must be machine-readable[^ie use standardies vocabs ie ontologies and use a well-defined framework to describe and structure data and metadata eg rdf]	"(meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation."
201	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	I2	no	`v-1.5` must re-use FAIR-compliant vocabularies[^may not be possible as unsure of which vocabs are FAIR-compliant]	(meta)data use vocabularies that follow FAIR principles
202	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	I3	no	properties or relations among data values ie edges within `v-1.5` should be specific or rich[^eg *x is a regulator of y* rather than *x is associated with y*]	(meta)data include qualified references to other (meta)data
203	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	R1	yes	as F2 adding *inc vars accurate and relevant attributes*	meta(data) are richly described with a plurality of accurate and relevant attributes
204	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	R1.1	yes	`v-1.5` must be *appropriately* licensed[^ie clear and accessible licence]	(meta)data are released with a clear and accessible data usage license
205	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	R1.2	yes	`v-1.5` must inc detailed provenance	(meta)data are associated with detailed provenance
206	FAIR Guiding Principles	https://www.go-fair.org/fair-principles/	R1.3	yes	"`v-1.5` must meet domain-specific metadata standards[^eg http://schema.datacite.org/, http://dublincore.org/specifications/, https://www.iso.org/standard/53798.html, http://www.ddialliance.org/Specification/]"	(meta)data meet domain-relevant community standards
207	Panton Principles	http://www.pantonprinciples.org	no 1	no	`v-1.5` must inc details regarding author wishes[^not relevant]	When publishing data make an explicit and robust statement of your wishes.
208	Panton Principles	http://www.pantonprinciples.org	no 2	no	`v-1.5` must inc data-specific licence[^may not be possible]	Use a recognized waiver or license that is appropriate for data.
209	Panton Principles	http://www.pantonprinciples.org	no 3	no	`v-1.5` must meet OKF Open Definition[^may not be possible]	If you want your data to be effectively used and added to by others it should be open as defined by the Open Knowledge/Data Definition – in particular non-commercial and other restrictive clauses should not be used.
210	Panton Principles	http://www.pantonprinciples.org	no 4	no	`v-1.5` must be entered into public domain[^may not be possible]	Explicit dedication of data underlying published science into the public domain via PDDL or CCZero is strongly recommended and ensures compliance with both the Science Commons Protocol for Implementing Open Access Data and the Open Knowledge/Data Definition.
211	APS Psychological Science Submission Guidelines	http://www.psychologicalscience.org/publications/psychological_science/ps-submissions	sec open practices subsec 1	no	`pre-git-work` and `work` must be pre-registered[^not possible for `pre-git-work`]	"To promote replicability and transparency, Psychological Science strongly encourages authors to preregister their studies and, when possible, to do so before data collection."
212	APS Psychological Science Submission Guidelines	http://www.psychologicalscience.org/publications/psychological_science/ps-submissions	sec open practices subsec 2	yes	`pre-git-files` and `work-files` must be archived and licensed	"Authors are strongly encouraged to make their data, analysis/code, and materials available to reviewers during the peer review process and, should the article be accepted, publicly accessible to readers."
213	APS Psychological Science Submission Guidelines	http://www.psychologicalscience.org/publications/psychological_science/ps-submissions	sec open practices subsec 3	no	not relevant	"Each manuscript reporting new empirical work must include an Open Practices Statement that indicates whether the study (or studies) reported were preregistered and whether the data, analysis/code, and/or materials are available on a permanent third-party archive (or are included in Supplemental Materials)."
214	FOSTER Open Science Training Handbook	https://open-science-training-handbook.gitbook.io/book/	null	no	not standards	`null`
215	AHA Statement on Standards of Professional Conduct 1987-2019	https://www.historians.org/jobs-and-professional-development/statements-standards-and-guidelines-of-the-discipline/statement-on-standards-of-professional-conduct#SharedValues	null	no	language too vague	`null`
216	NCPH Code of Ethics and Professional Conduct 2007	https://ncph.org/about/governance-committees/code-of-ethics-and-professional-conduct/	null	no	language too vague	`null`
217	Broman & Woo 2018	https://doi.org/10.1080/00031305.2017.1375989	null	no	csv-specific	`null`
218	Robertson & Mullen 2021	https://doi.org/10.1093/jsh/shab015	null	no	not standards	`null`
219	Library Carpentry Top 10 FAIR Data & Software Things for Humanities: Historical Research	https://librarycarpentry.org/Top-10-FAIR/2018/12/01/historical-research/	thing 1	yes	`work-files` must be archived	"Data repositories enable researchers to share their data sets. The following data repositories accept data sets in the field of history: DANS EASY, Figshare, Zenodo, B2SHARE. A number of additional data repositories can be found by going to re3data.org, and by clicking on Browse > Browse by subject > History."
220	Library Carpentry Top 10 FAIR Data & Software Things for Humanities: Historical Research	https://librarycarpentry.org/Top-10-FAIR/2018/12/01/historical-research/	thing 2	yes	`v-1.5` must inc metadata	"Once a certain data repository has been selected, the data set can be submitted, together with the metadata describing this data set."
221	Library Carpentry Top 10 FAIR Data & Software Things for Humanities: Historical Research	https://librarycarpentry.org/Top-10-FAIR/2018/12/01/historical-research/	thing 3	yes	`v-1.5` must be citeable via *persistent* URI	"Datasets need to be deposited in repositories that assign persistent identifiers (PIDs) to ensure that online references to publications, research data, and persons remain available in the future."
222	Library Carpentry Top 10 FAIR Data & Software Things for Humanities: Historical Research	https://librarycarpentry.org/Top-10-FAIR/2018/12/01/historical-research/	thing 4	no	`v-1.5` must meet FAIR A1[^may not be possible]	The FAIR principles stipulate that data and metadata ought to be “retrievable by their identifier using a standardised communication protocol” (requirement A1). This requirement does not necessarily imply that the data should fully be available in open access. It principally means that there needs to be a protocol that users may follow to obtain of the data set.
223	Library Carpentry Top 10 FAIR Data & Software Things for Humanities: Historical Research	https://librarycarpentry.org/Top-10-FAIR/2018/12/01/historical-research/	thing 5	yes	`v-1.5` must be well-structured and well-organised[^eg must follow csv-dialect and csv best practices eg as per Broman & Woo 2018 and must inc data dictionary]	Well-structured and well-organised data can evidently be reused much more easily. This section explains how researchers can organize their data in such a way that they can be analysed effectively with data science tools. Many historians capture their data in spreadsheets.
224	Library Carpentry Top 10 FAIR Data & Software Things for Humanities: Historical Research	https://librarycarpentry.org/Top-10-FAIR/2018/12/01/historical-research/	thing 6	yes	`v-1.5` must re-use standardised vocabularies	"As a first step, it can be useful to explore whether some of the general topics that you focus on have already been assigned persistent identifiers or URIs. Many researchers and institutions have developed shared vocabularies and ontologies to standardise terminology. In many cases, the terms which have been defined have also been assigned persistent identifiers. Such shared vocabularies can make it clear that we are talking about the same thing when we exchange knowledge."
225	Library Carpentry Top 10 FAIR Data & Software Things for Humanities: Historical Research	https://librarycarpentry.org/Top-10-FAIR/2018/12/01/historical-research/	thing 7	yes	`v-1.5` must be available in `rdf` formats	"More concretely, it implies that you record your data using the Resource Description Framework (RDF) format."
226	Library Carpentry Top 10 FAIR Data & Software Things for Humanities: Historical Research	https://librarycarpentry.org/Top-10-FAIR/2018/12/01/historical-research/	thing 8	yes	`v-1.5` must be licensed	A license describes the conditions under which your data or software is (re)usable. 
227	Library Carpentry Top 10 FAIR Data & Software Things for Humanities: Historical Research	https://librarycarpentry.org/Top-10-FAIR/2018/12/01/historical-research/	thing 9	yes	`work-files` must *appropriately* cite sources	"When you have made use of someone else’s data, you are strongly recommended to attribute the original creators of these data by including a proper reference."
228	Library Carpentry Top 10 FAIR Data & Software Things for Humanities: Historical Research	https://librarycarpentry.org/Top-10-FAIR/2018/12/01/historical-research/	thing 10	no	not relevant	"Policies for data availability can come from publishers, funders and universities. These policies are listed on the respective website, but finding these is not always straightforward."
229	Data Carpentry Data Organization in Spreadsheets for Ecologists	https://datacarpentry.org/spreadsheet-ecology-lesson/	null	no	csv-specific	`null`
230	DDI Lifecycle	https://ddialliance.org/Specification/DDI-Lifecycle/3.3/	null	no	xml-specific	`null`
231	ICADL 2016 cap Krataithong et al 2016	https://link-springer-com.ezp-prod1.hul.harvard.edu/chapter/10.1007/978-3-319-49304-6_31	null	no	"csv-specific, rdf-specific or not standards "	conference paper presented 2016 showing csv to rdf conversion though does not cover the full process in detail
232	IDS at Maastricht Univ Build a FAIR Knowledge Graph	https://maastrichtu-ids.github.io/best-practices/blog/2021/03/18/build-a-kg/	null	no	"csv-specific, rdf-specific or not standards "	non-journal article by non-profit institute showing csv to rdf via YARRRML-based programme [Matey](https://rml.io/yarrrml/matey)
233	Binding et al 2021	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/migrating-complex-classification-scheme-semantic/docview/2543608213/se-2?accountid=11311	null	no	"csv-secific, skos-specific or not standards"	journal article pub 2021 showing csv to skos conversion via .NET-based [STELETO](https://github.com/cbinding/STELETO/) transformation tool
234	Lee et al 2021	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/rdfizing-biosynthetic-pathway-i-e-coli-o-antigen/docview/2611239195/se-2	null	no	"csv-specific, rdf-specific or not standards "	journal article pub 2021 showing csv to rdf conversion via standardising data-values in defined programming-language -> manually creating URIs via third-party -> input csv into Python-based converter called [RDFLib](https://gitlab.com/lsunmyoung/rdfization) -> get rdf in Turtle dialect -> validate output via SPARQL
235	Crotti Jr et al 2017	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/evaluation-uplift-mapping-languages/docview/1966401153/se-2?accountid=11311	null	no	"csv-specific, rdf-specific or not standards "	journal article pub 2017 showing csv to rdf conversion via algorithm written in `null` called FunUL though could not locate this in github nor elsewhere online as of 14 aug 2022
236	Garcia-Gonzalez et al 2020	http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/shexml-improving-usability-heterogeneous-data/docview/2463305655/se-2	null	no	"xml-specific, json-specific, rdf-specific or not standards"	journal article pub 23 nov 2020 showing xml + json to rdf but listed vars standard translation ie transformation algorithms in pages 3-6
237	Chaves-Fraga et al 2020	https://www.semantic-web-journal.net/content/enhancing-virtual-ontology-based-access-over-tabular-data-morph-csv-0	null	no	"csv-specific, sql-specific, rdf-specific or not standards "	preprint article pub 11 jun 2020 or 6 nov 2020 showing csv to sql to rdf via algorithm written in SPARQL and named [Morph-CSV](https://morph.oeg.fi.upm.es/tool/morph-csv) //this seems well-documented and tested as of 14 aug 2022 18.02
238	Swirrl CSV on the Web	https://csvw.org/	null	no	"csv-specific, rdf-specific or not standards "	non-journal article by UK for-profit Swirrl recommending csv to rdf conversion via metadata manually created inc first- and third-party URIs -> input csv and json into a [validator or converter](https://csvw.org/tools.html) -> validate -> convert to rdf
239	Mahmud et al 2018	http://www.jatit.org/volumes/Vol96No20/19Vol96No20.pdf	null	no	"csv-specific, rdf-specific or not standards "	journal article pub 31 oct 2018 showing csv to rdf via three algorithms ie cvs is parsed -> embedded metadata created or approximated in json -> data converted to rdf where algorithms written in Java and named CSV2RDF though name is ambiguous as of 14 aug 2022
240	Awesome Semantic Web	https://github.com/semantalytics/awesome-semantic-web/blob/master/README.md	null	no	not standards	A curated list of various semantic web and linked data resources
241	Tennison Linked CSV	https://github.com/JeniT/linked-csv	null	no	csv-specific	`null`
242	Programming Historian	http://programminghistorian.org/en/about	null	no	not standards	"In 2012, Programming Historian expanded its editorial team and launched as an open access peer reviewed scholarly journal of methodology for digital historians."
243	UK Data Archive sec Managing data subsec Standards and procedures	https://www.data-archive.ac.uk/managing-data/standards-and-procedures/	null	no	`null`	`null`
244	W3C Spatial Data on the Web Best Practices	https://www.w3.org/TR/sdw-bp/	null	no	`null`	re spatial data values
245	W3C CSV on the Web: A Primer	https://www.w3.org/TR/tabular-data-primer/	null	no	csv-specific	`null`
246	W3C Model for Tabular Data and Metadata on the Web	https://www.w3.org/TR/tabular-data-model/	null	no	csv-specific	`null`
247	W3C Generating JSON from Tabular Data on the Web	https://www.w3.org/TR/2015/REC-csv2json-20151217/	null	no	"json-specific, csv-specific"	`null`
248	W3C Generating RDF from Tabular Data on the Web	http://www.w3.org/TR/csv2rdf/	null	no	"rdf-specific, csv-specific"	`null`
249	W3C Metadata Vocabulary for Tabular Data	https://www.w3.org/TR/2015/REC-tabular-metadata-20151217/	null	no	csv-specific	`null`
250	W3C A Direct Mapping of Relational Data to RDF	http://www.w3.org/TR/rdb-direct-mapping/	null	no	"sql-specific, rdf-specific"	`null`
251	W3C R2RML: RDB to RDF Mapping Language	http://www.w3.org/TR/r2rml/	null	no	"sql-specific, rdf-specific"	`null`
252	W3C Cool URIs for the Semantic Web	http://www.w3.org/TR/cooluris/	null	no	`null`	re URIs
253	W3C Linked Data Platform Best Practices and Guidelines	http://www.w3.org/TR/ldp-bp/	null	no	`null`	`null`
254	W3C Linked Data Glossary	http://www.w3.org/TR/ld-glossary/	null	no	not standards	`null`
255	OKF CSV Dialect	https://specs.frictionlessdata.io/csv-dialect/	null	no	csv-specific	`null`
256	OKF Table Schema	https://specs.frictionlessdata.io/table-schema/	null	no	csv-specific	`null`
257	OKF Tabular Data Resource	https://specs.frictionlessdata.io/tabular-data-resource/	null	no	csv-specific	`null`
258	OKF Tabular Data Package	https://specs.frictionlessdata.io/tabular-data-package/	null	no	csv-specific	`null`
259	IETF GeoJSON	https://geojson.org/	null	no	geojson-specific	`null`
260	OGC GeoPackage	https://en.wikipedia.org/wiki/GeoPackage	null	no	geopackage-specific	`null`
261	GDAL Documentation sec Vector drivers	https://gdal.org/drivers/vector/csv.html	null	no	not standards	GDAL-accepted geospatial data formats
262	Nature Scientific Data Policies sec Data Repository Guidance	https://www.nature.com/sdata/policies/repositories	null	no	not standards	Nature-listed repositories
263	Google Search Central Documentation sec Dataset	https://developers.google.com/search/docs/advanced/structured-data/dataset	null	no	not standards	Google-indexed repositories
264	The Linked Open Data Cloud	https://lod-cloud.net/	null	no	not standards	LOD Cloud-indexed repositories
265	Wolfram MathWorld Pseudograph	https://mathworld.wolfram.com/Pseudograph.html	null	no	not standards	`null`
266	nLab pseudograph	https://ncatlab.org/nlab/show/pseudograph	null	no	not standards	`null`
267	TEI	https://tei-c.org/release/doc/tei-p5-doc/en/html/index.html	null	no	not standards or xml-specific	`null`
268	RDF	http://www.w3.org/TR/rdf-primer	null	no	not standards or rdf-specific	`null`
269	RDF Schema ie RDFS	https://en.wikipedia.org/wiki/RDF_Schema	null	no	not standards or rdf-specific	`null`
270	RDF Data Cube	https://www.w3.org/TR/vocab-data-cube/	null	no	not standards or rdf-specific	`null`
271	XML	https://en.wikipedia.org/wiki/XML	null	no	not standards or xml-specific	`null`
